policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
rl (rl_base),522.6667,14.8436,539,331.6667,16.2891,343,191.0,13.0767,200,0.6345,0.0241,0.6609,18.511,1.4487,20.1826,19.6966,2.6081,22.7046,31.698,0.8447,32.437,37.9451,2.8451,41.1255,0.3566,0.6177,1.0698,9.4096,0.3894,9.7879,14.1704,0.3722,14.4134,32.728,1.5766,34.501,1.4433,0.0331,1.4691,2.2832,0.0505,2.3212,4648.2047,125.6868,4764.3091,3082.9487,125.8247,3205.0621,1565.256,8.9124,1575.4958,0.3369,0.0093,0.3458,0.0,0.0,0,2.3469,0.3815,2.7784,3.5189,0.8814,4.5352,33.3333,4.0415,37,29.6667,2.0817,32,3.6667,2.3094,5,2.2124,0.7175,2.8548,1.5786,0.3545,1.9381
rl (rl_v3),522.6667,14.8436,539,279.0,5.2915,285,243.6667,15.885,262,0.5341,0.0182,0.5491,13.1967,0.6366,13.7114,10.9858,0.4756,11.3399,28.7828,1.219,30.1401,34.678,0.6751,35.3593,0.2856,0.4946,0.8567,8.1135,0.4672,8.4866,10.5585,0.3247,10.8025,21.2552,0.2165,21.4934,1.2248,0.0212,1.249,1.8207,0.0597,1.8581,4562.658,72.4955,4607.8424,2428.7439,88.9506,2499.8754,2133.9141,22.6891,2150.0273,0.4678,0.0114,0.48,0.0,0.0,0,2.602,0.3343,2.9879,3.0028,0.1607,3.1874,9.3333,5.8595,16,8.3333,4.9329,14,1.0,1.0,2,1.9776,0.8782,2.9805,1.2329,0.19,1.3672
rl (rl_v4),522.6667,14.8436,539,324.0,12.1655,332,198.6667,9.0738,207,0.6199,0.0144,0.6358,17.178,0.6634,17.7811,17.388,1.1999,18.5105,31.1147,0.658,31.8514,35.0797,1.0983,36.1193,0.0,0.0,0.0,9.3164,0.1,9.3854,12.5069,0.4939,13.0516,28.5212,1.0207,29.2475,1.37,0.0196,1.3891,2.1862,0.0366,2.2132,4646.8605,114.5021,4734.6303,2853.1719,123.8259,2963.9658,1793.6886,67.0669,1858.5843,0.3861,0.0161,0.398,0.0,0.0,0,2.6268,0.3367,3.011,3.1318,0.1322,3.2236,27.0,3.4641,29,25.6667,4.9329,29,1.3333,1.5275,3,1.9748,0.6543,2.5551,0.7462,0.6883,1.2329
rl (rl_v5),522.6667,14.8436,539,335.0,13.8924,344,187.6667,11.3725,197,0.6409,0.0195,0.6628,18.2342,0.9276,19.0117,18.9588,1.8599,20.5881,31.218,0.3795,31.5351,37.5403,1.1651,38.5957,0.5555,0.4883,0.9169,9.1485,0.2484,9.3327,14.504,0.4169,14.9485,34.5403,1.12,35.6076,1.4539,0.0285,1.476,2.2412,0.0368,2.2756,4704.6302,109.746,4771.7132,3133.5469,147.1345,3263.3905,1571.0833,60.8939,1608.1984,0.3342,0.0179,0.3504,0.0,0.0,0,2.3482,0.2775,2.6543,3.5771,0.626,4.2276,31.6667,5.6862,38,28.3333,3.2146,32,3.3333,2.5166,6,2.1207,0.2392,2.351,1.0584,0.1794,1.1665
rl+sa (rl_base),522.6667,14.8436,539,346.0,19.3132,363,176.6667,8.0208,185,0.6617,0.0212,0.6744,17.3868,0.8721,18.3879,17.7095,1.4546,19.3721,30.7121,0.5496,31.3447,35.635,1.2595,37.0775,0.2153,0.2784,0.5297,9.0529,0.042,9.0952,13.3658,0.2421,13.6427,30.5649,0.3254,30.8498,1.3656,0.0074,1.3732,2.2199,0.0422,2.2616,4610.5956,107.4177,4691.1575,3102.8586,142.1746,3230.7786,1507.737,41.6821,1538.8525,0.3272,0.0158,0.3428,123.3333,13.6504,138,72.5647,12.224,86.0239,249.5671,23.0163,275.4917,24.3333,5.8595,31,23.0,4.5826,28,1.3333,1.5275,3,2.0464,0.4908,2.5185,3.2696,0.1049,3.3437
rl+sa (rl_v3),522.6667,14.8436,539,289.6667,11.0151,297,233.0,11.0,244,0.5542,0.0157,0.5723,12.1886,0.4117,12.5736,10.9417,0.7275,11.6066,25.5503,1.4104,26.8838,32.4375,1.0523,33.558,0.0,0.0,0.0,7.046,0.2168,7.2572,10.2835,0.3303,10.585,19.5653,0.4775,19.8519,1.196,0.0116,1.2035,1.6376,0.0617,1.6883,4531.9552,143.0067,4628.0137,2506.2383,98.9798,2598.5082,2025.7169,58.0037,2081.7334,0.4471,0.0075,0.4525,92.0,7.2111,98,18.1759,3.0966,21.2297,83.3457,8.348,92.2618,3.3333,2.0817,5,3.3333,2.0817,5,0.0,0.0,0,1.6449,0.717,2.2844,,,
rl+sa (rl_v4),522.6667,14.8436,539,339.6667,16.6533,353,183.0,7.9373,189,0.6497,0.0182,0.6647,16.5066,0.501,17.0078,16.7059,1.2053,17.9227,29.5023,0.6755,29.961,34.5824,0.2821,34.8068,0.0,0.0,0.0,8.6107,0.2475,8.8743,12.4013,0.1129,12.5168,28.683,0.6516,29.2772,1.3345,0.0071,1.3409,2.1531,0.0316,2.1806,4638.5531,87.4939,4689.0747,2978.2396,109.8126,3066.5835,1660.3135,32.904,1682.2301,0.3581,0.0124,0.3707,120.0,15.5885,129,59.4911,10.9009,68.0064,228.1476,51.1487,282.824,17.3333,0.5774,18,15.0,1.0,16,2.3333,1.1547,3,1.6707,0.325,2.0314,1.1401,0.8365,2.0175
rl+sa (rl_v5),522.6667,14.8436,539,353.0,18.3303,369,169.6667,7.5056,177,0.6751,0.0193,0.6879,17.6971,0.5955,18.3828,18.4332,1.3099,19.9376,30.8483,0.6042,31.4526,35.9821,1.9422,37.405,0.0453,0.0784,0.1358,9.0549,0.2854,9.244,13.6438,0.4675,14.005,32.409,2.8535,35.3107,1.3994,0.0287,1.4261,2.2088,0.0458,2.2604,4592.8043,108.8418,4673.0116,3116.9499,140.1916,3222.9258,1475.8543,31.463,1510.9176,0.3216,0.0146,0.3381,115.3333,3.0551,118,81.3348,11.4741,89.674,256.8087,14.2104,272.9454,27.6667,9.815,39,25.0,8.6603,35,2.6667,1.1547,4,1.7611,0.5383,2.2397,1.3409,1.0291,2.5278
rl+ts (rl_base),522.6667,14.8436,539,364.3333,20.5994,380,158.3333,11.0151,169,0.6968,0.0251,0.7168,15.0344,0.7119,15.7341,13.4025,1.2279,14.7157,30.9605,0.1959,31.0752,37.0245,0.3195,37.3637,0.0,0.0,0.0,9.3828,0.4011,9.6779,13.2129,0.1887,13.3512,29.328,1.5028,31.0499,1.3749,0.0104,1.3824,2.163,0.0428,2.2095,4330.509,154.7313,4480.6765,3115.9608,130.3334,3200.4962,1214.5481,61.6942,1280.1803,0.2805,0.012,0.289,208.6667,14.7422,220,36.2101,4.6564,39.3541,131.74,20.3017,153.723,24.3333,2.5166,27,23.3333,3.5119,27,1.0,1.0,2,2.0945,0.3049,2.4409,1.0566,1.3255,1.9939
rl+ts (rl_v3),522.6667,14.8436,539,313.0,12.1655,321,209.6667,11.0604,220,0.5989,0.0172,0.6185,9.311,0.8238,10.2566,8.4636,0.8782,9.4673,20.5277,0.4043,20.9848,27.9132,1.5161,29.6023,0.0,0.0,0.0,5.7219,0.2684,6.0298,10.6692,0.1574,10.8354,20.5406,0.2695,20.8374,1.2231,0.0106,1.2313,1.7412,0.0969,1.8291,4206.2583,196.6044,4410.9491,2669.9085,114.5206,2757.3017,1536.3499,101.5869,1653.6475,0.3651,0.0114,0.3749,203.6667,18.3394,218,10.8572,1.7917,12.218,39.8155,8.2195,44.8272,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,
