policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
rl (rl_base),352,32.909,390,256.6667,13.7961,267,95.3333,26.1598,123,0.7317,0.0516,0.7868,9.1312,0.448,9.4429,9.0674,0.7227,9.81,15.8291,0.287,16.0787,21.6629,1.009,22.3914,0.1695,0.2936,0.5085,4.2189,0.1794,4.3929,12.5246,0.7941,13.4161,28.8838,4.4559,33.9897,1.3196,0.0411,1.367,2.0898,0.1153,2.2198,3854.0374,78.1459,3900.0303,2389.676,96.0563,2487.3767,1464.3614,49.7875,1511.9758,0.3801,0.0155,0.3902,0.0,0.0,0,2.0585,0.2894,2.3645,2.7938,0.2749,3.0575,22.0,1.7321,23,21.0,1.7321,22,1.0,0.0,1,1.8605,0.2051,2.0947,1.2377,1.8266,3.3469
rl (rl_v3),352,32.909,390,232.6667,10.116,239,119.3333,28.7112,151,0.6637,0.0509,0.7147,8.7617,0.1769,8.906,8.5963,0.0707,8.6729,15.4195,0.4228,15.7843,20.4155,0.2765,20.7174,0.0,0.0,0.0,4.0304,0.0341,4.0621,10.8008,0.2172,11.0031,21.2541,1.1804,22.6074,1.1992,0.0156,1.2154,1.7228,0.0922,1.8092,3827.5935,124.577,3909.7007,2136.7413,54.7428,2184.4487,1690.8523,72.7555,1740.0292,0.4417,0.0056,0.4474,0.0,0.0,0,2.1414,0.0384,2.1805,3.1074,0.0857,3.2062,13.3333,2.0817,15,13.3333,2.0817,15,0.0,0.0,0,1.7338,0.1084,1.8203,,,
rl (rl_v4),352,32.909,390,249.0,17.6918,265,103.0,22.0,125,0.709,0.0418,0.7568,9.1407,0.4102,9.5559,9.3229,0.6257,9.8672,15.8896,0.7234,16.3196,20.098,0.7737,20.8394,0.0,0.0,0.0,4.1862,0.286,4.3528,11.6208,0.7973,12.3559,25.0302,2.9351,27.1454,1.2638,0.0599,1.327,1.9304,0.2031,2.106,3857.3134,99.7734,3954.1463,2287.7773,144.2803,2433.1843,1569.5361,124.5198,1668.6493,0.407,0.0321,0.4288,0.0,0.0,0,2.0758,0.1234,2.2163,3.0161,0.3131,3.2222,18.0,7.2111,26,16.6667,6.0277,23,1.3333,1.5275,3,2.0149,0.4125,2.3955,2.5704,1.0982,3.3469
rl (rl_v5),352,32.909,390,255.6667,8.5049,262,96.3333,28.1839,128,0.7294,0.0536,0.7778,9.4131,0.48,9.9194,9.5925,1.0352,10.7556,15.5667,0.0806,15.62,18.72,0.2576,19.0005,0.0,0.0,0.0,4.1259,0.073,4.1895,12.6957,0.6994,13.3419,29.1236,1.8659,31.2633,1.3121,0.0332,1.3472,2.078,0.0602,2.1473,3949.8989,127.326,4033.922,2448.3615,94.9222,2556.9542,1501.5374,94.0414,1605.4248,0.3801,0.0178,0.4001,0.0,0.0,0,2.1145,0.0802,2.1631,3.3722,0.0754,3.4352,22.3333,4.1633,27,21.6667,4.0415,26,0.6667,0.5774,1,1.207,0.0958,1.267,2.1992,2.1273,3.7035
rl+sa (rl_base),352,32.909,390,255.0,8.7178,261,97.0,28.5832,129,0.7276,0.0547,0.7778,8.907,0.4806,9.2975,8.9844,0.4451,9.3072,15.85,0.7029,16.5625,19.8442,1.4494,21.232,0.0,0.0,0.0,4.1446,0.257,4.3193,12.1622,0.5561,12.7553,27.2621,1.4445,28.6566,1.2754,0.0133,1.2886,1.9762,0.0425,2.0196,3779.9807,97.0405,3838.999,2386.6964,16.7253,2398.3961,1393.2843,80.4083,1440.6029,0.3684,0.012,0.3754,58.3333,4.9329,64,12.0104,1.1044,12.6848,62.0161,3.3094,65.4949,19.6667,6.5064,26,19.3333,7.0238,26,0.3333,0.5774,1,1.4427,0.1314,1.528,0.6949,0.0,0.6949
rl+sa (rl_v3),352,32.909,390,230.3333,11.5902,238,121.6667,27.9344,152,0.6569,0.0494,0.7087,8.5452,0.2627,8.7186,8.3824,0.0628,8.445,15.1502,0.3525,15.5327,19.52,1.1583,20.3873,0.0,0.0,0.0,4.0449,0.0547,4.0986,10.467,0.2127,10.6327,19.5419,1.5933,21.1605,1.1732,0.0211,1.1972,1.581,0.07,1.6237,3645.827,109.2434,3735.2197,2074.8229,51.2637,2113.254,1571.0042,58.2956,1621.9658,0.4308,0.0033,0.4342,63.0,6.0,69,7.129,0.6593,7.8365,11.692,0.3124,11.8948,11.6667,3.5119,15,11.3333,3.5119,15,0.3333,0.5774,1,1.8074,0.3084,2.0535,0.6949,0.0,0.6949
rl+sa (rl_v4),352,32.909,390,250.6667,12.741,259,101.3333,27.7549,131,0.7149,0.0541,0.7718,8.6258,0.3192,8.9769,8.4961,0.5912,8.8548,15.4612,0.682,16.1759,19.2203,0.9452,20.2991,0.0,0.0,0.0,4.2029,0.0209,4.2205,11.4463,0.5914,12.1222,24.5462,1.6673,26.4677,1.2306,0.0127,1.2451,1.836,0.0533,1.8975,3758.5563,144.0942,3859.4305,2317.9461,23.8825,2339.8015,1440.6103,123.9254,1537.8476,0.3828,0.0187,0.3985,61.0,1.0,62,9.5119,0.5788,10.1329,36.5324,18.8004,58.2337,16.0,5.5678,21,15.3333,5.0332,20,0.6667,0.5774,1,1.4289,0.1327,1.5681,0.3541,0.482,0.6949
rl+sa (rl_v5),352,32.909,390,260.0,9.8489,268,92.0,26.9072,122,0.7416,0.0516,0.7898,9.0398,0.113,9.1326,8.9859,0.072,9.0685,15.4138,0.6651,15.9497,22.0534,0.1214,22.1935,0.0,0.0,0.0,4.0713,0.1332,4.2157,12.1563,0.4854,12.5959,26.6652,2.1633,29.1427,1.2849,0.0212,1.306,2.0199,0.0603,2.0801,3821.4621,114.0691,3917.1496,2408.7901,40.6038,2455.12,1412.672,105.617,1525.2933,0.3694,0.0176,0.3894,67.3333,8.9629,73,11.9671,1.5411,13.1661,58.3869,4.4673,62.7438,19.0,5.2915,23,17.6667,5.8595,22,1.3333,0.5774,2,1.5142,0.1485,1.6595,1.2184,0.8978,2.2406
rl+ts (rl_base),352,32.909,390,259.3333,12.6623,269,92.6667,26.3122,121,0.7394,0.0516,0.7928,8.1641,0.4814,8.5978,7.8625,0.4109,8.2055,15.2231,0.3194,15.5067,19.7375,1.4387,21.386,0.0,0.0,0.0,4.2805,0.0318,4.3166,12.1402,0.5842,12.6115,26.8813,4.0614,30.389,1.2708,0.0258,1.2948,1.9901,0.1686,2.1015,3587.5692,147.6545,3712.5899,2382.4044,89.6645,2479.1675,1205.1648,72.7388,1259.5346,0.3358,0.0103,0.3474,117.6667,10.504,128,6.9258,1.0215,8.1033,16.8607,5.282,22.9443,15.3333,4.6188,18,14.3333,4.7258,18,1.0,1.0,2,1.4994,0.1779,1.6875,0.8998,0.2897,1.1047
rl+ts (rl_v3),352,32.909,390,240.6667,9.4516,248,111.3333,31.3422,146,0.687,0.0596,0.7447,7.2732,0.4618,7.7971,6.6329,0.6951,7.416,14.6643,0.8948,15.6103,18.4935,1.6727,19.9183,0.0,0.0,0.0,4.0439,0.3897,4.4433,10.7333,0.471,11.2251,20.7723,1.3959,21.7148,1.1898,0.0196,1.2124,1.6001,0.0829,1.6768,3415.4852,147.5687,3520.8408,2149.5924,47.5889,2204.2263,1265.8928,119.2616,1351.4095,0.3701,0.0205,0.3885,134.3333,7.0238,141,5.4946,0.1201,5.6234,11.3064,1.6295,13.0938,9.0,5.2915,15,8.6667,5.6862,15,0.3333,0.5774,1,1.5525,0.802,2.2676,0.6949,0.0,0.6949
