policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
rl (rl_base),352,32.909,390,280.3333,10.0167,288,71.6667,27.3191,102,0.7997,0.0576,0.8529,16.5379,0.5661,17.1863,15.1039,1.5382,16.8367,31.0798,0.2733,31.2709,36.3548,2.498,39.2386,0.0,0.0,0.0,9.5232,0.0325,9.5604,14.4608,0.7169,15.2224,35.4665,2.7497,37.0872,1.5066,0.0574,1.5534,2.6487,0.0842,2.7002,4150.6748,153.3794,4305.979,2642.3011,46.4388,2688.6153,1508.3737,199.8127,1710.2404,0.3625,0.0347,0.3972,0.0,0.0,0,2.6729,0.2454,2.9014,3.6785,0.8775,4.5789,24.6667,6.8069,30,22.3333,6.4291,27,2.3333,0.5774,3,1.8345,0.4886,2.3788,1.5263,0.6117,1.9406
rl (rl_v3),352,32.909,390,238.3333,10.6927,245,113.6667,28.589,145,0.6799,0.0523,0.7327,11.4367,0.8638,12.4339,9.7867,0.5999,10.4307,26.621,1.3681,27.9545,33.2757,1.1698,34.6053,0.0,0.0,0.0,7.0367,0.7559,7.7168,10.7945,0.1945,10.9333,21.9039,1.1922,22.7201,1.2353,0.0263,1.2644,1.9123,0.1129,2.0425,4009.6769,125.1073,4090.8435,2135.964,99.3378,2194.0433,1873.7129,27.2816,1898.2565,0.4675,0.0085,0.4771,0.0,0.0,0,2.5408,0.0504,2.5718,3.5758,0.6175,4.2805,4.6667,2.0817,7,4.3333,1.5275,6,0.3333,0.5774,1,1.7891,0.8005,2.6162,1.8576,0.0,1.8576
rl (rl_v4),352,32.909,390,270.0,12.1244,277,82.0,28.8271,113,0.7703,0.0608,0.8318,14.6739,1.2301,16.0223,12.1749,1.5417,13.9499,30.4885,0.8171,31.3166,38.5979,4.2858,43.3908,0.1952,0.3382,0.5857,9.1959,0.4338,9.6442,13.1755,0.7341,14.001,32.5205,2.6252,35.5499,1.4107,0.0559,1.474,2.5469,0.1207,2.655,4095.8433,100.2467,4181.0941,2496.4779,88.034,2595.6791,1599.3655,101.4433,1714.9994,0.3904,0.02,0.4102,0.0,0.0,0,2.9925,0.6018,3.6826,4.2826,0.8893,5.0725,18.6667,9.0738,29,17.3333,8.7369,27,1.3333,1.1547,2,2.1418,0.3001,2.4854,0.8639,0.5,1.2175
rl (rl_v5),352,32.909,390,274.6667,9.2376,280,77.3333,29.3995,110,0.7839,0.0619,0.8408,16.1375,0.3022,16.4397,14.6914,0.7527,15.1502,30.6931,0.509,31.2726,36.8637,2.8413,38.9856,0.1403,0.2431,0.421,9.3338,0.2612,9.6354,14.5137,0.7752,15.1212,37.3826,1.3803,38.258,1.476,0.0347,1.5085,2.6439,0.0984,2.735,4169.71,179.8181,4371.5216,2647.9303,51.2834,2697.687,1521.7797,172.4696,1720.6635,0.3643,0.026,0.3936,0.0,0.0,0,2.4012,0.1444,2.5634,3.2459,0.0829,3.341,17.3333,2.5166,20,17.0,2.0,19,0.3333,0.5774,1,2.2711,0.835,3.1512,1.8995,0.0,1.8995
rl+sa (rl_base),352,32.909,390,289.3333,8.1445,295,62.6667,28.746,95,0.8257,0.0631,0.8799,15.4357,0.8102,16.3637,14.5827,0.5876,15.2528,30.1196,0.3298,30.4984,33.8989,1.7468,35.6579,0.0,0.0,0.0,9.0265,0.4384,9.4205,14.2919,1.0031,15.1067,35.9466,4.3176,39.3026,1.4535,0.0622,1.5175,2.5809,0.1117,2.6603,4073.0214,180.6565,4264.8985,2708.7702,69.157,2779.2737,1364.2512,168.5844,1558.905,0.3343,0.0276,0.3655,95.0,5.2915,99,72.0028,3.3051,75.2611,239.9506,12.1352,253.7701,14.6667,2.0817,17,14.6667,2.0817,17,0.0,0.0,0,1.4537,0.7244,2.2454,,,
rl+sa (rl_v3),352,32.909,390,241.6667,11.1505,250,110.3333,30.9892,144,0.6897,0.06,0.7508,10.3592,0.6035,11.0533,9.5851,0.1819,9.7705,21.4867,2.2454,24.0718,29.4463,2.7036,31.8359,0.2222,0.3848,0.6665,5.8411,0.6463,6.5835,10.2154,0.4482,10.5509,19.6122,1.3584,20.956,1.1886,0.0358,1.2285,1.5869,0.0939,1.6939,3929.1476,142.7211,4041.7169,2124.3752,75.1525,2202.0801,1804.7724,106.2601,1922.7373,0.4592,0.015,0.4757,75.0,3.4641,79,12.9681,1.6808,14.7537,52.9121,31.0931,71.0292,0.3333,0.5774,1,0.3333,0.5774,1,0.0,0.0,0,1.8359,0.0,1.8359,,,
rl+sa (rl_v4),352,32.909,390,272.6667,9.0185,282,79.3333,25.1462,108,0.7776,0.0487,0.8168,14.2991,0.4404,14.7933,12.1469,0.3771,12.3737,29.5196,0.8275,30.3528,34.3332,2.5036,37.0888,0.242,0.4191,0.7259,8.7193,0.7417,9.532,12.006,0.5951,12.4521,28.1784,0.6796,28.8725,1.3098,0.0505,1.3611,2.2968,0.2385,2.5512,4085.3296,177.0184,4288.2212,2459.4147,63.2243,2531.6265,1625.9149,214.5219,1855.6172,0.397,0.0358,0.4327,87.6667,4.7258,93,43.161,10.3993,53.9522,162.1552,32.1312,186.8469,9.0,5.2915,15,8.6667,4.7258,14,0.3333,0.5774,1,1.8753,0.5841,2.4892,0.2534,0.0,0.2534
rl+sa (rl_v5),352,32.909,390,288.0,15.0997,302,64.0,22.6495,88,0.8207,0.0484,0.8709,15.2585,0.8128,16.0431,14.4495,1.7906,16.4198,30.033,1.0235,30.7944,34.3759,1.6867,35.8994,0.0,0.0,0.0,8.8556,0.4496,9.3474,13.6087,1.1653,14.5146,34.6834,3.8652,37.7411,1.396,0.065,1.4494,2.4346,0.1514,2.5884,4097.3812,149.0846,4269.2637,2628.6155,58.0307,2688.455,1468.7656,160.0489,1644.453,0.3579,0.027,0.3852,98.3333,13.0128,111,66.1764,14.0708,81.6958,222.262,20.845,243.5814,14.6667,5.5076,20,14.3333,5.0332,19,0.3333,0.5774,1,1.6198,0.4897,1.9185,0.6261,0.0,0.6261
rl+ts (rl_base),352,32.909,390,295.0,11.0,306,57.0,24.0208,84,0.8411,0.0516,0.8859,13.2465,1.1158,14.4888,10.8657,1.7829,12.8965,29.412,0.65,29.983,35.5124,1.4776,36.775,0.0,0.0,0.0,9.1314,0.2469,9.355,13.3799,0.9996,14.0321,32.8652,5.5391,38.6511,1.3785,0.0528,1.4152,2.3989,0.2148,2.55,3715.2176,104.8683,3791.6439,2607.9436,49.3853,2642.9207,1107.2741,137.1775,1240.1935,0.2975,0.0292,0.3271,188.0,3.4641,192,37.5222,9.385,48.0967,141.1922,37.7976,183.5314,12.0,2.6458,15,11.6667,2.0817,14,0.3333,0.5774,1,1.8581,0.1923,2.0093,4.8342,0.0,4.8342
rl+ts (rl_v3),352,32.909,390,251.3333,8.6217,259,100.6667,26.839,131,0.7169,0.0486,0.7598,8.1699,0.6144,8.8649,7.2092,0.682,7.9724,18.3212,1.9325,20.1039,27.0639,2.097,29.0211,0.0,0.0,0.0,5.2453,0.446,5.5311,10.4895,0.3826,10.9223,20.2839,1.2108,21.5284,1.1924,0.0037,1.196,1.6223,0.0336,1.6597,3526.9533,144.5719,3657.8659,2198.7215,36.5326,2232.8106,1328.2318,121.8172,1454.6695,0.3761,0.0196,0.3977,169.3333,7.5719,178,8.8267,0.4988,9.4002,24.6214,6.9338,32.6237,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,,
