id,name,lat,lon
0,Hal Qormi - Bankieri,35.8849986,14.4743422
1,Hal Qormi - Bankieri,35.8857463,14.4749819
2,Birkirkara - Negozju,35.8880136,14.4701958
3,Fleur-de-Lys - Fleur-de-Lys 2,35.889891,14.4723791
4,Birkirkara - Birrerija,35.8907059,14.4628465
5,Birkirkara - Gwakkin,35.8913947,14.4660129
6,Birkirkara - Mriehel,35.8928929,14.4587735
7,Hal Balzan - Fontaine,35.8972914,14.4553369
8,Hal Lija - Wiji,35.9021565,14.4517386
9,Birkirkara - Karm,35.9045421,14.462868
10,Birkirkara - Zwejt,35.9019871,14.4692463
11,Birkirkara - Birkirkara 1,35.8953244,14.4650942
12,Fleur-de-Lys - Fleur-de-Lys 3,35.890795,14.4727693
13,Birkirkara - Xarretta,35.8937849,14.4731663
14,Santa Venera - Ferrovija,35.8923849,14.4820648
15,Santa Venera - Ferrovija,35.8925621,14.4807526
16,L-Imsida - Msida,35.8960301,14.4889276
17,Ta' Xbiex - Embassy,35.8978716,14.4970115
18,Ta' Xbiex - Elizabetta,35.900743,14.4975567
19,Il-Gzira - Ponsonby,35.9062421,14.4974261
20,Tas-Sliema - Ferries 3,35.9087845,14.5039476
21,Tas-Sliema - Xerri,35.9070201,14.5083748
22,Tas-Sliema - Chalet,35.9129363,14.5066544
23,Tas-Sliema - Huber,35.9133112,14.5013309
24,Tas-Sliema - Antik,35.9147545,14.4964069
25,San Giljan - Balluta,35.914458,14.4935235
26,Il-Gzira - Imperu,35.9018006,14.4914944
27,Ta' Xbiex - Principessa,35.8990711,14.4932051
28,Il-Gzira - Librerija,35.9048162,14.4916437
29,Il-Gzira - Leyland,35.9094454,14.4943772
30,Tas-Sliema - Mrabat,35.9111628,14.4932089
31,L-Imsida - Qroqq 2,35.8999347,14.48479
32,Is-Swatar - Ganni,35.8978568,14.4783819
33,Is-Swatar - Swatar,35.8991333,14.4766317
34,Birkirkara - Giovanni,35.8992712,14.4721055
35,Mater Dei - Sptar 3,35.9017872,14.4754663
36,L-Imsida - Universita 3,35.9012484,14.4799992
37,San Gwann - Industrijali,35.9039359,14.4722691
38,San Gwann - Galea,35.9064539,14.4716227
39,Il-Kappara - Longo,35.9068797,14.4814745
40,Il-Kappara - Mayr,35.9111182,14.487083
41,San Giljan - Giorni,35.9138618,14.4894488
42,San Giljan - Olivier,35.9176176,14.49276
43,Il-Kappara - Kuncizzjoni,35.9096132,14.4824198
44,San Gwann - Mejda,35.9115961,14.4652981
45,San Gwann - Busuttil,35.9091755,14.4739702
46,San Gwann - Balal,35.9086423,14.4754193
47,San Gwann - Rihan,35.9079304,14.4787263
48,San Gwann - Briffa,35.9109618,14.4751015
49,San Gwann - Stefanotis,35.9120165,14.4774525
50,San Giljan - Spinola,35.9193735,14.4900871
51,San Giljan - Ross,35.9217249,14.4903551
52,San Giljan - San Giljan,35.9223269,14.4876958
53,Is-Swieqi - Swieqi 2,35.9236193,14.4836739
54,Paceville - Portanier,35.9272533,14.4867934
55,Paceville - Profs,35.9284455,14.4889337
56,Pembroke - Malfeggiani,35.9287713,14.4831495
57,Pembroke - Burma,35.9271977,14.4823717
58,Pembroke - Pembroke Park & Ride 1,35.9234706,14.4781146
59,Is-Swieqi - Pembroke Park & Ride 2,35.9232244,14.4769659
60,Pembroke - Napuljun,35.9271184,14.4772486
61,Is-Swieqi - Ibragg,35.9217557,14.4748789
62,Is-Swieqi - Qantar,35.9203364,14.4774917
63,Is-Swieqi - Qasam,35.9195407,14.480281
64,Ta' Giorni - Baltiku,35.9164382,14.4811955
65,Ta' Giorni - Baltiku,35.9151295,14.4795694
66,Ta' Giorni - Lanzon,35.913384,14.4824347
67,Is-Swieqi - Victoria,35.9174461,14.4683947
68,Is-Swieqi - Xaghrat,35.9192709,14.4714245
69,Il-Madliena - Stronka,35.9262062,14.4630128
70,Il-Madliena - Pulzier,35.9223986,14.4672024
71,Il-Madliena - Narcis,35.9252006,14.4680929
