policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
greedy,343.2,24.5906,368,259,16.0156,275,84.2,17.782,106,0.7559,0.0391,0.8088,15.0101,0.3882,15.4778,12.896,1.1671,14.2191,30.8342,0.4489,31.2482,36.133,2.3434,39.1109,0.0,0.0,0.0,9.666,0.4218,10.0733,14.013,0.6659,14.5038,35.3665,3.1862,38.5375,1.3462,0.018,1.3733,2.1946,0.086,2.2662,3869.4805,131.5148,4033.8496,2521.0202,70.8953,2591.9549,1348.4602,99.9132,1521.5947,0.3482,0.0165,0.3772,0,0.0,0,0.3152,0.0324,0.3496,0.675,0.1132,0.7836,18,3.1623,22,16.6,2.7019,21,1.4,1.1402,3,2.0558,0.5842,2.7223,1.2466,0.9416,2.4143
greedy+sa,343.2,24.5906,368,268.8,12.9306,277,74.4,16.9204,97,0.7848,0.0356,0.8171,14.647,0.6982,15.336,12.6126,1.1747,13.8318,30.7151,0.3319,31.1168,35.5249,1.3902,37.5496,0.0,0.0,0.0,9.5719,0.3678,9.8683,13.8985,0.8022,14.8922,34.1409,2.7286,37.5418,1.3381,0.0337,1.3897,2.1845,0.1085,2.3127,3812.4394,183.2297,4060.292,2531.4476,94.4227,2647.3949,1280.9917,162.315,1544.9503,0.3352,0.029,0.3805,36.2,7.3621,44,55.8405,9.7101,70.7918,247.0489,39.8941,317.8408,20.8,2.6833,25,19.2,3.7683,25,1.6,1.1402,3,1.6628,0.5254,2.4554,0.8577,0.3334,1.2868
greedy+ts,343.2,24.5906,368,268.4,15.8209,282,74.8,16.1152,94,0.7832,0.0353,0.8294,13.9653,0.8715,15.3356,11.2081,1.3423,13.4653,30.305,0.9991,31.6855,36.5445,2.0145,39.811,0.0,0.0,0.0,9.5945,0.6313,10.1885,13.8451,0.5226,14.6449,32.8833,1.8178,35.3403,1.3406,0.0248,1.3844,2.213,0.0453,2.2782,3609.9381,141.4056,3805.7763,2500.2471,125.7145,2675.8966,1109.691,63.1891,1198.4435,0.3075,0.0161,0.3246,84.4,10.2127,95,25.3222,2.103,28.2384,104.0785,13.6136,122.8912,17.2,5.5408,26,15.4,5.4589,24,1.8,1.4832,4,2.5946,0.4232,3.0774,1.5882,1.0844,2.9106
greedy+ga,343.2,24.5906,368,268.2,13.2174,281,75,17.6918,94,0.7831,0.0382,0.8265,13.6822,0.3915,14.1292,10.9763,0.4739,11.448,30.1281,0.8376,30.9514,36.1676,2.5822,39.811,0.0,0.0,0.0,9.3715,0.5274,9.7809,14.0631,0.3945,14.3853,34.3946,1.9185,37.2167,1.3547,0.0079,1.3669,2.1985,0.0439,2.2572,3627.7238,144.3922,3787.406,2497.9315,97.1361,2615.787,1129.7923,94.5883,1288.6959,0.3112,0.0183,0.3403,87.4,14.2934,106,134.7258,8.9552,144.5318,595.3222,59.4493,666.9968,16.8,5.5408,22,14.6,4.8785,20,2.2,1.0954,4,2.1211,0.7635,3.0993,2.3351,1.8842,5.4029
greedy+alns,343.2,24.5906,368,278.2,15.1723,295,65,19.2224,87,0.8123,0.045,0.8676,13.859,0.4585,14.5438,12.0517,0.662,12.7821,30.0649,0.6275,30.9022,34.5953,2.2144,38.0961,0.0,0.0,0.0,9.1035,0.3414,9.496,14.2784,0.597,14.9472,35.221,0.6438,36.1291,1.3547,0.0283,1.3999,2.1632,0.0883,2.2615,3797.9082,150.8656,3975.7237,2573.3634,119.6783,2684.4854,1224.5448,82.4934,1367.5513,0.3224,0.017,0.344,69.2,10.3537,84,81.7321,8.271,90.5163,323.1427,28.8461,347.703,15.2,4.7645,23,13.4,4.3359,20,1.8,1.0954,3,1.5799,0.2317,1.8488,1.0617,0.4875,1.4613
rl (rl_base),343.2,24.5906,368,256,13.7295,271,87.2,17.3839,107,0.7473,0.036,0.7971,15.7612,0.2723,16.063,14.1362,0.7278,14.8739,31.1329,0.6576,32.0789,35.497,1.1858,37.2947,0.1145,0.2561,0.5726,9.4194,0.2688,9.7904,14.0126,0.3372,14.5807,34.997,1.6236,36.6513,1.3697,0.028,1.4011,2.1986,0.0108,2.2115,3932.0884,97.5418,4040.0174,2468.5843,88.618,2572.9556,1463.504,53.814,1547.0841,0.3723,0.0127,0.3829,0,0.0,0,2.8289,0.245,3.2479,4.36,0.2651,4.6564,21.4,3.9749,28,19.2,4.6043,26,2.2,1.3038,4,1.9657,0.2966,2.4094,1.7183,0.8251,2.5727
rl+ts (rl_base),343.2,24.5906,368,267.6,15.6939,279,75.6,15.4045,96,0.7808,0.0329,0.8206,13.5394,0.3836,14.0149,10.7743,0.5548,11.3246,29.8891,0.8934,31.2146,35.4168,1.8929,37.9053,0.0,0.0,0.0,9.2268,0.6624,9.8905,13.6757,0.6853,14.7401,33.9802,2.8983,36.8478,1.3319,0.0346,1.3919,2.1879,0.0678,2.2456,3590.1132,108.7718,3725.2436,2474.0223,116.392,2615.2848,1116.0909,81.619,1239.3495,0.311,0.022,0.3361,150.6,15.9468,171,28.7002,3.3961,33.5562,108.0958,17.0047,125.0271,12.8,4.7645,18,11.8,3.8987,17,1,1.2247,3,2.0149,0.6823,2.8832,1.5558,1.5783,3.1693
rl (rl_v3),343.2,24.5906,368,216.4,8.961,228,126.8,20.3887,150,0.6322,0.0355,0.6706,11.221,0.3475,11.7421,9.6811,0.3636,9.8914,26.1023,1.5105,27.4095,33.6447,0.9539,35.0462,0.0279,0.0623,0.1393,6.9632,0.4974,7.3064,10.998,0.5006,11.7141,22.1529,1.6899,24.3967,1.1949,0.0201,1.2158,1.6818,0.1002,1.8198,3856.688,115.1935,3949.0406,2032.1832,103.8404,2140.3148,1824.5048,54.1061,1884.8605,0.4733,0.015,0.4877,0,0.0,0,3.4821,0.3355,4.0162,6.4633,1.1998,7.9713,4.6,2.1909,8,4.6,2.1909,8,0,0.0,0,1.9047,0.5386,2.6354,,,
rl+ts (rl_v3),343.2,24.5906,368,230.6,10.5736,241,112.6,19.6545,140,0.6735,0.0363,0.7088,8.6155,0.408,9.0106,7.3058,0.716,8.1701,19.8559,0.9917,20.6838,28.813,1.8393,31.6262,0.0,0.0,0.0,5.5773,0.4315,6.0133,10.9045,0.2536,11.1022,20.2086,0.6995,21.2273,1.1848,0.015,1.2017,1.6095,0.0676,1.7055,3406.8578,142.7494,3543.3266,2088.0504,78.6614,2167.4379,1318.8074,100.3694,1466.0571,0.3868,0.0176,0.4146,155.4,3.4351,160,9.861,0.9096,10.8108,23.0088,4.2057,27.01,0.2,0.4472,1,0.2,0.4472,1,0,0.0,0,1.6262,0.0,1.6262,,,
rl (rl_v4),343.2,24.5906,368,247.8,12.3167,257,95.4,16.5167,115,0.7233,0.031,0.7559,14.8421,0.4522,15.3113,12.5862,0.7896,13.2997,30.4327,0.7052,31.3331,35.5545,0.8368,36.546,0.0593,0.1327,0.2967,9.1343,0.1003,9.253,12.8659,0.6873,13.7053,31.5179,2.4987,33.4592,1.3155,0.0286,1.3642,2.1368,0.0955,2.2365,3950.0586,105.0308,4057.3388,2323.7145,89.0038,2412.8723,1626.3441,63.8037,1733.2539,0.4118,0.0137,0.4272,0,0.0,0,4.1117,0.2465,4.3552,7.6357,0.6159,8.1019,15.4,3.5071,20,13.8,4.2661,20,1.6,1.5166,3,2.218,0.3375,2.6463,0.8933,0.4369,1.3525
