policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
greedy,694.4,37.3135,731,261.4,9.7108,273,433,27.8657,459,0.3767,0.0072,0.3851,10.7487,0.4227,11.1896,11.3122,0.2757,11.6124,16.7357,0.4497,17.34,19.8652,0.4039,20.5032,0.4995,0.699,1.6443,4.1068,0.2284,4.4387,14.7628,0.1544,14.9217,36.599,3.4265,40.5838,1.5062,0.0272,1.5357,2.2949,0.0256,2.3218,3309.1728,74.9458,3392.6358,2392.4169,68.7716,2469.0947,916.7559,60.5393,1010.1817,0.277,0.0162,0.3053,0,0.0,0,0.1831,0.0108,0.202,0.2967,0.0146,0.3175,40,4.899,46,37.4,3.7815,43,2.6,1.5166,4,1.489,0.1695,1.7485,0.5968,0.4043,1.1474
greedy+sa,694.4,37.3135,731,264.6,4.7223,269,429.8,34.5355,463,0.3818,0.0172,0.4,10.5847,0.4054,10.9956,11.0368,0.3894,11.5266,16.4166,0.2918,16.654,20.033,0.8088,20.8895,0.5805,0.5207,1.2109,4.0274,0.1108,4.1422,15.0064,0.245,15.2649,35.0229,1.8905,38.1722,1.519,0.0104,1.5276,2.2718,0.0407,2.3335,3286.1151,98.8488,3412.659,2418.8591,75.1918,2538.2399,867.256,67.473,925.0603,0.2638,0.0168,0.2779,18.4,4.7223,24,12.0649,1.5263,13.7772,66.9408,3.3815,71.627,35.4,8.6197,44,34.6,7.893,43,0.8,0.8367,2,1.433,0.2096,1.6579,1.2566,0.1975,1.4741
greedy+ts,694.4,37.3135,731,268.8,8.5557,277,425.6,31.8167,460,0.3876,0.0149,0.409,10.5639,0.5422,11.0848,11.0596,0.5114,11.6453,16.6379,0.2887,16.8881,20.9376,1.8373,23.6241,0.0448,0.1002,0.2242,4.141,0.2104,4.5066,14.7529,0.4547,15.142,36.3433,2.2986,40.2109,1.5018,0.0351,1.5274,2.304,0.0465,2.3756,3255.146,78.7977,3351.888,2412.3532,54.9367,2486.7087,842.7928,47.0059,879.9942,0.2588,0.0109,0.2709,34.4,6.5038,44,5.8596,0.603,6.8432,27.2038,2.6948,31.2182,41,11.8533,57,37.8,9.757,50,3.2,2.2804,7,1.5408,0.1194,1.7006,1.7302,0.9477,2.6141
greedy+ga,694.4,37.3135,731,268,5.244,274,426.4,35.2037,460,0.3867,0.0187,0.409,10.5541,0.5601,11.1194,11.116,0.6533,11.9385,16.7384,0.3246,17.0061,20.7761,1.9644,23.6241,0.0448,0.1002,0.2242,4.1518,0.2158,4.5066,14.8225,0.4758,15.2247,35.8527,1.171,37.4176,1.5025,0.0379,1.5278,2.3149,0.0598,2.3804,3255.2652,74.6554,3339.5838,2418.5631,54.1197,2485.1422,836.7021,43.124,878.9412,0.257,0.0102,0.2693,37.4,4.98,45,29.3652,3.0245,33.612,168.0255,3.8316,173.5638,40.8,12.478,57,37.8,10.2811,50,3,2.4495,7,1.597,0.1016,1.7304,1.4846,0.8583,2.5513
greedy+alns,694.4,37.3135,731,268.2,8.2583,278,426.2,30.1778,461,0.3867,0.0114,0.3975,10.6555,0.2512,10.9239,11.1202,0.1977,11.4335,16.668,0.7413,17.6987,19.7224,1.0973,21.6166,0.5685,0.6835,1.4216,4.0172,0.1029,4.1492,14.8927,0.4989,15.5094,35.2278,3.4569,40.1808,1.5168,0.023,1.539,2.2639,0.0211,2.291,3282.9553,73.7474,3387.2045,2397.9156,64.362,2491.6051,885.0397,50.9436,912.6985,0.2695,0.0137,0.2826,21.4,3.3615,25,10.718,0.4023,11.3101,57.988,3.5656,62.3532,38.8,4.8683,44,35.6,4.1593,41,3.2,1.0954,5,1.414,0.3042,1.7173,1.5735,1.3524,3.0937
rl (rl_base),694.4,37.3135,731,258,7.746,264,436.4,30.7539,470,0.372,0.0114,0.3836,10.6516,0.3551,11.0474,11.026,0.4725,11.4529,16.5825,0.4058,17.2258,21.1237,4.3548,28.8408,0.3899,0.5123,1.181,3.9943,0.0971,4.1329,14.7609,0.2971,15.2829,34.9274,1.0838,36.5701,1.5177,0.0335,1.5699,2.2968,0.048,2.3544,3314.4956,64.4064,3386.1396,2339.5776,87.6024,2462.5308,974.918,84.5977,1110.4426,0.2941,0.0241,0.3326,0,0.0,0,1.6583,0.1693,1.9579,4.7361,0.127,4.9223,35.4,5.9414,43,31.4,4.7223,39,4,2.5495,7,1.6774,0.3973,2.1755,1.367,1.5231,4.0096
rl+ts (rl_base),694.4,37.3135,731,266.6,11.0815,280,427.8,33.5291,472,0.3845,0.0188,0.406,10.6425,0.3292,10.9099,11.2268,0.4123,11.6126,16.5962,0.4913,17.2611,20.2405,2.1638,23.3981,0.5406,0.2679,0.7848,4.0319,0.087,4.1332,14.7196,0.2534,15.1232,35.7195,2.5081,40.0662,1.4923,0.0286,1.5259,2.2676,0.0373,2.312,3265.1754,77.5523,3358.1393,2400.2258,74.2783,2486.1062,864.9496,48.1071,933.8303,0.2649,0.0137,0.2857,55.4,4.0373,61,7.9527,0.7519,9.0161,33.7728,2.4439,38.0885,36,7.5498,45,34.6,7.1624,44,1.4,0.8944,2,1.5082,0.2802,1.9554,2.055,1.3417,3.5083
rl (rl_v3),694.4,37.3135,731,210,5.3852,215,484.4,34.6237,520,0.3029,0.0135,0.3179,9.1763,0.3996,9.7927,9.3658,0.5549,10.0155,15.6633,0.5671,16.404,18.2724,0.443,18.6119,0.1802,0.3114,0.7192,4.0106,0.1034,4.1456,10.665,0.4376,11.0348,22.1004,1.6874,24.1429,1.2502,0.0232,1.2785,1.9494,0.1107,2.1309,3258.3924,67.2884,3339.4091,1841.2729,64.8368,1926.1844,1417.1195,39.7237,1462.1576,0.435,0.0123,0.4492,0,0.0,0,3.2866,0.209,3.4507,7.3761,0.4735,7.6989,14,2.9155,19,13.4,3.2094,19,0.6,0.5477,1,1.4001,0.2852,1.8869,0.557,0.8105,1.4886
rl+ts (rl_v3),694.4,37.3135,731,223.8,6.7602,229,470.6,31.6512,502,0.3227,0.0102,0.3358,8.7635,0.3518,9.2748,8.763,0.4935,9.2908,15.1902,0.4136,15.9166,18.1338,1.0271,19.7372,0.0175,0.0392,0.0877,4.0164,0.2239,4.4077,10.5061,0.2018,10.8053,20.9041,0.5712,21.7267,1.2301,0.0154,1.244,1.8056,0.0633,1.8787,3177.3857,53.5444,3250.7542,1913.0506,46.0107,1967.1296,1264.335,33.0339,1309.0481,0.3979,0.009,0.4138,88,6.1237,94,5.6836,0.1375,5.8041,16.2717,1.0915,17.3448,12.6,4.0373,19,12.2,4.0866,19,0.4,0.8944,2,1.3278,0.5145,2.1587,2.5123,0.0,2.5123
rl (rl_v4),694.4,37.3135,731,261.6,7.3007,269,432.8,31.1079,462,0.3772,0.0123,0.3925,10.82,0.3461,11.176,11.289,0.3762,11.7585,16.7709,0.1414,16.8776,20.4721,1.0756,21.4532,0.3125,0.4109,1.0329,4.0147,0.2107,4.231,12.957,0.5134,13.649,29.6286,1.5224,31.5322,1.455,0.0169,1.4847,2.2197,0.034,2.2638,3300.3831,74.2211,3377.8644,2215.7887,77.1624,2346.4899,1084.5943,69.4159,1193.7049,0.3286,0.0188,0.3549,0,0.0,0,1.7993,0.1372,1.9773,5.8881,0.9036,6.7396,39.2,6.8337,50,37.6,7.0214,49,1.6,0.8944,3,1.4675,0.2413,1.8637,3.1733,1.3929,5.3189
