policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
greedy,694.4,37.3135,731,385,11.3798,401,309.4,26.8849,338,0.5551,0.0157,0.5761,20.3899,0.2331,20.7811,22.8642,0.6138,23.6382,31.7886,0.776,33.0771,36.5386,0.3671,36.9005,0.2145,0.3187,0.765,9.0887,0.3562,9.4744,15.3736,0.6622,16.1749,37.6955,3.0408,41.6648,1.5074,0.037,1.5577,2.3458,0.0564,2.4389,4844.8339,105.9108,4940.899,3485.0195,68.5826,3587.636,1359.8144,129.5694,1509.9137,0.2804,0.0219,0.3056,0,0.0,0,0.5086,0.0377,0.558,0.8429,0.0946,0.9482,51.8,8.5557,64,47.2,7.9812,59,4.6,2.7019,9,1.8679,0.2187,2.2511,1.1754,0.4392,1.764
greedy+sa,694.4,37.3135,731,403,9.9247,413,291.4,30.138,325,0.5812,0.0218,0.6071,19.7742,0.3678,20.2279,21.79,0.3354,22.151,31.5415,0.2636,31.8948,36.8827,1.3146,38.2792,0.0,0.0,0.0,9.0429,0.3332,9.4011,15.1377,0.3614,15.6427,36.3243,1.4999,37.7173,1.4915,0.0241,1.5223,2.3086,0.0453,2.3605,4795.5387,118.8191,4957.5555,3523.209,102.0156,3669.8162,1272.3298,123.8774,1408.617,0.2651,0.0221,0.2926,80.8,17.2829,105,96.1818,8.4774,103.4636,307.6696,16.0868,327.4269,47,5.1478,55,41.4,5.5045,50,5.6,1.1402,7,1.9355,0.3011,2.2267,1.2391,0.8175,2.5825
greedy+ts,694.4,37.3135,731,417.4,13.8492,432,277,27.9553,311,0.6018,0.0207,0.6196,18.2828,0.5179,19.1212,19.3612,0.9797,20.8685,31.1603,0.5634,32.0942,35.7755,0.6562,36.5711,0.0279,0.0623,0.1393,9.3398,0.1308,9.4829,14.8917,0.4434,15.4527,36.3413,1.9386,39.5881,1.4857,0.0263,1.5209,2.2872,0.0303,2.3284,4674.5418,89.4624,4799.1462,3539.1025,76.2582,3619.7972,1135.4393,99.6249,1277.5251,0.2427,0.0184,0.2662,137.4,12.4016,156,45.1515,4.5288,50.6887,159.9974,7.3402,171.2035,40.8,7.1204,52,37.2,4.7645,44,3.6,2.6077,8,1.6871,0.4328,2.4389,2.0834,0.813,3.3168
greedy+ga,694.4,37.3135,731,419.6,11.5456,430,274.8,27.7525,305,0.605,0.0195,0.6242,18.2372,0.727,18.9556,19.1623,1.1135,20.4285,31.0555,0.6419,31.8271,35.2483,0.4929,35.9359,0.0803,0.1796,0.4016,9.1145,0.1142,9.2234,14.8874,0.3514,15.2568,35.8927,1.5129,38.5893,1.4798,0.0212,1.5049,2.2579,0.0363,2.2896,4670.5769,106.9561,4812.0448,3508.5542,97.5841,3655.3828,1162.0227,118.7492,1328.3094,0.2486,0.0221,0.276,142.8,8.228,154,264.005,30.4217,298.4702,870.2035,43.7254,922.8396,41,9.3005,51,37.8,9.8336,49,3.2,0.8367,4,1.5876,0.1998,1.9092,0.9971,0.6959,2.1236
greedy+alns,694.4,37.3135,731,429,12.6689,444,265.4,30.287,298,0.6187,0.0246,0.6403,17.1754,0.4765,17.9851,16.9132,0.3941,17.2614,30.5953,0.3734,30.9102,35.9332,2.8829,40.0734,0.0037,0.0083,0.0185,9.0348,0.1102,9.224,14.7142,0.4008,15.1849,36.0774,2.4457,38.4126,1.474,0.0222,1.5033,2.2847,0.0371,2.3213,4726.7919,135.8102,4862.4086,3547.2668,71.8043,3644.0645,1179.5251,140.6964,1321.5247,0.2491,0.0241,0.2731,172.4,22.0295,199,123.1183,13.2617,138.4305,396.8357,16.8478,414.3215,33.2,6.3008,42,28.4,6.8411,38,4.8,1.9235,7,1.7887,0.4018,2.3908,2.0001,1.0459,3.4129
rl (rl_base),694.4,37.3135,731,374.8,9.8843,382,319.6,28.5009,349,0.5404,0.0169,0.5582,20.6136,0.3982,21.316,23.3759,0.8148,24.7277,31.6367,0.1846,31.8765,36.9103,2.8588,41.6249,0.066,0.0969,0.2145,9.0247,0.1133,9.1098,15.0101,0.1674,15.2259,35.4655,0.6656,36.1476,1.5194,0.0173,1.5407,2.3184,0.0336,2.3519,4875.4561,99.7358,4973.0408,3389.8376,86.9808,3487.1665,1485.6184,62.9363,1563.7688,0.3047,0.0112,0.3218,0,0.0,0,2.8235,0.2683,3.1312,5.5353,0.8924,7.0104,50.6,5.7271,60,44.6,3.3615,50,6,2.9155,10,1.7436,0.2045,1.909,1.1058,0.536,1.8621
rl+ts (rl_base),694.4,37.3135,731,415.8,12.657,430,278.6,28.4833,311,0.5996,0.0212,0.6258,17.7913,0.4241,18.4568,18.4935,0.7023,19.2161,30.8227,0.4859,31.6571,36.6243,1.1765,37.777,0.004,0.0089,0.02,9.141,0.0751,9.2086,14.3882,0.2943,14.7441,34.3004,2.2373,36.9729,1.456,0.0272,1.4853,2.2602,0.0543,2.3093,4672.2592,100.8706,4763.2142,3481.0013,122.467,3622.8092,1191.258,72.4925,1298.8892,0.2551,0.0163,0.2804,218.2,14.7037,242,46.3457,1.9256,48.1079,159.4986,7.1585,169.0749,36.6,7.5366,50,32.8,8.0747,47,3.8,1.7889,7,1.6752,0.2461,1.8797,1.8367,0.516,2.7097
rl (rl_v3),694.4,37.3135,731,311.8,10.5451,324,382.6,27.2268,413,0.4494,0.0102,0.4612,14.7402,0.3932,15.1655,12.6318,0.5855,13.3257,30.2659,0.205,30.5767,35.9856,1.3557,37.0741,0.0,0.0,0.0,8.9245,0.1663,9.2092,11.1288,0.2419,11.4406,24.876,0.7673,25.8597,1.2812,0.0249,1.3161,2.0337,0.0472,2.0845,4869.8801,110.2848,5013.8483,2701.5774,101.175,2841.7504,2168.3026,50.695,2240.9822,0.4454,0.0112,0.4636,0,0.0,0,4.5143,0.0489,4.5653,8.0568,0.1931,8.3521,17.6,2.1909,21,16.8,1.0954,18,0.8,1.3038,3,1.8839,0.4896,2.6546,0.5869,0.387,0.8605
rl+ts (rl_v3),694.4,37.3135,731,352.2,13.0652,363,342.2,25.3022,368,0.5076,0.0113,0.5217,11.1533,0.3891,11.4579,10.1591,0.7436,10.9321,23.8341,0.7365,24.8062,31.8129,0.7352,32.7199,0.0,0.0,0.0,6.5894,0.246,6.9002,10.5262,0.179,10.7658,20.5781,1.1089,21.986,1.248,0.0133,1.2611,1.8123,0.0519,1.863,4600.4254,109.2077,4744.299,2882.5249,98.1445,3005.0198,1717.9005,43.8801,1781.9598,0.3735,0.0098,0.389,247.4,12.522,260,15.4362,1.5957,16.856,56.6214,8.4247,65.7909,2.2,0.8367,3,2,0.7071,3,0.2,0.4472,1,1.2998,0.5345,1.8409,1.2076,0.0,1.2076
rl (rl_v4),694.4,37.3135,731,370.2,8.167,381,324.2,30.9225,360,0.5339,0.0202,0.5559,19.7841,0.5158,20.1112,21.6459,1.2451,22.8345,31.3678,0.2866,31.8144,37.3215,2.4704,41.1775,0.4519,0.5937,1.3463,8.9742,0.4029,9.466,13.6065,0.2138,13.9097,32.0731,0.9283,33.2117,1.4608,0.0158,1.4821,2.2463,0.0375,2.288,4888.0093,97.1051,4977.6687,3193.2841,74.3335,3297.2693,1694.7252,109.6997,1810.6341,0.3465,0.018,0.3686,0,0.0,0,4.0556,0.5118,4.515,7.8043,0.915,8.6318,42.4,5.3198,48,38.8,4.1473,42,3.6,1.5166,6,1.6965,0.2491,2.0692,2.2505,1.3331,4.4084
