policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
greedy,343.2,24.5906,368,241.6,14.6219,256,101.6,16.7422,122,0.705,0.0332,0.7529,8.6329,0.4315,9.193,8.5016,0.5595,9.0783,15.9087,0.5517,16.6086,20.0847,1.151,21.9587,0.0,0.0,0.0,4.5061,0.1954,4.7553,13.2334,0.6585,14.2355,32.6142,2.1477,34.8109,1.3158,0.0469,1.3806,2.1662,0.0602,2.2315,3607.0377,151.7387,3807.3106,2369.4286,93.3796,2427.428,1237.6091,118.2148,1379.8827,0.3427,0.0231,0.3624,0,0.0,0,0.1637,0.0075,0.1715,0.2898,0.0406,0.359,19.6,4.98,25,18.8,4.7645,24,0.8,0.4472,1,1.8013,0.2221,2.1747,1.7115,2.0269,4.7156
greedy+sa,343.2,24.5906,368,243.6,16.562,263,99.6,17.7003,118,0.7107,0.0383,0.7735,8.5542,0.5297,9.0558,8.2963,0.8398,9.3448,15.9974,0.6033,16.879,22.2261,3.0308,25.7206,0.0,0.0,0.0,4.52,0.0884,4.6177,12.9842,0.7525,14.0811,31.0413,2.4153,34.043,1.2988,0.0416,1.3674,2.0957,0.1205,2.3053,3566.441,188.5934,3814.4545,2353.6374,126.9731,2464.9266,1212.8035,153.4504,1434.5212,0.3395,0.0314,0.3761,25.4,9.2358,40,9.9813,1.5586,12.3417,60.0736,4.3629,66.0839,20.2,4.9193,28,18.8,3.8987,24,1.4,1.5166,4,1.8889,0.6663,2.6178,2.855,4.304,9.3107
greedy+ts,343.2,24.5906,368,243.8,14.0606,258,99.4,17.6011,120,0.7116,0.0352,0.7588,8.3997,0.3609,8.8178,7.9822,0.41,8.6644,15.9129,0.6898,16.7085,21.8869,1.9986,25.0883,0.0,0.0,0.0,4.4891,0.1576,4.6943,13.321,0.9155,14.483,31.1471,3.5501,34.7273,1.3187,0.036,1.3762,2.1247,0.175,2.3179,3436.6665,131.7846,3638.9964,2354.6756,90.1186,2467.0898,1081.991,132.3547,1306.3438,0.3143,0.0294,0.359,51.4,15.1921,76,5.0585,0.2941,5.3889,19.5233,3.8693,24.1048,19.4,2.9665,23,17.8,3.4205,22,1.6,0.8944,3,1.8027,0.4768,2.225,1.918,1.3682,3.8802
greedy+ga,343.2,24.5906,368,243.2,14.0961,258,100,18.6011,120,0.7099,0.0379,0.7588,8.4734,0.3402,8.814,8.1643,0.4612,8.6692,15.7001,0.3659,16.2015,20.6791,1.2735,22.4346,0.0,0.0,0.0,4.4284,0.1368,4.6121,13.1533,0.9518,14.5547,30.1881,3.3989,34.3459,1.3171,0.0402,1.3841,2.1073,0.1849,2.3137,3431.204,154.455,3638.9964,2338.0249,130.8247,2479.3074,1093.1791,125.8171,1306.3438,0.3184,0.0299,0.359,52,15.2807,76,20.37,4.9744,26.2139,153.8934,10.899,166.4407,19.2,1.9235,22,17.6,1.5166,20,1.6,0.8944,3,1.7232,0.3577,2.1208,1.94,1.3477,3.8802
greedy+alns,343.2,24.5906,368,241.8,12.6768,255,101.4,18.8892,128,0.7061,0.0375,0.7412,8.6076,0.2269,8.861,8.4903,0.5356,9.3978,15.8608,0.5439,16.2969,20.1225,2.0433,22.4346,0.0,0.0,0.0,4.4633,0.1879,4.6085,12.8912,0.4916,13.4414,30.9554,2.0246,34.3897,1.2896,0.0234,1.3232,2.1338,0.1245,2.3328,3581.5534,138.3844,3794.3333,2320.8317,72.6096,2434.4015,1260.7217,144.6607,1495.1284,0.3514,0.0285,0.394,9.6,2.3022,12,11.0013,2.0649,14.511,60.1032,16.3362,83.63,20.6,5.4129,29,19.4,5.0299,27,1.2,0.4472,2,1.567,0.2624,1.9187,0.9159,0.8769,2.1429
rl (rl_base),343.2,24.5906,368,240.2,12.6965,251,103,16.5378,122,0.7011,0.0303,0.7382,9.177,0.2534,9.5966,9.2804,0.4054,9.8897,16.1787,0.4886,16.9898,19.7295,0.5169,20.5134,0.0,0.0,0.0,4.3264,0.0905,4.4093,13.0931,0.9014,14.2942,32.0196,2.281,34.3669,1.3159,0.0442,1.3853,2.1443,0.1015,2.2868,3687.3265,131.4259,3820.6458,2319.9026,88.2389,2427.8092,1367.4239,122.6718,1537.5744,0.3705,0.0244,0.4024,0,0.0,0,2.3585,0.2696,2.8313,4.1505,0.1429,4.3111,23.4,1.6733,26,22.2,1.3038,24,1.2,1.3038,3,1.6779,0.3018,2.1991,3.5099,3.9916,8.0872
rl+ts (rl_base),343.2,24.5906,368,242,14.1951,256,101.2,17.5841,122,0.7063,0.035,0.7529,8.3375,0.5159,8.7563,8.0542,0.7253,8.9323,15.4689,0.4453,16.1988,20.5616,1.4145,22.4346,0.0,0.0,0.0,4.4316,0.2775,4.7767,12.7699,0.744,13.8383,28.4508,1.4145,30.4948,1.2923,0.0431,1.3547,2.0812,0.1496,2.2457,3423.1242,153.2359,3593.9777,2299.4581,110.1466,2437.3294,1123.6661,113.0051,1322.2495,0.328,0.0242,0.3679,106,10.1735,118,7.9831,0.3649,8.4154,20.513,3.2552,25.9262,19,6.5574,30,17.8,6.3797,29,1.2,1.0954,3,1.4364,0.3762,1.944,0.947,0.3382,1.4151
rl (rl_v3),343.2,24.5906,368,213.2,8.4083,222,130,20.2361,153,0.6229,0.0342,0.6569,8.9979,0.2671,9.4206,8.988,0.2909,9.4355,15.851,0.8684,17.2553,20.2118,1.9832,22.0589,0.0,0.0,0.0,4.0677,0.1036,4.223,11.0644,0.5111,11.4955,21.2323,1.9798,23.3006,1.1982,0.0121,1.2108,1.7218,0.1023,1.8526,3648.758,81.183,3786.397,2002.8623,65.0325,2063.6851,1645.8957,92.0907,1791.2467,0.4509,0.0191,0.4731,0,0.0,0,3.0515,0.2752,3.5002,6.0099,0.9268,7.2567,15.4,3.5071,19,15.4,3.5071,19,0,0.0,0,1.6561,0.5437,2.4475,,,
rl+ts (rl_v3),343.2,24.5906,368,221.4,11.0136,233,121.8,18.8069,144,0.6465,0.0331,0.6853,7.5475,0.5776,8.187,7.1703,0.6318,7.8256,14.9568,0.6214,15.6612,20.1168,1.7783,21.7827,0.0,0.0,0.0,4.1538,0.1935,4.3017,11.1298,0.2771,11.4475,21.5453,1.078,22.9567,1.1976,0.0179,1.219,1.647,0.0245,1.6833,3274.666,114.6677,3429.0487,2049.4749,54.2541,2101.7219,1225.191,85.3766,1367.0827,0.3739,0.0151,0.3987,117.6,13.4648,138,6.7325,0.27,7.0278,13.3619,0.758,14.6832,11.4,2.6077,15,10.6,3.3615,15,0.8,0.8367,2,1.6402,0.4682,2.3158,0.8507,0.3419,1.2451
rl (rl_v4),343.2,24.5906,368,229.8,9.8843,239,113.4,19.5141,136,0.6713,0.0356,0.7029,9.2215,0.1718,9.4542,9.2355,0.1552,9.4592,15.9571,0.2796,16.397,18.9569,0.5797,19.9328,0.0706,0.1579,0.353,4.1352,0.0779,4.2347,12.1689,0.3672,12.4996,28.1553,1.5593,29.2358,1.273,0.0289,1.2951,2.0456,0.099,2.1539,3714.6893,112.1828,3860.149,2210.9886,65.6346,2277.5096,1503.7007,83.6566,1634.2626,0.4047,0.0143,0.4234,0,0.0,0,2.8046,0.2259,3.1646,6.053,0.8942,7.2207,20,2.8284,23,19.2,2.5884,22,0.8,0.8367,2,1.4472,0.2973,1.8358,0.8153,0.3774,1.2488
