policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
greedy,343.2,24.5906,368,241.6,12.4619,250,101.6,16.9499,121,0.7052,0.0314,0.7353,15.1231,0.5199,15.5137,12.7603,1.4315,13.9003,30.9253,0.7825,31.7945,36.0455,2.1446,38.956,0.0,0.0,0.0,9.7138,0.5434,10.1719,12.6986,0.2052,12.9527,28.8293,1.5473,30.7609,1.2157,0.0137,1.2303,1.721,0.03,1.7552,3796.1097,167.7146,4008.9568,2388.5148,109.4125,2453.8762,1407.5949,93.4763,1570.274,0.3707,0.015,0.3917,0,0.0,0,0.2691,0.0163,0.2916,0.5423,0.0829,0.6797,18.2,2.2804,22,16.8,2.0494,20,1.4,0.5477,2,2.0614,0.5656,2.6888,1.1622,0.8138,1.9694
greedy+sa,343.2,24.5906,368,245.8,15.5467,260,97.4,15.3232,118,0.717,0.0304,0.7588,14.3987,0.7433,15.4162,12.5311,1.3489,13.8121,29.6935,0.554,30.3054,35.1536,1.582,36.6597,0.0,0.0,0.0,9.4563,0.4358,9.8614,12.93,0.3176,13.2967,28.4087,1.553,30.9181,1.2224,0.0109,1.2324,1.7533,0.0455,1.7945,3724.9823,152.5451,3895.0639,2419.33,88.0233,2473.7916,1305.6523,98.9218,1437.427,0.3503,0.0162,0.369,25.2,5.5408,30,37.8274,3.9626,44.647,185.8265,15.9368,207.4129,13,3.0822,18,11,2.9155,15,2,1.0,3,2.3216,0.5921,3.0284,1.3003,0.8224,2.1185
greedy+ts,343.2,24.5906,368,248.8,10.4738,259,94.4,17.5727,115,0.7266,0.0335,0.7618,13.9527,0.64,14.9029,11.6026,1.4323,13.7878,30.0471,0.544,30.4126,35.5986,1.2692,37.2028,0.0,0.0,0.0,9.3863,0.4205,9.8955,12.9626,0.347,13.5182,28.0354,0.9161,29.0938,1.2274,0.0176,1.2457,1.7769,0.0406,1.8173,3590.1178,151.9022,3736.9801,2392.1266,92.8469,2481.2352,1197.9912,79.1203,1313.1604,0.3335,0.0119,0.3514,69.2,7.1903,81,17.5139,3.2623,22.5782,72.9742,16.6722,94.7824,15.6,2.1909,19,13.6,1.9494,16,2,1.4142,4,1.878,0.4459,2.6058,1.0917,0.459,1.4197
greedy+ga,343.2,24.5906,368,246.8,12.5579,258,96.4,16.3799,114,0.7204,0.0307,0.7588,13.9189,0.6425,14.9795,11.3715,0.7988,12.6783,29.8667,0.642,30.736,34.9267,1.7883,36.8708,0.0,0.0,0.0,9.3893,0.4706,9.9678,12.8153,0.3717,13.0827,28.3194,1.437,30.4556,1.2182,0.0119,1.2326,1.7648,0.0653,1.8173,3592.8839,139.8861,3729.2922,2371.346,102.4797,2459.5488,1221.5378,82.0715,1360.5487,0.3399,0.0164,0.3648,66,12.3491,86,88.0349,9.3401,98.5006,464.2404,6.3003,471.2943,14.2,3.2711,18,12.6,2.7019,16,1.6,0.8944,2,1.8697,0.5808,2.3874,1.3444,0.9893,2.6986
greedy+alns,343.2,24.5906,368,252.8,12.6174,262,90.4,15.9468,108,0.7379,0.0302,0.7706,14.1695,0.4301,14.7808,11.9558,0.8818,12.7751,30.4188,0.4269,30.7308,34.919,1.6904,36.5491,0.0,0.0,0.0,9.3671,0.4537,9.9113,13.1069,0.3927,13.5925,29.1724,1.4941,30.3403,1.235,0.0223,1.257,1.7711,0.0608,1.861,3726.0372,152.2963,3908.6601,2430.3806,93.0342,2523.6136,1295.6565,93.6421,1427.3191,0.3475,0.0156,0.3652,51.4,5.1769,56,49.3239,5.2492,55.3157,224.6846,27.1527,259.3274,17,3.3912,21,14.6,2.9665,18,2.4,1.3416,4,1.9966,0.4397,2.7558,1.2511,0.5609,1.8934
rl (rl_base),343.2,24.5906,368,235.4,14.639,247,107.8,16.1152,129,0.6868,0.0305,0.7235,16.0569,0.5668,16.5877,14.5361,1.0662,15.4826,30.696,0.584,31.3885,35.5322,1.0125,36.7883,0.0279,0.0623,0.1393,9.4058,0.279,9.7789,12.6394,0.314,12.9012,28.5907,2.0104,31.1985,1.2228,0.0243,1.2428,1.7356,0.0436,1.7925,3905.0863,113.5764,3995.9787,2316.4079,90.5153,2397.5094,1588.6784,26.7995,1623.9804,0.407,0.0066,0.4172,0,0.0,0,2.5604,0.3132,3.102,4.357,0.1192,4.4679,16.6,2.7019,20,15.2,3.1145,19,1.4,0.8944,3,2.1902,0.4652,2.909,2.7828,2.2515,6.6935
rl+ts (rl_base),343.2,24.5906,368,248.2,13.7004,263,95,15.0333,115,0.7242,0.0278,0.7559,13.61,0.5188,14.2353,11.215,1.0714,12.7356,30.0712,0.3543,30.4666,36.606,1.8928,38.0283,0.0,0.0,0.0,9.3331,0.5604,9.9642,12.6123,0.3659,13.0723,28.0202,0.6667,28.6582,1.2135,0.0142,1.229,1.7036,0.0412,1.7489,3564.3179,128.3227,3694.615,2347.368,106.5423,2435.1852,1216.9499,78.672,1356.9752,0.3414,0.018,0.3673,137.4,12.522,152,19.8657,2.835,24.4873,73.5708,18.013,99.5957,13,2.5495,16,12.2,2.1679,14,0.8,1.0954,2,1.9837,0.4176,2.3086,1.3372,1.4612,2.3705
rl (rl_v3),343.2,24.5906,368,205.2,10.0349,213,138,19.0,161,0.5992,0.03,0.6254,11.7778,0.6974,12.7452,10.1605,0.6013,11.167,27.1,1.318,28.7458,34.8797,1.8364,37.9096,0.1461,0.3267,0.7306,7.3332,0.5349,7.7769,10.946,0.4339,11.5745,20.1837,1.2127,21.8077,1.1565,0.0176,1.1816,1.5529,0.0645,1.6513,3756.8061,110.8956,3840.8069,1969.6335,75.807,2030.2369,1787.1725,65.122,1884.5733,0.4757,0.0115,0.4907,0,0.0,0,3.5307,0.6214,4.2939,6.9127,1.1368,8.2474,5,2.7386,9,4.4,1.9494,7,0.6,0.8944,2,2.8425,0.8699,3.9563,0.6009,0.0365,0.6267
rl+ts (rl_v3),343.2,24.5906,368,217.4,12.1161,226,125.8,15.1063,142,0.6343,0.0216,0.6549,9.1968,0.5718,9.9664,8.1506,0.4482,8.5946,21.3317,1.9352,23.0273,29.6421,2.6328,32.9463,0.0,0.0,0.0,5.89,0.6901,6.5456,11.1364,0.1952,11.3646,20.8822,1.4632,22.4807,1.1581,0.0114,1.1757,1.542,0.0622,1.5989,3401.6746,139.3656,3535.6502,2070.6802,117.7413,2158.1109,1330.9945,63.5682,1413.8963,0.3915,0.017,0.4087,146.4,14.8762,162,8.7202,0.3238,9.1205,20.134,2.6589,23.6823,0.8,1.3038,3,0.6,0.8944,2,0.2,0.4472,1,1.2683,0.76,1.8057,0.1311,0.0,0.1311
rl (rl_v4),343.2,24.5906,368,229.2,11.4543,236,114,16.7183,132,0.669,0.0279,0.6932,14.6662,0.5088,15.2685,12.6743,0.8858,13.6437,30.2644,0.5047,30.959,34.8217,1.4156,36.4922,0.0,0.0,0.0,8.8473,0.1906,9.1474,11.8738,0.5426,12.743,24.4801,2.5067,28.0455,1.2039,0.0156,1.2198,1.6823,0.0257,1.7241,3874.4841,133.5714,3950.4051,2174.4911,92.4322,2266.5341,1699.993,62.7033,1746.5843,0.4388,0.0102,0.4449,0,0.0,0,3.2995,0.2821,3.5734,6.5987,0.9716,7.7813,14.6,1.6733,17,13.2,2.2804,16,1.4,0.8944,3,1.6283,0.4497,2.1517,1.7362,1.6497,4.5846
