policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
greedy,352,32.909,390,280.3333,12.897,291,71.6667,32.2542,106,0.8003,0.0728,0.8739,14.7999,1.5675,16.6047,13.0356,2.2725,15.4642,30.1239,1.1585,31.122,35.8742,1.9137,37.8931,0.0,0.0,0.0,9.2989,0.3767,9.7077,13.2628,0.9287,14.1103,32.0052,4.5062,37.1686,1.3378,0.0553,1.3996,2.1254,0.1313,2.2541,4005.0169,178.4403,4163.1363,2629.7209,102.1007,2735.7967,1375.2961,144.8255,1541.8947,0.343,0.0246,0.3704,0,0.0,0,0.2651,0.0428,0.3131,0.5597,0.0401,0.6057,16,7.0,23,14.3333,5.5076,20,1.6667,1.5275,3,2.3886,0.4837,2.833,2.0532,0.0915,2.1179
greedy+sa,352,32.909,390,286.6667,11.9304,295,65.3333,27.3922,95,0.8177,0.0603,0.8769,14.9545,0.8421,15.9247,13.3629,1.5459,14.8035,29.7844,0.2494,30.0327,34.0502,1.22,34.9507,0.0,0.0,0.0,9.2733,0.1813,9.4309,13.1956,0.9023,13.8559,31.6164,3.9603,35.0747,1.3298,0.0464,1.3699,2.0759,0.1147,2.1555,4006.1401,136.7693,4162.0085,2629.5737,42.4228,2678.373,1376.5663,153.7964,1553.1384,0.3431,0.0268,0.3732,37.3333,7.6376,44,61.6315,12.3113,74.9615,236.0056,43.9917,278.0836,13.3333,3.0551,16,12.6667,2.5166,15,0.6667,0.5774,1,1.5979,0.2632,1.9004,0.5545,0.1986,0.6949
greedy+ts,352,32.909,390,288.3333,9.8658,295,63.6667,30.2379,97,0.823,0.0677,0.8859,13.2343,0.9519,14.3211,10.8617,0.4462,11.3665,29.9887,1.086,31.1668,34.319,2.6455,37.3613,0.0,0.0,0.0,8.9479,0.5113,9.5382,13.5079,1.0399,14.2203,32.335,5.6146,36.1833,1.342,0.0366,1.3723,2.1497,0.106,2.2279,3713.6535,116.0103,3818.1576,2620.9909,60.7885,2689.5357,1092.6626,134.4125,1244.5332,0.2937,0.028,0.326,99.6667,9.4516,107,27.4999,3.8937,30.6581,112.8939,22.8883,129.5384,15.6667,8.6217,25,14,6.5574,21,1.6667,2.0817,4,1.5373,0.7481,2.384,1.576,1.246,2.457
greedy+ga,352,32.909,390,287,11.5326,296,65,31.4325,99,0.8193,0.0714,0.8889,13.5879,1.4711,15.2865,11.8405,1.6876,13.7452,29.7295,0.9311,30.4872,33.1544,1.192,34.3036,0.0,0.0,0.0,9.0613,0.4739,9.5385,13.3251,0.8666,14.0526,31.1258,4.1199,34.4054,1.3321,0.0362,1.3562,2.1589,0.1721,2.3167,3734.7341,138.946,3854.0098,2589.2975,42.1007,2627.992,1145.4366,110.5352,1258.574,0.3063,0.0187,0.3266,97,2.6458,100,142.5257,29.6596,174.4228,625.3174,91.0445,711.6601,13,5.5678,18,12.3333,5.0332,17,0.6667,0.5774,1,1.2288,0.2815,1.4682,1.382,0.9717,2.0691
greedy+alns,352,32.909,390,296,12.53,308,56,23.5797,82,0.8438,0.0513,0.8919,13.3188,1.0488,14.5025,11.2738,1.0909,12.4998,28.5555,1.0519,29.6534,36.4404,1.8375,37.8846,0.0,0.0,0.0,8.7585,0.3644,9.0954,13.0408,1.1124,13.8482,30.401,5.4692,35.257,1.3146,0.0594,1.3628,2.0192,0.2011,2.1421,3904.7061,148.86,4051.8186,2608.7075,66.4213,2685.1533,1295.9987,166.6578,1486.7015,0.3312,0.0309,0.3669,88,8.6603,93,78.0706,23.0122,102.5362,291.9349,64.4246,359.4233,10,2.0,12,9.3333,1.5275,11,0.6667,0.5774,1,2.1762,1.4025,3.7913,1.4113,1.013,2.1276
rl (rl_v3ant),352,32.909,390,275.3333,11.5902,286,76.6667,33.5012,113,0.7863,0.0744,0.8589,17.1835,0.9361,18.1295,17.3468,1.4597,18.8306,30.937,0.8453,31.7891,38.6039,5.7104,44.0207,0.0453,0.0784,0.1358,9.4497,0.1211,9.5838,13.6909,0.8024,14.2556,32.7997,3.4701,35.8434,1.3718,0.0409,1.4106,2.2023,0.0093,2.2094,4202.1456,158.5112,4381.9404,2602.1669,48.8707,2641.4222,1599.9788,121.8315,1740.5182,0.3804,0.0151,0.3972,0,0.0,0,3.4765,0.7572,4.2336,4.26,0.3164,4.5782,20.6667,5.6862,27,19.6667,5.0332,25,1,1.0,2,2.0459,0.735,2.4814,1.3077,0.8666,1.9205
rl+sa (rl_v3ant),352,32.909,390,282,13.2288,292,70,31.1929,103,0.8049,0.0705,0.8769,16.0971,0.8713,17.0903,15.3962,1.5888,17.0534,30.5463,0.4805,31.0518,35.6033,0.8528,36.53,0.0453,0.0784,0.1358,9.0781,0.0932,9.1626,13.1836,0.4697,13.6509,30.3128,1.8615,31.7433,1.3368,0.0187,1.3584,2.1304,0.092,2.2364,4106.94,166.5108,4284.9534,2587.9384,68.3325,2637.5417,1519.0016,129.6242,1668.6755,0.3695,0.0182,0.3894,98,12.49,108,65.7505,8.8453,75.9487,226.0731,35.2002,258.6493,18,3.4641,22,17,3.4641,21,1,0.0,1,2.048,0.4402,2.5207,0.8044,0.2808,1.1234
rl+ts (rl_v3ant),352,32.909,390,289,10.583,297,63,27.1846,93,0.8244,0.0595,0.8799,13.1338,1.1244,14.3944,10.7693,1.425,12.4096,29.735,0.7835,30.5708,33.3566,0.7287,34.1797,0.0,0.0,0.0,8.817,0.4474,9.2362,13.3205,0.9256,14.0625,31.2566,3.4048,34.2076,1.3327,0.0479,1.3648,2.1489,0.1339,2.2434,3724.3093,137.6957,3842.5086,2581.6153,26.0214,2604.8462,1142.694,118.4967,1256.0054,0.3063,0.0208,0.3269,170.6667,12.897,185,32.5654,4.2658,35.4225,122.8064,11.5826,133.185,15,7.0,23,12.6667,5.5076,19,2.3333,1.5275,4,1.3372,0.1731,1.4747,1.641,0.9537,2.6952
rl+ga (rl_v3ant),352,32.909,390,290.6667,11.9304,299,61.3333,30.3535,94,0.8296,0.0695,0.8979,13.6177,1.4116,15.1817,11.4082,2.3171,14.073,29.2598,0.5927,29.8587,34.2429,1.0164,35.4148,0.0,0.0,0.0,9.0016,0.3277,9.3212,13.0878,0.7516,13.549,30.0218,2.7161,31.6021,1.3314,0.0428,1.3715,2.0832,0.1106,2.1658,3729.4551,147.0247,3855.2672,2599.3718,49.3132,2652.7037,1130.0833,127.345,1265.2822,0.3025,0.023,0.3282,181.6667,28.0416,214,161.7831,37.7646,200.94,597.3523,113.7659,682.3134,10.3333,2.3094,13,10,2.6458,13,0.3333,0.5774,1,1.4689,0.0943,1.5428,0.6949,0.0,0.6949
rl+alns (rl_v3ant),352,32.909,390,292.3333,9.8658,299,59.6667,30.2379,93,0.8344,0.0687,0.8979,14.3356,1.1445,15.6041,12.8805,1.4168,14.4187,29.0013,0.7698,29.4896,33.7035,1.3473,35.2048,0.0,0.0,0.0,8.4516,0.5231,8.9894,13.2886,1.0216,14.0682,31.8944,4.7111,36.4849,1.3267,0.0554,1.3812,2.1451,0.099,2.2193,4062.9125,147.8597,4227.4497,2624.8061,24.4342,2652.9324,1438.1064,153.9915,1614.7797,0.3534,0.0248,0.382,106.3333,14.2945,122,81.458,16.58,99.7111,284.2506,53.4163,334.3494,8.6667,4.1633,12,7.3333,4.0415,11,1.3333,0.5774,2,2.1664,0.8986,3.1067,0.5946,0.1542,0.6949
