policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
greedy,522.6667,14.8436,539,341,16.5227,352,181.6667,10.116,188,0.6523,0.0205,0.6724,17.7573,0.9606,18.8516,19.0636,1.5624,20.8148,31.4942,0.5216,32.0531,36.5302,2.3126,39.0652,0.0,0.0,0.0,9.7638,0.2018,9.9811,13.9823,0.4792,14.5319,33.529,0.386,33.7734,1.4037,0.0188,1.4248,2.2367,0.0406,2.28,4610.5968,114.2597,4708.1799,3171.8467,107.0683,3279.6645,1438.7501,26.0589,1468.3726,0.3121,0.0076,0.3165,0,0.0,0,0.3456,0.0201,0.3672,0.6318,0.0224,0.6516,38.3333,9.2376,49,35,8.7178,45,3.3333,1.1547,4,1.7734,0.3302,1.9656,1.0267,0.45,1.5421
greedy+sa,522.6667,14.8436,539,354.3333,18.1475,371,168.3333,6.5064,175,0.6777,0.018,0.6883,17.2647,0.8331,18.2121,17.7484,1.3405,19.2743,30.7954,0.7309,31.6339,37.8418,1.1661,39.1759,0.0,0.0,0.0,9.3,0.202,9.5315,14.1495,0.1286,14.2387,33.847,1.1586,35.1835,1.409,0.0168,1.4245,2.2286,0.0274,2.253,4550.2666,157.7834,4648.2644,3243.2726,122.1623,3343.7876,1306.994,47.3551,1355.5575,0.2873,0.0061,0.2925,56.6667,11.0604,67,79.7557,8.7213,88.6973,282.8403,10.7282,293.2413,28.6667,8.9629,39,26.3333,8.3865,36,2.3333,0.5774,3,1.8034,0.1005,1.9181,0.858,0.5126,1.4218
greedy+ts,522.6667,14.8436,539,360,15.1327,372,162.6667,7.5056,167,0.6887,0.0154,0.7033,15.2245,0.5369,15.6416,13.8596,1.2455,14.9698,30.5373,0.4441,30.9768,36.8676,0.8376,37.6431,0.0,0.0,0.0,9.5393,0.1699,9.7025,13.7495,0.4256,14.1878,32.9961,4.4688,38.1506,1.3885,0.0191,1.4038,2.2034,0.0535,2.2363,4324.5871,158.0188,4478.3877,3163.8068,164.8395,3273.3625,1160.7803,62.8142,1205.0252,0.2686,0.0171,0.2855,119.6667,18.0093,138,32.8142,2.1969,35.2257,127.1722,12.9328,140.4259,25.3333,2.8868,27,23.6667,4.1633,27,1.6667,1.5275,3,1.8536,0.3175,2.1549,1.6057,0.1179,1.6891
greedy+ga,522.6667,14.8436,539,366,17.5214,383,156.6667,5.0332,162,0.7,0.0154,0.7106,15.3264,0.9345,16.3788,13.6635,1.933,15.6097,30.6863,0.0469,30.7398,38.5862,1.5739,40.4031,0.0,0.0,0.0,9.5608,0.2824,9.7246,13.6074,0.4637,14.0001,32.8683,3.1297,35.9825,1.3806,0.0174,1.3919,2.1964,0.0214,2.2172,4308.5238,192.2632,4477.3607,3128.8165,189.535,3246.8507,1179.7073,56.0737,1230.5099,0.2741,0.0163,0.2901,127.3333,11.1505,140,200.0237,19.238,219.0014,797.3295,47.8935,851.5754,27,1.7321,28,25.3333,0.5774,26,1.6667,1.5275,3,1.8708,0.1789,2.0649,2.1046,0.3554,2.3559
greedy+alns,522.6667,14.8436,539,369.6667,10.4083,378,153,7.5498,161,0.7073,0.0099,0.7187,15.1629,0.518,15.6352,13.6995,0.9374,14.4983,30.0242,0.2012,30.1713,34.5588,1.2186,35.787,0.0,0.0,0.0,9.1264,0.0604,9.1633,13.7829,0.566,14.4055,32.6618,2.5237,35.4645,1.3837,0.0362,1.4255,2.1873,0.069,2.2571,4467.8298,112.7816,4549.606,3194.634,119.7608,3316.7063,1273.1958,47.0133,1324.8465,0.2851,0.0123,0.2935,118.3333,10.6927,130,96.7917,1.869,98.5345,348.6474,33.2142,369.0021,19,1.0,20,18.6667,1.5275,20,0.3333,0.5774,1,1.5635,0.181,1.7484,0.0172,0.0,0.0172
rl (rl_v3ant),522.6667,14.8436,539,344.3333,14.5717,358,178.3333,4.6188,181,0.6587,0.0118,0.6667,18.5574,0.6624,19.283,20.1325,1.1196,21.4075,31.4162,0.1615,31.5324,36.9645,1.1715,37.7884,0.0598,0.1035,0.1793,9.3589,0.4083,9.6977,14.6958,0.4975,15.2378,35.3735,0.5349,35.9001,1.4581,0.0328,1.493,2.2745,0.031,2.3079,4669.9308,100.3675,4737.2545,3152.7173,147.6443,3292.416,1517.2135,79.6668,1569.7575,0.3251,0.0205,0.3417,0,0.0,0,3.2231,0.5108,3.7147,4.526,0.2084,4.7619,34.6667,3.2146,37,33.3333,3.0551,36,1.3333,0.5774,2,1.8865,0.2691,2.1972,1.202,0.6916,1.9383
rl+sa (rl_v3ant),522.6667,14.8436,539,349.6667,15.5027,361,173,8.6603,178,0.6689,0.0175,0.6859,17.4535,0.7012,18.1432,17.6265,1.4696,18.9111,31.3622,0.5501,31.9693,36.553,1.2616,37.7233,0.0,0.0,0.0,9.3697,0.158,9.4672,14.064,0.3603,14.459,33.931,1.9912,36.1969,1.4086,0.032,1.441,2.2227,0.0058,2.2274,4604.6895,135.3344,4710.8642,3182.4646,174.4554,3332.82,1422.2249,41.7879,1461.1165,0.3092,0.0179,0.3282,107.3333,4.5092,112,76.8735,8.7497,83.4915,255.6838,30.2939,290.5343,32.3333,7.5719,41,30.6667,8.3267,40,1.6667,1.1547,3,1.9548,0.0753,2.038,1.1448,1.4061,2.7283
rl+ts (rl_v3ant),522.6667,14.8436,539,364.3333,13.2035,376,158.3333,5.6862,163,0.697,0.0104,0.7071,15.0405,0.7351,15.8696,13.0001,1.2978,14.4941,30.9187,0.4455,31.2381,36.0531,1.561,37.8249,0.0,0.0,0.0,9.3968,0.035,9.437,13.8999,0.523,14.4208,32.724,3.7431,37.0324,1.4009,0.0118,1.4082,2.173,0.0395,2.1969,4335.8858,174.9723,4499.0754,3181.7374,162.6297,3294.4166,1154.1483,51.373,1204.6588,0.2664,0.0128,0.2784,212.3333,14.1539,221,37.2876,0.7513,38.1448,133.6715,11.9875,142.6163,24.3333,5.1316,30,23.6667,4.0415,28,0.6667,1.1547,2,2.1898,0.1297,2.2823,1.4458,0.0,1.4458
rl+ga (rl_v3ant),522.6667,14.8436,539,361.6667,11.0151,369,161,9.0,170,0.692,0.0131,0.7071,15.3306,0.7462,16.1179,14.2065,1.2856,15.5225,30.6553,0.4396,31.1622,37.0999,1.4286,38.0206,0.0,0.0,0.0,9.3597,0.1013,9.4726,13.9361,0.5023,14.422,32.9929,4.0513,37.6572,1.4073,0.0254,1.4243,2.2251,0.0378,2.2637,4340.1294,169.5179,4489.8925,3180.1899,159.8712,3290.8002,1159.9394,38.7907,1199.0923,0.2675,0.0113,0.2789,204,11.1355,214,199.5356,3.1335,202.4074,726.6973,75.7344,774.0402,24.6667,2.0817,27,22.6667,2.5166,25,2,2.0,4,1.885,0.2704,2.1938,0.6372,0.3548,0.888
rl+alns (rl_v3ant),522.6667,14.8436,539,367.6667,14.7422,379,155,7.8102,160,0.7034,0.0152,0.7187,15.5261,0.3452,15.8581,14.1911,0.5861,14.8315,29.9096,0.1892,30.1266,35.6568,0.4606,36.1626,0.0488,0.0845,0.1463,8.7599,0.3248,9.0128,13.9581,0.2287,14.21,33.8935,1.6072,35.5314,1.3891,0.0191,1.4053,2.2505,0.0454,2.2773,4550.5473,101.6732,4629.6541,3151.8972,161.4243,3246.7842,1398.6501,65.2631,1470.3564,0.3076,0.0208,0.3315,159.3333,27.3008,184,98.9113,4.752,103.3289,356.4537,23.8514,371.2981,21.6667,5.6862,28,17.3333,2.0817,19,4.3333,4.9329,10,1.533,0.178,1.6427,1.9254,1.4184,3.5236
