policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
greedy,212,11.2694,219,196.3333,12.4231,204,15.6667,1.1547,17,0.9258,0.0097,0.9315,11.679,1.9475,13.1011,9.1993,2.2406,11.2527,28.572,1.3525,29.96,34.0633,1.8921,35.329,0.0,0.0,0.0,8.8493,0.8178,9.4675,12.2766,1.1884,13.0278,28.3644,5.5347,32.1005,1.2436,0.0534,1.2785,1.8801,0.2278,2.0275,2994.4362,181.0867,3125.8348,1921.201,171.0354,2030.0239,1073.2352,19.6396,1095.8109,0.3592,0.0196,0.3816,0,0.0,0,0.154,0.0293,0.1774,0.3709,0.0247,0.3948,5.3333,3.2146,9,5.3333,3.2146,9,0,0.0,0,2.1561,0.3338,2.4044,,,
greedy+sa,212,11.2694,219,197.6667,11.8462,205,14.3333,0.5774,15,0.9322,0.0065,0.9361,11.6668,1.7946,13.032,9.3017,1.5794,10.5129,28.3287,1.6554,29.7658,36.2652,1.9657,38.2446,0.0,0.0,0.0,8.5515,0.8633,9.1575,12.4543,0.7727,12.9075,28.2461,3.7189,30.5389,1.2491,0.0247,1.2668,2.005,0.0912,2.0812,2974.9021,159.8173,3089.6879,1917.2183,121.9182,2001.7351,1057.6838,38.0911,1087.9527,0.3558,0.0067,0.3635,23.6667,7.5056,31,29.9207,8.2832,35.016,149.584,21.0608,165.6853,7,3.6056,10,6,3.6056,10,1,1.7321,3,2.4345,0.8884,3.4581,4.4595,0.0,4.4595
greedy+ts,212,11.2694,219,200,13.0767,209,12,2.6458,14,0.943,0.0147,0.9587,10.8046,1.9053,12.1492,8.0349,1.5901,9.3384,28.813,1.6145,29.8451,33.5202,1.2677,34.9358,0.0,0.0,0.0,8.4536,0.8375,9.0404,12.3514,0.7983,13.0025,28.079,3.2684,30.1676,1.2532,0.0342,1.2896,1.923,0.1427,2.0524,2801.6684,252.7888,2984.0991,1892.6667,167.1305,2001.934,909.0016,86.9703,982.1651,0.3244,0.0044,0.3291,57.3333,15.0111,72,14.0695,4.1034,17.6529,53.6991,12.9319,67.8227,8.3333,2.5166,11,8,2.0,10,0.3333,0.5774,1,1.0801,0.0757,1.1622,0.5711,0.0,0.5711
greedy+ga,212,11.2694,219,199.3333,13.2791,207,12.6667,2.0817,15,0.9398,0.0133,0.9495,10.902,2.0662,12.3926,8.3649,2.1674,10.46,28.3101,1.2484,29.5581,33.1732,2.6069,36.1125,0.0,0.0,0.0,8.4877,0.8186,9.1893,12.179,0.803,12.9264,27.4271,3.3387,29.8434,1.2397,0.0327,1.2747,1.8702,0.1906,2.0601,2775.5854,242.6344,2943.6747,1863.4189,156.9983,1964.076,912.1665,86.3012,979.5987,0.3285,0.0037,0.3328,57.3333,17.0392,75,63.7142,25.6561,85.5579,320.2433,139.8203,448.4228,5.6667,1.5275,7,5.6667,1.5275,7,0,0.0,0,1.3233,0.3393,1.6554,,,
greedy+alns,212,11.2694,219,200.6667,12.8582,210,11.3333,2.8868,13,0.9462,0.0151,0.9633,11.1377,1.146,12.2165,8.4814,1.2845,9.7654,27.568,0.9602,28.6423,34.3965,1.8171,35.9694,0.0,0.0,0.0,8.3053,0.4356,8.6893,12.1471,0.5391,12.5957,27.1611,1.2653,28.2897,1.2292,0.0162,1.2448,1.8534,0.0908,1.9198,3002.1632,129.3497,3094.6602,1927.6873,124.7955,2029.5394,1074.4759,51.3839,1129.6179,0.3582,0.0195,0.3734,39.3333,13.2791,47,36.3844,8.7273,42.5587,176.1803,16.9657,194.0873,5.3333,1.5275,7,5.3333,1.5275,7,0,0.0,0,1.7451,0.6282,2.3544,,,
rl (rl_v3ant),212,11.2694,219,194.6667,13.5769,203,17.3333,2.5166,20,0.9177,0.0164,0.9312,13.8884,1.2102,14.6961,11.8974,1.4339,13.0176,29.837,0.621,30.3414,34.6079,1.4648,35.9004,0.32,0.5542,0.96,8.5388,0.5791,8.9928,12.8746,1.0595,13.5367,31.4399,3.7047,33.7178,1.2891,0.0536,1.3281,2.1068,0.1733,2.2898,3240.5825,144.5452,3393.6226,1898.5453,159.1606,2027.3442,1342.0372,59.667,1385.7684,0.4147,0.0274,0.4461,0,0.0,0,3.3889,0.4939,3.9186,4.2665,0.6749,5.0302,9.6667,1.5275,11,9.3333,1.1547,10,0.3333,0.5774,1,1.8414,0.6137,2.4062,4.457,0.0,4.457
rl+sa (rl_v3ant),212,11.2694,219,197,14.1774,208,15,4.3589,18,0.9287,0.023,0.9541,12.9368,1.8008,14.2089,10.9628,1.1745,11.6835,28.8879,1.5024,29.7803,34.738,1.5617,36.2276,0.0,0.0,0.0,8.4711,0.8253,9.0975,12.2076,1.0524,12.8631,27.8328,3.8511,30.3223,1.2394,0.0536,1.2773,1.9024,0.2566,2.0789,3137.5056,161.1879,3293.051,1896.6264,159.3202,1991.9538,1240.8792,70.7037,1301.0972,0.396,0.0271,0.4236,55,6.245,60,39.6338,13.0045,48.8831,171.1669,29.8218,196.2342,7.6667,3.2146,10,7.6667,3.2146,10,0,0.0,0,2.0757,0.3628,2.3542,,,
rl+ts (rl_v3ant),212,11.2694,219,200.3333,12.4231,208,11.6667,1.5275,13,0.9447,0.0097,0.9541,10.4767,1.5508,11.7278,8.0676,1.4312,9.1912,27.4131,0.8604,28.0954,34.3156,1.7716,36.3184,0.0,0.0,0.0,8.1415,0.6419,8.629,12.2812,0.7328,12.8714,28.3158,3.6252,30.4875,1.2428,0.0285,1.2672,1.9115,0.1943,2.1202,2785.4027,203.1515,2906.1102,1878.1499,160.4238,1973.8726,907.2528,43.2287,938.4766,0.3261,0.009,0.3363,136,10.5357,147,18.1949,4.0964,21.007,59.4118,7.5123,65.5646,4,0.0,4,4,0.0,4,0,0.0,0,1.8806,0.374,2.2905,,,
rl+ga (rl_v3ant),212,11.2694,219,199.6667,11.1505,208,12.3333,1.5275,14,0.9417,0.0072,0.9498,11.0483,1.65,12.1207,8.6244,1.8069,9.6681,28.1718,0.5058,28.4942,34.8282,2.6289,36.7678,0.0,0.0,0.0,8.5566,0.3878,8.8787,12.383,0.6874,12.8241,29.6729,3.6521,31.9013,1.2488,0.0322,1.2759,1.9167,0.1955,2.0504,2836.0858,273.0329,2993.9887,1904.0761,166.3352,2005.5828,932.0098,106.9464,999.458,0.3282,0.0067,0.3338,136.6667,12.0968,146,81.5113,12.413,94.5903,411.2812,71.431,462.6882,6.6667,1.5275,8,6,2.0,8,0.6667,0.5774,1,2.145,1.0872,2.9661,0.8394,0.2689,1.0295
rl+alns (rl_v3ant),212,11.2694,219,199,10.4403,206,13,1.7321,15,0.9387,0.0068,0.945,12.0035,1.138,13.1872,10.2551,0.7489,10.8552,27.0528,2.7764,29.6379,33.8215,2.8986,36.1333,0.1975,0.3422,0.5926,7.2936,0.7538,8.1212,12.2097,0.7468,12.6543,26.9775,2.8381,29.1639,1.2342,0.0316,1.2589,1.8174,0.1362,1.9017,3193.1318,119.7819,3302.2568,1904.9106,127.4954,2015.8107,1288.2212,86.8327,1368.9454,0.4036,0.0274,0.4239,60,16.6433,72,38.8202,10.0525,48.9994,168.4681,9.8776,179.8649,4.6667,4.7258,10,4.3333,4.9329,10,0.3333,0.5774,1,2.7083,3.0398,6.1333,0.1312,0.0,0.1312
