policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
greedy,352,32.909,390,261,4.5826,265,91,29.5973,125,0.745,0.0575,0.7868,8.5406,0.2893,8.7305,8.4867,0.1241,8.5657,15.3279,0.0594,15.3949,19.5495,1.8735,21.6024,0.0,0.0,0.0,4.3616,0.099,4.4268,12.4718,0.7854,12.9596,29.5692,2.5923,31.673,1.3043,0.047,1.3346,2.0944,0.107,2.1951,3754.3827,91.024,3812.5988,2478.2111,66.1081,2553.3725,1276.1716,96.3152,1383.5162,0.3397,0.02,0.3629,0,0.0,0,0.123,0.0112,0.1314,0.2427,0.0158,0.2524,18.3333,2.3094,21,16.6667,2.0817,19,1.6667,0.5774,2,1.4301,0.3394,1.8034,1.2967,0.6628,2.0072
greedy+sa,352,32.909,390,264,11.5326,276,88,23.0651,114,0.7524,0.0415,0.7898,8.5686,0.308,8.9182,8.5637,0.4041,9.0248,15.5943,0.3558,15.9966,20.3782,1.2447,21.6024,0.0,0.0,0.0,4.4306,0.0419,4.4625,12.3372,0.712,12.8199,28.6041,2.0341,30.3827,1.2978,0.0394,1.332,2.0455,0.099,2.1504,3703.3954,109.91,3795.99,2449.048,84.1163,2546.0931,1254.3474,71.7696,1328.2387,0.3386,0.0149,0.3559,25.6667,2.8868,29,11.1529,2.0458,13.4036,62.6417,4.2261,66.6849,19.6667,2.3094,21,18.3333,2.0817,20,1.3333,0.5774,2,1.4829,0.2698,1.7503,0.7793,0.1114,0.9055
greedy+ts,352,32.909,390,262,11.7898,272,90,25.5343,118,0.747,0.0492,0.7958,8.192,0.3218,8.5627,8.0474,0.5548,8.579,15.1588,0.3197,15.3498,19.4512,1.79,21.4235,0.0,0.0,0.0,4.3158,0.0593,4.3622,12.7892,0.7321,13.3742,28.5544,2.7508,31.4854,1.312,0.0392,1.3536,2.0813,0.0603,2.1289,3591.3348,157.0671,3721.3698,2463.694,120.3302,2591.1987,1127.6408,61.7146,1188.0514,0.314,0.0117,0.3268,50.6667,2.0817,53,4.9431,0.4066,5.2831,16.9285,3.1395,18.9637,15,5.0,20,14,4.5826,18,1,1.0,2,1.3344,0.279,1.6502,1.4894,1.1235,2.2839
greedy+ga,352,32.909,390,262.6667,10.4083,271,89.3333,26.7644,119,0.7491,0.0521,0.7988,8.2017,0.2429,8.4812,7.9579,0.3266,8.292,15.3619,0.5274,15.8121,19.0968,1.4213,20.6797,0.0,0.0,0.0,4.3987,0.1744,4.5849,12.7281,0.6399,13.2916,30.4647,4.8259,35.987,1.3034,0.0252,1.3321,2.1125,0.1047,2.2258,3588.5751,130.614,3702.5672,2455.81,97.8279,2561.7742,1132.7651,52.0933,1180.3784,0.3157,0.0095,0.3263,47.3333,5.1316,53,21.6205,7.6002,30.3841,152.0036,7.7642,160.0468,15.6667,5.5076,21,14.6667,5.1316,19,1,1.0,2,1.8492,0.5557,2.486,0.7797,0.1198,0.8644
greedy+alns,352,32.909,390,260.6667,9.0185,270,91.3333,25.1462,120,0.7433,0.0457,0.7808,8.3112,0.5338,8.6496,8.1444,0.7696,8.6712,15.459,0.1708,15.6527,19.911,0.8665,20.8334,0.0,0.0,0.0,4.3956,0.0883,4.4698,12.274,0.7536,12.7211,28.5999,2.8875,30.8306,1.2808,0.0361,1.314,2.069,0.0977,2.1352,3750.7013,93.4082,3828.1124,2437.6297,66.196,2513.8294,1313.0716,59.8469,1372.3035,0.35,0.0115,0.3633,12,3.6056,16,10.2276,3.357,12.9215,48.7483,13.7482,57.9068,18,2.6458,21,16.6667,2.0817,19,1.3333,0.5774,2,1.7994,0.3936,2.0357,1.1622,1.2727,2.6025
rl (rl_v3ant),352,32.909,390,260.6667,6.6583,265,91.3333,29.6704,125,0.744,0.0583,0.7928,9.2535,0.3768,9.4996,9.3897,0.5148,9.8663,15.8206,0.212,16.0566,20.852,0.2887,21.1488,0.0,0.0,0.0,4.2567,0.0556,4.3115,12.7775,0.9102,13.6477,30.233,3.2126,33.2074,1.3075,0.0292,1.3277,2.1069,0.1052,2.196,3923.0801,106.7651,4014.5365,2467.1467,36.3729,2508.9208,1455.9334,109.028,1572.042,0.3708,0.0185,0.3916,0,0.0,0,3.0166,0.4544,3.4801,5.2232,0.3825,5.4527,25.6667,1.5275,27,25,1.0,26,0.6667,0.5774,1,1.504,0.2152,1.6605,0.5204,0.2469,0.6949
rl+sa (rl_v3ant),352,32.909,390,263,9.5394,272,89,25.7099,118,0.75,0.0484,0.7928,9.2491,0.4691,9.5376,9.5021,0.714,10.0458,15.993,0.447,16.488,20.4505,0.2538,20.6744,0.0,0.0,0.0,4.2097,0.112,4.3367,12.154,0.9327,12.8417,26.9255,4.1969,31.0496,1.2799,0.0475,1.3138,1.9959,0.1711,2.1126,3851.4396,143.5742,3958.1484,2441.6198,82.449,2531.2276,1409.8198,138.5244,1538.9997,0.3656,0.026,0.3938,61.3333,14.0119,75,15.4453,2.9413,17.1601,64.8892,8.99,71.617,24.6667,7.0946,31,24,6.5574,30,0.6667,0.5774,1,1.6273,0.1294,1.7696,0.4901,0.2897,0.6949
rl+ts (rl_v3ant),352,32.909,390,263,10.1489,272,89,25.9422,118,0.75,0.0495,0.7958,8.2856,0.2852,8.5627,8.2838,0.2596,8.579,15.2577,0.3252,15.5268,19.4512,1.79,21.4235,0.0,0.0,0.0,4.2717,0.1057,4.387,12.7939,0.7381,13.3742,29.9919,3.4666,32.4614,1.3129,0.0398,1.3536,2.1043,0.0813,2.1704,3617.6698,114.4359,3721.3698,2477.7858,101.4243,2591.1987,1139.8841,46.395,1190.3666,0.3152,0.0118,0.3273,114.6667,14.3643,131,8.4785,0.3214,8.7973,22.341,2.7752,24.6983,16,4.0,20,15,3.6056,18,1,1.0,2,1.4222,0.2236,1.6685,1.4894,1.1235,2.2839
rl+ga (rl_v3ant),352,32.909,390,263.6667,10.4083,272,88.3333,26.7644,118,0.752,0.0523,0.8018,8.2157,0.3409,8.609,8.1989,0.6696,8.9647,15.3003,0.3962,15.7074,18.8563,0.8636,19.6387,0.0,0.0,0.0,4.3242,0.1156,4.4574,12.7326,0.7398,13.3274,28.483,2.6665,31.4854,1.3084,0.0386,1.3476,2.0366,0.0932,2.1289,3598.5282,133.5306,3716.8587,2476.9779,92.6765,2581.1035,1121.5504,65.3913,1178.6717,0.3116,0.0118,0.3252,117.3333,9.4516,128,27.2187,6.2069,33.3686,165.2874,8.373,170.2694,16.3333,3.7859,19,15.3333,3.7859,18,1,1.0,2,1.3942,0.2331,1.6633,1.4894,1.1235,2.2839
rl+alns (rl_v3ant),352,32.909,390,262,9.5394,271,90,25.7099,119,0.7471,0.0482,0.7898,9.374,0.2351,9.5715,9.6038,0.3352,9.8077,15.5691,0.1858,15.707,19.83,1.7134,21.7158,0.0,0.0,0.0,4.1471,0.0688,4.2255,12.4497,0.988,13.2342,29.3589,3.1375,31.5457,1.2901,0.045,1.3196,2.0292,0.0671,2.0922,3923.0266,82.7412,3978.7313,2446.5703,86.9766,2539.9073,1476.4562,117.2204,1610.94,0.3762,0.025,0.4049,26.6667,7.5056,34,16.4982,2.8448,18.3619,66.3231,10.5559,73.3457,22,2.6458,25,21.3333,2.5166,24,0.6667,0.5774,1,1.2881,0.0279,1.3172,1.5473,1.2054,2.3997
