policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
greedy,352,32.909,390,306,15.8745,324,46,17.5784,66,0.8715,0.0364,0.9009,11.1418,2.5543,13.6929,8.716,1.8137,10.7582,26.1411,5.165,29.9095,31.5763,1.1813,32.9307,0.0,0.0,0.0,8.3531,1.8768,10.0482,8.3478,0.3409,8.5521,16.3699,2.1676,18.5798,1.2574,0.033,1.2915,1.8046,0.1577,1.9482,3322.8566,122.6629,3430.892,2005.8861,75.4517,2091.6801,1316.9705,119.6328,1454.7686,0.396,0.0252,0.424,0,0.0,0,0.2499,0.1063,0.3591,0.6357,0.2524,0.8264,6.6667,6.3509,14,6.6667,6.3509,14,0,0.0,0,0.8208,0.4236,1.3099,,,
greedy+sa,352,32.909,390,309.3333,19.6554,332,42.6667,13.3167,58,0.8804,0.0254,0.8979,9.978,1.9331,11.8011,7.8872,0.9665,8.9928,25.4646,4.5443,29.0056,31.3777,2.3805,33.9295,0.0,0.0,0.0,7.6479,1.5718,8.9387,8.2735,0.2989,8.5483,15.3831,1.363,16.9529,1.2593,0.0428,1.3081,1.7707,0.1598,1.9258,3234.2981,128.0462,3330.273,1989.5255,89.1091,2091.7921,1244.7726,119.9329,1382.0537,0.3845,0.0271,0.415,22.6667,4.0415,27,56.7731,32.3736,85.2312,252.9669,99.6259,329.5709,3.6667,4.7258,9,3.6667,4.7258,9,0,0.0,0,0.9513,0.453,1.2716,,,
greedy+ts,352,32.909,390,311.3333,23.1157,338,40.6667,9.8658,52,0.8855,0.0166,0.8979,8.2075,2.7253,11.2662,6.7113,1.4124,8.2332,20.2363,7.4569,28.6755,27.1089,6.8654,33.5247,0.0,0.0,0.0,6.0152,2.4473,8.7617,8.3934,0.3624,8.6961,16.0576,1.4203,17.4489,1.2665,0.0344,1.3028,1.7691,0.1307,1.9019,2996.8255,158.165,3150.5399,1950.8637,107.2884,2072.5743,1045.9618,71.0249,1095.3536,0.349,0.0135,0.3645,103,24.2487,125,24.8485,19.9387,47.036,101.7425,88.4983,198.908,3.3333,5.7735,10,3.3333,5.7735,10,0,0.0,0,1.4974,0.0,1.4974,,,
greedy+ga,352,32.909,390,311.6667,23.6925,339,40.3333,9.2916,51,0.8863,0.0151,0.8979,8.2725,2.5373,11.1246,6.4797,1.2979,7.9303,20.336,7.2771,28.4369,27.0791,6.9163,33.262,0.0,0.0,0.0,6.1253,2.3926,8.7841,8.3551,0.3478,8.6439,15.6106,1.0316,16.4397,1.2658,0.0415,1.3116,1.7684,0.167,1.9478,3019.5845,168.6324,3149.0072,1966.8959,107.6492,2085.8363,1052.6886,95.1502,1142.1637,0.3484,0.0194,0.3707,106.3333,26.0064,132,94.1759,98.678,204.8825,455.927,396.6365,897.8777,2.6667,4.6188,8,2.6667,4.6188,8,0,0.0,0,1.4405,0.0,1.4405,,,
greedy+alns,352,32.909,390,315.6667,29.7714,350,36.3333,3.5119,40,0.8967,0.0045,0.9009,8.0131,1.9532,10.1155,6.4717,1.0023,7.5599,20.9007,6.6413,27.9352,26.9146,5.0286,30.1617,0.0,0.0,0.0,6.0229,1.8732,8.022,8.3324,0.3809,8.6378,16.0033,1.7475,17.7668,1.2585,0.0419,1.3033,1.7558,0.1865,1.9312,3165.5952,162.1982,3264.8942,2005.1873,119.3643,2140.8196,1160.4079,128.8252,1306.292,0.3663,0.0302,0.4001,81.3333,42.5245,123,64.2433,52.3687,119.5817,252.3289,176.7041,420.9477,1,1.7321,3,0.6667,1.1547,2,0.3333,0.5774,1,0.1185,0.0,0.1185,0.5409,0.0,0.5409
rl (rl_v4),352,32.909,390,305,17.7764,325,47,16.0935,65,0.8684,0.0326,0.8979,12.9241,1.7402,14.6696,9.7065,1.7473,11.6984,29.248,0.2847,29.4857,33.9314,2.0594,36.2629,0.0,0.0,0.0,9.3891,0.5074,9.8389,8.6345,0.2612,8.8288,17.2342,1.8793,18.9574,1.2968,0.0299,1.3292,1.9992,0.0629,2.0705,3486.7894,121.1546,3596.7782,1990.3517,70.1732,2070.2018,1496.4377,119.8404,1634.4252,0.4289,0.023,0.4544,0,0.0,0,2.6511,0.2867,2.9809,3.7676,0.2745,4.0605,9.6667,2.0817,12,9.3333,1.5275,11,0.3333,0.5774,1,2.2063,1.4235,3.84,0.1036,0.0,0.1036
rl+sa (rl_v4),352,32.909,390,308,20.2237,331,44,13.4536,59,0.8765,0.0263,0.9009,11.876,2.1993,13.741,9.5288,1.7506,11.1533,27.2999,3.1048,29.2733,32.7351,1.1602,34.01,0.0,0.0,0.0,8.0953,1.2612,8.9738,8.3323,0.3181,8.6132,15.4522,1.0337,16.5705,1.2608,0.0357,1.2993,1.7514,0.1557,1.9103,3432.9205,118.5663,3523.2044,1980.7548,72.9079,2049.1933,1452.1657,72.9607,1534.2109,0.423,0.0124,0.4355,92.3333,15.695,110,71.1438,32.8502,99.7275,264.5789,70.2874,309.536,7.3333,4.5092,12,7.3333,4.5092,12,0,0.0,0,1.3155,0.3082,1.58,,,
rl+ts (rl_v4),352,32.909,390,310,22.5167,336,42,10.3923,54,0.8818,0.0175,0.8919,7.8695,2.6242,10.8024,6.0638,1.4532,7.5756,20.4444,7.8953,29.2126,27.5629,6.437,33.2489,0.0,0.0,0.0,6.0917,2.4615,8.8399,8.3248,0.2885,8.5865,15.4179,1.3506,16.779,1.2635,0.0352,1.3037,1.7539,0.1511,1.9204,2990.4267,126.9494,3120.1817,1952.9585,74.8839,2039.2749,1037.4682,66.328,1080.9068,0.3468,0.0117,0.3586,210.6667,23.7136,236,26.6133,16.3161,44.4759,106.1549,66.0898,178.0765,3,5.1962,9,2.6667,4.6188,8,0.3333,0.5774,1,1.2192,0.0,1.2192,1.8589,0.0,1.8589
rl+ga (rl_v4),352,32.909,390,312,26.0,342,40,7.0,48,0.8869,0.0091,0.8949,8.0583,2.5886,10.9716,6.5102,1.5634,8.2591,19.9901,7.5261,28.4904,30.3356,2.937,33.155,0.0,0.0,0.0,5.9951,2.1966,8.4526,8.3144,0.3342,8.5989,15.631,1.3564,16.7869,1.2624,0.0386,1.3058,1.7821,0.0986,1.889,3011.4228,174.4344,3173.8362,1952.7198,107.5359,2073.9025,1058.703,87.3477,1117.8037,0.3514,0.0153,0.3685,214.3333,24.0069,238,109.9067,106.2997,228.4708,497.1438,398.7315,933.0725,4.3333,5.8595,11,4.3333,5.8595,11,0,0.0,0,0.7968,0.5152,1.1611,,,
rl+alns (rl_v4),352,32.909,390,313.3333,28.3078,346,38.6667,4.7258,44,0.8903,0.0041,0.8949,8.9868,1.7871,10.955,7.6468,0.4962,8.2183,20.3812,6.4862,27.4438,28.4099,3.4544,30.9256,0.0,0.0,0.0,5.7414,1.8773,7.7444,8.3544,0.321,8.6296,15.3062,1.4739,16.8067,1.2707,0.0331,1.3082,1.8056,0.0632,1.8661,3375.9207,139.5578,3460.1865,2003.6043,143.7038,2166.9165,1372.3164,122.7342,1512.7898,0.4066,0.0325,0.4372,122.6667,40.0666,164,70.8431,49.6195,123.4459,279.7972,155.5824,412.6309,2,3.4641,6,2,3.4641,6,0,0.0,0,0.5807,0.0,0.5807,,,
