policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
greedy,522.6667,14.8436,539,396,19.0,412,126.6667,8.5049,135,0.7574,0.0196,0.7726,15.3508,0.2926,15.6304,13.8861,0.5951,14.3252,30.0658,0.1798,30.2344,34.6545,0.3257,34.8957,0.0,0.0,0.0,10.0282,0.3671,10.4375,9.101,0.1638,9.2875,18.9505,0.1828,19.0718,1.3232,0.0132,1.3347,2.0213,0.0347,2.0606,4118.5917,147.5736,4277.8222,2592.5673,103.554,2679.8493,1526.0243,64.9195,1597.9729,0.3705,0.0097,0.3784,0,0.0,0,0.4476,0.0244,0.468,0.9912,0.0434,1.0409,22,5.5678,28,22,5.5678,28,0,0.0,0,1.4424,0.3784,1.8777,,,
greedy+sa,522.6667,14.8436,539,407,15.6205,417,115.6667,11.9304,124,0.7787,0.0217,0.8035,14.6088,0.2672,14.8546,12.3755,0.8031,13.2763,30.2112,0.4771,30.6652,33.4369,0.2805,33.6406,0.0,0.0,0.0,9.8696,0.1812,10.0785,9.0765,0.1837,9.2163,18.3514,0.7722,19.2284,1.3229,0.0064,1.3296,2.0212,0.023,2.0398,4026.0618,137.2591,4162.9584,2599.597,122.389,2684.3652,1426.4647,53.5258,1478.5932,0.3544,0.0135,0.3675,68.3333,11.5902,79,110.3918,12.5827,124.7515,370.715,9.6668,381.0377,23,7.0,28,23,7.0,28,0,0.0,0,1.1005,0.2723,1.4081,,,
greedy+ts,522.6667,14.8436,539,424,20.8806,438,98.6667,12.6623,110,0.8111,0.026,0.8362,13.1369,0.5529,13.6379,10.3673,0.9286,11.3411,29.4517,0.375,29.7875,33.1339,0.8012,33.9462,0.0,0.0,0.0,9.3411,0.2313,9.6081,9.0447,0.0394,9.0896,18.0404,0.8683,18.8468,1.3305,0.0114,1.3433,1.9968,0.0164,2.0119,3809.4542,191.1171,3991.2765,2617.4907,102.8032,2690.1395,1191.9635,98.3289,1301.1369,0.3126,0.0117,0.326,165.6667,26.7644,188,63.6639,5.8229,68.9884,226.9407,18.798,244.2443,14.3333,3.2146,18,14.3333,3.2146,18,0,0.0,0,1.3472,0.2601,1.5255,,,
greedy+ga,522.6667,14.8436,539,425,19.2873,439,97.6667,15.308,107,0.8131,0.0291,0.8459,13.2325,0.5808,13.9031,10.4133,0.5777,10.799,29.6192,0.5434,30.0582,33.2857,0.9551,33.9576,0.0,0.0,0.0,9.4254,0.3453,9.71,9.0412,0.1214,9.1145,18.3026,0.3109,18.5835,1.3271,0.0041,1.3295,1.9764,0.0721,2.0501,3819.0191,185.0673,4002.8935,2611.2264,132.4361,2688.6273,1207.7927,96.129,1316.1478,0.3162,0.0173,0.3288,162.3333,24.9065,191,298.9666,23.6678,317.0478,1020.1523,4.7372,1024.3561,17.3333,6.0277,23,17,5.5678,22,0.3333,0.5774,1,1.2065,0.1813,1.4108,1.0123,0.0,1.0123
greedy+alns,522.6667,14.8436,539,435,18.735,450,87.6667,9.0738,96,0.8321,0.0191,0.8497,13.1779,0.4855,13.7276,10.4093,0.3179,10.7321,29.4144,0.3394,29.7778,32.6523,0.2834,32.9604,0.0,0.0,0.0,9.2617,0.2523,9.5325,9.1769,0.1472,9.2688,18.2491,0.4054,18.7171,1.3449,0.0049,1.3504,1.996,0.0354,2.0363,3946.4517,134.0821,4088.2183,2669.3493,126.1076,2767.2809,1277.1024,54.7365,1320.9373,0.3238,0.0147,0.3388,168,18.0,186,164.0727,10.0389,170.222,488.5662,7.7949,494.8008,14.3333,5.5076,18,13.6667,4.9329,17,0.6667,0.5774,1,1.031,0.3783,1.461,0.6388,0.5061,0.9966
rl (rl_base),522.6667,14.8436,539,393.3333,12.5831,405,129.3333,5.0332,134,0.7525,0.0081,0.7611,16.8644,0.2934,17.044,16.7983,0.7924,17.2782,30.9139,0.2195,31.1503,34.8239,0.934,35.6171,0.0,0.0,0.0,10.1492,0.2246,10.3856,9.4215,0.0877,9.5197,19.8494,1.0292,20.9657,1.3671,0.0015,1.3683,2.0421,0.0288,2.0739,4250.9348,173.8492,4430.2304,2590.376,107.1003,2671.9424,1660.5588,84.6676,1758.288,0.3906,0.0095,0.3969,0,0.0,0,2.4044,0.1167,2.5388,3.494,0.3263,3.7084,32.6667,4.1633,36,31.3333,4.0415,35,1.3333,0.5774,2,1.4721,0.4518,1.883,0.425,0.3712,0.8097
rl (rl_v3),522.6667,14.8436,539,376.6667,14.0119,391,146,2.6458,148,0.7206,0.0076,0.7254,15.076,0.1278,15.2105,12.0318,0.4402,12.3699,30.0646,0.3673,30.4887,33.3021,0.5681,33.7065,0.0,0.0,0.0,9.7525,0.2621,10.0551,8.806,0.1542,8.9593,17.9517,0.8937,18.6431,1.3128,0.0168,1.3292,2.002,0.0403,2.0386,4246.1483,145.6042,4403.9631,2459.6877,131.7731,2607.5256,1786.4606,20.9047,1800.5078,0.421,0.0113,0.4281,0,0.0,0,2.6294,0.0407,2.6706,3.7521,0.0531,3.804,20.3333,5.7735,27,20.3333,5.7735,27,0,0.0,0,1.1595,0.2373,1.3065,,,
rl (rl_v4),522.6667,14.8436,539,393,14.7309,402,129.6667,10.2144,137,0.7519,0.0185,0.7726,16.6938,0.2793,17.0037,15.4155,1.0695,16.6242,30.7079,0.5319,31.2464,33.8892,0.517,34.1954,0.0,0.0,0.0,10.0607,0.0546,10.1105,9.1962,0.1726,9.306,19.2173,0.5386,19.5767,1.3455,0.0104,1.3537,2.0368,0.0481,2.0923,4262.7497,144.3739,4417.9652,2562.7002,114.7304,2643.7344,1700.0496,74.6842,1774.2308,0.3989,0.0143,0.4116,0,0.0,0,2.6554,0.1134,2.7776,4.5176,0.3048,4.8559,32.6667,6.5064,39,32.3333,6.0277,38,0.3333,0.5774,1,1.3203,0.2721,1.6205,0.0497,0.0,0.0497
rl+sa (rl_base),522.6667,14.8436,539,410,18.3303,426,112.6667,7.5056,120,0.7842,0.0173,0.7977,15.3023,0.7276,16.0122,13.8176,2.0702,16.0822,30.2501,0.514,30.556,34.0035,0.726,34.4739,0.0,0.0,0.0,9.4592,0.06,9.5179,9.2519,0.1727,9.4128,19.2683,1.0588,20.4908,1.3429,0.0019,1.3444,1.9803,0.0198,1.9967,4125.6315,116.4439,4228.601,2607.0078,125.4656,2727.5157,1518.6236,16.0668,1532.6317,0.3683,0.0128,0.3806,133.6667,6.6583,138,119.8147,10.9682,128.6878,359.1111,5.8868,365.906,23.6667,9.0738,32,23.3333,9.0185,32,0.3333,0.5774,1,1.1038,0.2411,1.3797,1.433,0.0,1.433
rl+sa (rl_v3),522.6667,14.8436,539,389,15.0997,403,133.6667,4.9329,137,0.7441,0.0114,0.7534,14.4605,0.2146,14.6786,12.4339,0.0967,12.5421,29.2137,0.2152,29.3958,32.4035,1.2781,33.5505,0.1776,0.3076,0.5327,8.9028,0.0456,8.9336,8.4695,0.0743,8.5528,15.9653,0.2966,16.3053,1.2781,0.0097,1.2861,1.8511,0.0315,1.885,4188.6411,154.1002,4302.6181,2497.3876,105.8312,2586.1101,1691.2535,50.5384,1724.187,0.4038,0.0043,0.4069,146.3333,9.0738,156,90.2706,2.9119,93.1013,325.296,20.0066,348.3098,9.6667,3.5119,13,9.6667,3.5119,13,0,0.0,0,0.9544,0.3424,1.2012,,,
rl+sa (rl_v4),522.6667,14.8436,539,405.6667,20.9841,422,117,11.0,128,0.7759,0.0242,0.7958,15.4086,0.2978,15.6101,13.7521,0.5367,14.3226,29.9316,0.5549,30.3757,33.9826,2.9376,37.3618,0.0,0.0,0.0,9.5033,0.1897,9.6463,9.0862,0.1943,9.305,18.9023,2.0023,20.8752,1.3287,0.0075,1.3363,2.0005,0.0413,2.0453,4141.9534,156.1314,4267.4245,2604.3678,145.6299,2727.3942,1537.5856,13.0088,1549.1986,0.3715,0.0117,0.384,129.3333,16.0104,145,114.8229,10.2693,123.5826,362.6524,3.8217,365.0046,21,4.5826,25,20,4.0,24,1,1.0,2,1.2263,0.6432,1.9679,1.0938,0.4765,1.4308
rl+ts (rl_base),522.6667,14.8436,539,428.6667,17.9258,440,94,11.3578,102,0.8201,0.0222,0.8439,13.2038,0.4327,13.7033,10.1271,0.509,10.7023,29.2083,0.5427,29.8101,33.1257,1.451,34.2536,0.0,0.0,0.0,9.3541,0.3119,9.6548,9.0645,0.0903,9.1577,18.1398,0.3526,18.349,1.3315,0.0083,1.3403,1.9847,0.0083,1.9921,3815.0132,161.3056,3956.3329,2617.9889,113.9237,2689.2925,1197.0243,61.3509,1267.0405,0.3138,0.0084,0.3203,279.6667,17.673,300,66.9467,5.3287,70.744,228.3646,13.2729,238.7066,11.6667,4.7258,17,11.6667,4.7258,17,0,0.0,0,1.154,0.5116,1.4965,,,
