policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
rl (rl_base),355,28.098,390,263.2,12.7358,277,91.8,28.8305,128,0.7447,0.0633,0.8318,15.7482,0.9257,16.8455,13.9656,1.5119,16.0525,30.515,0.4053,30.9981,35.7792,1.8204,37.411,0.0759,0.1698,0.3796,9.4493,0.235,9.7123,13.3703,0.2438,13.586,32.4734,0.9789,33.6434,1.3529,0.0305,1.3859,2.2047,0.0505,2.2698,4004.6211,200.2524,4294.9294,2490.5373,104.0624,2632.8258,1514.0838,139.7134,1758.6608,0.3777,0.0196,0.4095,0,0.0,0,2.64,0.3681,3.1758,3.6224,0.6783,4.4336,18.4,3.9115,25,16.8,4.2661,24,1.6,0.8944,3,1.7236,0.1619,1.974,1.9161,1.0667,3.2188
rl (rl_v3),355,28.098,390,225,13.1339,243,130,26.8608,166,0.6362,0.0515,0.7027,11.3613,0.6408,12.4534,9.5361,0.4662,10.21,26.8981,1.3032,28.3156,32.4359,2.2978,35.1709,0.1498,0.2217,0.4936,7.0964,0.4164,7.6821,10.5852,0.3795,11.2119,20.5143,0.774,21.7137,1.1925,0.0303,1.2254,1.7235,0.1858,1.9856,3907.0227,164.1438,4077.0457,2031.7736,99.05,2135.0876,1875.2491,83.2138,1987.1543,0.48,0.0102,0.4883,0,0.0,0,2.7522,0.4598,3.5645,3.7999,0.4967,4.3221,4.2,2.9496,7,3.8,2.7749,7,0.4,0.8944,2,1.1666,0.855,2.3688,0.2971,0.0,0.2971
rl (rl_v4),355,28.098,390,255.2,13.5536,271,99.8,26.3287,131,0.7216,0.0561,0.7988,14.4584,1.2404,16.142,11.9386,1.548,14.1869,30.0028,0.6857,30.8362,36.6956,2.0934,39.7811,0.0152,0.034,0.0761,9.0486,0.223,9.3596,12.0272,0.4595,12.5242,27.0538,1.9269,29.664,1.3034,0.0363,1.3326,2.0792,0.1124,2.1692,3965.4107,165.5147,4178.1886,2325.7944,143.8817,2471.8638,1639.6163,69.9693,1748.6717,0.4138,0.0177,0.4395,0,0.0,0,2.6255,0.0777,2.7117,3.8554,0.4379,4.4204,14.2,3.9623,21,13.6,4.219,21,0.6,0.8944,2,2.1463,0.3177,2.6655,1.374,1.5382,2.4617
rl (rl_v5),355,28.098,390,261.4,13.1833,276,93.6,29.3138,131,0.7397,0.0644,0.8168,16.0044,0.9086,17.2219,14.5031,1.3321,16.2816,30.3877,0.7219,31.2392,34.9438,0.8707,36.0301,0.3051,0.6821,1.5253,9.1681,0.1663,9.4462,13.4796,0.7771,14.1628,32.7379,3.1897,36.1583,1.3585,0.0272,1.3877,2.1919,0.0571,2.2592,4062.8868,175.6071,4322.7407,2447.6283,117.6238,2583.4975,1615.2584,151.0611,1835.2796,0.3972,0.0266,0.4258,0,0.0,0,2.4297,0.1764,2.7172,4.0336,0.4416,4.7791,17.6,6.0249,26,15.6,5.9414,24,2,1.0,3,1.912,0.3028,2.239,0.9619,0.3924,1.5535
rl+sa (rl_base),355,28.098,390,273.4,12.6214,285,81.6,28.1745,113,0.7735,0.0639,0.8559,14.6806,0.5186,15.3814,13.1667,0.6434,13.9502,29.9051,1.0121,31.3903,36.677,4.0804,42.9242,0.0,0.0,0.0,8.9708,0.3187,9.3383,12.7384,0.5438,13.3031,30.318,3.39,33.4107,1.3121,0.0446,1.3816,2.0853,0.1229,2.2671,3906.9203,181.7164,4184.052,2473.9712,89.9817,2599.8348,1432.9491,138.3033,1672.0937,0.3663,0.0212,0.3996,78.6,9.5551,90,56.4397,7.728,64.5576,211.8681,25.009,242.6151,13.8,5.8907,22,12,4.3012,18,1.8,1.6432,4,2.0615,0.7358,2.7614,1.8642,1.6923,4.3335
rl+sa (rl_v3),355,28.098,390,227.2,12.1943,242,127.8,25.499,158,0.6423,0.0482,0.7147,10.2524,0.9738,11.5486,9.0135,0.7223,9.8398,22.9286,3.0783,25.9581,30.869,1.8037,32.9795,0.0798,0.1785,0.3991,6.1054,0.6558,6.9231,10.1414,0.1743,10.4485,18.1476,0.3944,18.5227,1.1659,0.021,1.1881,1.5372,0.0888,1.6591,3781.0943,156.7791,3941.7932,2033.6315,83.5632,2113.3542,1747.4628,95.5983,1828.9771,0.462,0.0121,0.478,64.4,7.1972,75,11.0575,3.0575,15.9398,38.3198,31.1634,79.4248,1.8,1.9235,5,1.4,1.6733,4,0.4,0.5477,1,1.5431,0.2852,1.738,1.1814,0.6879,1.6678
rl+sa (rl_v4),355,28.098,390,264.4,13.7586,282,90.6,26.8756,125,0.7477,0.0589,0.8198,13.9127,1.0035,15.1243,11.8336,1.2992,13.742,29.2321,0.9952,30.4304,34.5488,1.7648,36.7796,0.0,0.0,0.0,8.6545,0.5152,9.2785,12.0447,0.5442,12.4227,27.1036,3.0463,29.3146,1.2753,0.0288,1.298,1.9871,0.1288,2.0865,3910.7866,194.5431,4202.6547,2383.0917,94.1373,2511.5892,1527.6949,146.3689,1785.6654,0.3901,0.021,0.4249,82.6,8.0187,95,43.0458,9.5337,55.4495,178.2562,33.1365,212.5357,11.4,3.3615,16,10.8,2.7749,14,0.6,0.8944,2,1.5282,0.4532,2.0334,0.3204,0.3611,0.5758
rl+sa (rl_v5),355,28.098,390,271,12.5698,286,84,28.557,116,0.7667,0.0644,0.8589,15.0502,0.6497,16.0261,13.3149,0.7487,14.0006,29.9434,0.7175,30.8761,35.6857,0.8348,36.7772,0.0,0.0,0.0,9.0313,0.4174,9.3475,13.1574,0.6512,13.7331,32.1695,3.0575,33.9343,1.3218,0.0394,1.3671,2.1786,0.09,2.25,3975.8234,190.6258,4269.5415,2517.0149,74.1404,2611.9344,1458.8085,151.8847,1725.8382,0.3663,0.0216,0.4042,88.6,17.1843,119,53.9097,5.8223,63.2838,206.001,27.2711,238.0878,15.2,6.8337,24,13.4,5.7271,21,1.8,1.3038,3,2.0507,0.4927,2.6527,2.0848,1.0848,2.845
rl+ts (rl_base),355,28.098,390,277.8,14.6526,293,77.2,29.4058,111,0.786,0.0689,0.8799,13.0604,1.0006,14.4064,10.1412,1.2028,12.1619,29.5178,0.7979,30.1474,34.3654,3.1398,38.8904,0.0,0.0,0.0,9.0745,0.552,9.7718,12.9197,0.5302,13.4476,30.5893,3.5084,34.5569,1.3203,0.0327,1.3603,2.0892,0.1141,2.2087,3591.1461,207.1502,3803.5496,2460.8379,126.9581,2618.8432,1130.3082,101.8085,1284.2304,0.3144,0.0146,0.3376,168,17.3925,188,26.9116,3.6737,30.5927,102.1862,19.1481,121.3555,12.4,5.2249,17,10.6,4.0988,14,1.8,1.3038,3,1.5079,0.6445,2.4699,1.1609,0.904,2.1171
rl+ts (rl_v3),355,28.098,390,238.8,13.7186,255,116.2,27.5808,146,0.6753,0.0572,0.7658,8.3474,0.6971,9.0593,7.1644,0.889,8.4725,19.1762,1.5092,20.9683,29.7646,3.6691,34.2568,0.0,0.0,0.0,5.5857,0.5184,6.1984,10.6973,0.2567,11.1402,20.3617,0.8452,21.2978,1.1831,0.012,1.2021,1.6036,0.0413,1.6616,3428.0672,171.3796,3679.7918,2137.5757,86.1973,2234.031,1290.4915,96.2798,1445.7608,0.3762,0.0117,0.3929,158.6,16.1648,174,8.5987,1.3624,10.8671,24.7481,7.5688,35.1061,1,1.0,2,0.8,1.0954,2,0.2,0.4472,1,2.1862,0.2658,2.3741,0.6949,0.0,0.6949
