policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
greedy,355,28.098,390,301.2,13.4796,324,53.8,20.1172,82,0.8509,0.0456,0.9009,12.2201,2.3606,14.348,9.5057,1.7706,11.4916,27.9879,4.4435,30.9079,32.5301,1.5602,34.2081,0.0,0.0,0.0,9.1576,1.7284,10.522,8.4868,0.326,8.8496,17.0718,1.9025,18.9571,1.269,0.0403,1.3271,1.8667,0.1465,2.0201,3258.9998,123.1675,3430.892,1980.5129,74.0806,2091.6801,1278.4869,106.193,1454.7686,0.392,0.022,0.424,0,0.0,0,0.3089,0.1127,0.4281,0.7939,0.271,1.092,12.2,8.9833,23,12.2,8.9833,23,0,0.0,0,1.0528,0.438,1.4509,,,
greedy+sa,355,28.098,390,306.6,14.6561,330,48.4,15.3069,69,0.8655,0.0326,0.8979,11.4786,2.3986,13.7954,9.0969,1.8664,11.2917,27.0715,4.3391,30.419,32.7757,0.8572,33.9124,0.0,0.0,0.0,8.5712,1.6351,9.8378,8.4274,0.3409,8.6882,16.1251,1.795,17.8036,1.2687,0.0405,1.3134,1.8197,0.1635,1.9335,3196.2761,120.2202,3327.1504,1974.8287,50.8565,2059.1609,1221.4474,93.5987,1360.6312,0.3818,0.0168,0.4101,31.8,7.8549,40,77.0815,37.1272,109.4489,290.7745,119.9872,357.9898,9.2,7.0143,19,9.2,7.0143,19,0,0.0,0,1.3319,0.6797,2.4631,,,
greedy+ts,355,28.098,390,313,17.5642,338,42,11.6833,57,0.883,0.0238,0.9083,9.1672,2.706,12.6604,7.1299,1.8619,9.9392,23.0255,6.8092,30.0983,29.3476,5.9849,34.3256,0.0,0.0,0.0,6.8351,2.1574,9.1611,8.4887,0.289,8.7371,16.1044,1.6323,18.0187,1.2783,0.0335,1.3233,1.7856,0.129,1.9509,2954.3765,128.5836,3142.8743,1959.9094,85.8552,2099.2469,994.4672,64.0592,1076.6134,0.3365,0.0131,0.3596,109.4,21.3143,133,35.5795,20.6554,60.5144,140.7822,77.7822,215.8382,6,7.0356,17,5.8,7.0852,17,0.2,0.4472,1,1.1844,0.4167,1.473,1.4705,0.0,1.4705
greedy+ga,355,28.098,390,314,18.9341,342,41,11.1803,57,0.8857,0.0233,0.9112,9.0997,2.4064,12.2052,7.2074,1.714,9.8117,22.594,5.9731,28.202,28.9401,5.6436,34.121,0.0,0.0,0.0,6.768,2.0032,8.929,8.4839,0.2825,8.6955,16.0775,1.2979,17.1642,1.2792,0.0337,1.3178,1.8042,0.1149,1.9053,2940.2066,137.0611,3125.686,1951.6517,76.0864,2066.7027,988.5549,84.2569,1097.8442,0.3359,0.0167,0.3627,113.8,19.3313,134,151.1493,111.9989,288.3851,605.5238,396.4248,1000.0692,2.8,3.5637,8,2.8,3.5637,8,0,0.0,0,1.3179,0.5499,1.9509,,,
greedy+alns,355,28.098,390,315.6,20.9356,345,39.4,8.2644,51,0.8898,0.0155,0.9053,8.9591,1.9643,11.2804,6.9144,1.1445,8.5601,23.5642,5.5975,27.9762,29.7441,4.8762,32.828,0.0,0.0,0.0,6.9725,1.7008,8.4625,8.5032,0.3929,8.9564,16.4125,1.4515,18.083,1.2793,0.0538,1.3589,1.8246,0.1437,1.9804,3095.4648,165.1501,3275.988,1994.9138,90.0082,2126.6811,1100.5511,122.5226,1284.0692,0.3549,0.0251,0.3943,93,32.3187,127,88.1026,51.847,149.104,311.227,145.7964,439.5433,3.4,2.6077,7,3.4,2.6077,7,0,0.0,0,1.0504,0.6691,1.8611,,,
rl (rl_base),355,28.098,390,302,12.9808,324,53,18.8016,79,0.853,0.0416,0.8979,13.6439,1.7761,14.9028,9.9616,1.5075,11.2758,29.806,1.2509,30.8025,34.298,1.5857,36.0309,0.0,0.0,0.0,9.5882,0.7981,10.1131,8.8409,0.2811,9.0559,18.0151,1.4124,19.4491,1.3112,0.0309,1.35,1.9661,0.051,2.0447,3384.8173,128.0952,3551.8608,1973.5401,70.0044,2090.2085,1411.2772,99.5709,1584.0019,0.4167,0.0177,0.446,0,0.0,0,2.5664,0.1871,2.877,3.886,0.4716,4.2155,15.4,9.4234,27,15.4,9.4234,27,0,0.0,0,1.6428,0.4772,2.2044,,,
rl (rl_v3),355,28.098,390,289.4,13.7586,307,65.6,20.7196,88,0.8175,0.0464,0.8889,12.6113,1.3062,14.0733,9.0081,0.8202,9.9697,29.6958,0.7816,30.5741,33.9117,2.2448,37.6214,0.0,0.0,0.0,9.1489,0.7487,9.9082,8.3376,0.1917,8.5788,16.2593,0.6551,17.327,1.2635,0.0224,1.2962,1.8551,0.0754,1.9445,3433.2747,140.7307,3591.2083,1876.0611,61.093,1950.1523,1557.2136,84.6838,1644.3657,0.4534,0.0078,0.4602,0,0.0,0,2.7954,0.113,2.9791,5.0373,0.328,5.4835,13.8,5.3104,22,13.6,4.9295,21,0.2,0.4472,1,1.2509,0.423,1.9282,5.0623,0.0,5.0623
rl (rl_v4),355,28.098,390,300.2,12.2352,321,54.8,19.2146,81,0.848,0.0421,0.8919,13.5926,1.8599,15.7258,10.3712,2.1369,13.448,29.7353,0.7885,30.4091,34.2326,1.8921,37.3307,0.0,0.0,0.0,9.4974,0.8029,10.0771,8.6866,0.3841,9.1211,17.6378,1.7699,19.3947,1.2983,0.0398,1.3519,1.9651,0.1288,2.0848,3428.8048,143.4135,3617.5847,1954.896,63.4092,2054.009,1473.9088,112.691,1666.0862,0.4295,0.0175,0.4606,0,0.0,0,2.7803,0.0814,2.9235,5.6388,0.1704,5.8653,15.2,6.4576,24,14.8,5.933,23,0.4,0.5477,1,1.4928,0.6346,2.5794,0.1319,0.0401,0.1603
rl+sa (rl_base),355,28.098,390,307.6,14.775,330,47.4,14.519,66,0.8683,0.0303,0.8979,12.7011,2.3749,14.9278,10.3184,2.0299,12.9723,27.7533,3.6445,29.8075,33.0553,1.4644,34.4592,0.0,0.0,0.0,8.5863,1.435,9.5468,8.4015,0.3407,8.6432,16.031,1.6537,17.4134,1.2643,0.0408,1.3092,1.796,0.1604,1.9553,3345.6069,145.8695,3525.8807,1981.8375,71.651,2101.2694,1363.7694,116.599,1554.3535,0.4072,0.0205,0.4408,96.4,15.3232,111,88.1148,36.6612,119.3019,299.5291,87.3477,356.27,8,5.1962,13,8,5.1962,13,0,0.0,0,1.5242,1.0535,3.3349,,,
rl+sa (rl_v3),355,28.098,390,298.2,12.9306,320,56.8,19.0578,83,0.8423,0.0416,0.8889,11.7531,1.5296,13.6963,9.214,1.5396,11.7468,27.6504,2.246,29.2931,32.3817,1.3374,34.7515,0.0,0.0,0.0,8.0879,0.8293,8.642,8.1898,0.1759,8.3316,15.7182,1.0932,16.7449,1.2482,0.0192,1.2728,1.7555,0.1047,1.8635,3370.9767,155.3541,3568.0286,1933.5758,58.1316,2026.3659,1437.4009,121.3106,1612.967,0.4259,0.0184,0.4521,103.2,11.9875,118,66.3767,19.5145,81.8054,244.7437,52.2077,297.0151,4.6,2.6077,8,4.6,2.6077,8,0,0.0,0,1.3666,0.5693,2.245,,,
