policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
greedy,343.2,24.5906,368,259,16.0156,275,84.2,17.782,106,0.7559,0.0391,0.8088,15.0101,0.3882,15.4778,12.896,1.1671,14.2191,30.8342,0.4489,31.2482,36.133,2.3434,39.1109,0.0,0.0,0.0,9.666,0.4218,10.0733,14.013,0.6659,14.5038,35.3665,3.1862,38.5375,1.3462,0.018,1.3733,2.1946,0.086,2.2662,3869.4805,131.5148,4033.8496,2521.0202,70.8953,2591.9549,1348.4602,99.9132,1521.5947,0.3482,0.0165,0.3772,0,0.0,0,0.2601,0.0264,0.2822,0.5892,0.0988,0.727,18,3.1623,22,16.6,2.7019,21,1.4,1.1402,3,2.0558,0.5842,2.7223,1.2466,0.9416,2.4143
greedy+sa,343.2,24.5906,368,263.4,12.4016,274,79.8,16.6793,100,0.769,0.0339,0.8059,14.4379,0.5661,15.1972,11.9602,1.0124,13.2721,30.7995,0.605,31.3806,36.4079,2.7848,40.7565,0.0,0.0,0.0,9.595,0.4698,10.0782,14.0769,0.7281,14.8284,36.09,3.7787,42.185,1.3421,0.028,1.3674,2.1882,0.066,2.2556,3807.7086,163.968,3993.5806,2531.0089,107.6018,2635.6154,1276.6997,132.4509,1464.4349,0.3349,0.0254,0.3667,35.4,4.7223,43,52.0681,6.4149,58.0793,222.8307,21.7136,239.05,18.4,3.5777,23,16.2,3.1145,20,2.2,0.8367,3,2.0975,0.687,2.8333,1.0588,1.1578,2.8758
greedy+ts,343.2,24.5906,368,268.6,14.5705,278,74.6,14.1174,94,0.7837,0.0281,0.8147,13.9585,0.3973,14.4398,11.3266,1.1185,12.8159,30.529,0.3917,31.0368,36.1054,2.4347,39.811,0.0,0.0,0.0,9.5406,0.3998,9.917,14.0104,0.5719,14.69,33.5776,1.374,35.0344,1.3477,0.0268,1.3838,2.1766,0.0412,2.2435,3643.45,140.9182,3796.0304,2525.7875,110.8938,2687.4578,1117.6625,74.9412,1248.9092,0.3067,0.0157,0.3314,87.8,13.6455,100,25.7348,3.1925,28.6949,106.0794,18.5349,126.1614,18.6,2.9665,22,16.4,2.881,20,2.2,2.1679,6,2.2072,0.6059,2.9339,1.6018,0.8906,2.884
greedy+ga,343.2,24.5906,368,271,15.3134,284,72.2,15.2381,92,0.7908,0.0328,0.8324,14.0139,0.4687,14.759,11.7513,0.8316,13.0381,30.398,0.4872,30.8418,36.1285,2.5605,39.811,0.0,0.0,0.0,9.4462,0.5287,9.911,14.062,0.5609,14.5534,34.0518,1.1597,35.0089,1.357,0.0274,1.3814,2.2125,0.0567,2.2768,3616.9019,167.7562,3820.4014,2503.7459,120.1603,2669.4553,1113.156,109.6903,1273.266,0.3075,0.0226,0.3384,89.4,15.5981,111,153.0134,24.1513,195.9836,672.4738,104.5413,857.9448,16.8,2.9496,20,15.2,2.49,17,1.6,1.9494,5,2.0227,0.7131,3.0242,0.9162,0.6743,1.5667
greedy+alns,343.2,24.5906,368,275.4,11.349,284,67.8,16.3921,90,0.8042,0.0346,0.8366,13.6867,0.5168,14.4037,11.4038,0.9594,12.8087,29.7552,0.6518,30.2003,34.2977,0.7824,35.0289,0.0,0.0,0.0,9.0889,0.2878,9.3908,13.9565,0.7361,15.0275,33.7168,1.6065,34.8528,1.3476,0.0432,1.4238,2.1582,0.0616,2.2542,3784.3476,171.5182,3978.0732,2541.39,117.2858,2691.1823,1242.9576,111.6262,1435.5204,0.3282,0.0204,0.3609,66.2,9.2304,81,72.5291,7.5247,80.4136,293.2817,28.2518,326.6855,14.2,4.6043,19,12,3.1623,15,2.2,1.7889,5,1.7142,0.2616,2.1,0.9826,0.4726,1.34
rl (rl_base),343.2,24.5906,368,256.4,13.0499,268,86.8,16.6643,107,0.7485,0.0332,0.7882,15.6476,0.4529,16.2509,14.1186,0.628,14.7055,30.7084,0.9265,32.0789,35.5517,1.4351,37.2947,0.0,0.0,0.0,9.4164,0.3092,9.6742,13.9867,0.5078,14.7923,35.4345,1.8262,36.6513,1.3698,0.036,1.4269,2.2317,0.0268,2.2686,3928.6934,101.9004,4034.7303,2459.0266,83.0251,2549.3598,1469.6668,63.4939,1579.8341,0.3741,0.013,0.3916,0,0.0,0,2.5007,0.2121,2.838,3.7207,0.5941,4.5376,20,5.1478,25,18.6,5.8566,25,1.4,1.1402,3,1.6988,0.6171,2.5791,2.2448,1.6286,4.4142
rl (rl_v3),343.2,24.5906,368,216.8,12.6372,231,126.4,17.9388,148,0.6328,0.0315,0.6794,11.7261,0.4788,12.2504,10.0478,0.4439,10.5942,27.3049,1.98,29.2109,34.5525,1.301,35.4147,0.2537,0.4651,1.0717,7.255,0.4389,7.7193,10.9947,0.6536,11.8055,22.4109,1.8704,25.0957,1.2033,0.024,1.244,1.7476,0.1554,1.9597,3855.9759,149.4697,4025.0786,2005.8995,118.1496,2092.018,1850.0764,97.5851,1999.3651,0.4799,0.0205,0.5023,0,0.0,0,3.0123,0.4462,3.7449,4.7487,0.474,5.271,6.2,3.7014,12,6,3.3166,11,0.2,0.4472,1,2.4112,0.6556,3.5341,0.4065,0.0,0.4065
rl (rl_v3ant),343.2,24.5906,368,257.8,13.8094,273,85.4,18.5822,107,0.7527,0.0397,0.8029,16.3349,0.3783,16.8018,15.0252,0.8217,15.4697,30.9733,0.595,31.8727,35.5957,2.2849,39.5303,0.0,0.0,0.0,9.446,0.3024,9.9628,14.536,0.6694,15.3269,36.7205,2.035,39.7016,1.3903,0.0321,1.4289,2.2724,0.0859,2.3457,4022.5002,130.8175,4113.4058,2525.8011,116.3477,2635.2038,1496.6991,81.5027,1588.2415,0.3722,0.0178,0.3879,0,0.0,0,3.6249,0.3465,4.1575,6.5151,0.2419,6.7588,23,5.244,31,20.6,4.827,27,2.4,1.3416,4,1.8541,0.4331,2.5382,1.552,1.0798,3.472
rl (rl_v4),343.2,24.5906,368,244,14.4741,254,99.2,14.025,116,0.7118,0.0248,0.7471,14.5455,0.7515,15.7985,12.4294,0.9475,13.7288,30.4553,0.9205,31.3424,35.4179,0.6693,36.5482,0.1319,0.2948,0.6593,9.1008,0.206,9.2997,12.5793,0.7131,13.5539,28.9118,2.6603,32.0941,1.3103,0.0353,1.3659,2.095,0.0937,2.2466,3929.5722,127.9149,4051.063,2301.4952,103.7946,2391.0632,1628.077,44.2608,1701.4298,0.4145,0.0106,0.4304,0,0.0,0,3.1467,0.38,3.6989,5.4288,0.4216,5.8672,14,2.9155,18,13.2,3.1937,18,0.8,0.8367,2,2.0366,0.5158,2.9023,1.445,1.2392,2.8751
rl (rl_v5),343.2,24.5906,368,252.8,14.8391,265,90.4,15.8997,109,0.7376,0.032,0.7794,15.8568,0.3724,16.2899,14.2331,0.6754,15.1791,30.6732,0.9826,31.2854,36.324,2.8638,40.62,0.0279,0.0623,0.1393,9.2614,0.3199,9.4757,13.8912,0.4508,14.3516,35.6592,2.8535,38.6079,1.3634,0.0193,1.387,2.2631,0.07,2.3543,3988.1351,107.4054,4095.7717,2465.7894,85.7049,2560.0502,1522.3457,75.073,1638.2124,0.3817,0.0149,0.4,0,0.0,0,2.7351,0.4509,3.5373,5.1587,0.0896,5.2654,18.8,3.6332,24,15.6,3.9115,19,3.2,2.1679,5,2.0385,0.3824,2.5523,1.7456,0.6952,2.4857
