policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
rl (rl_base),352,32.909,390,269.6667,10.4083,278,82.3333,31.6439,117,0.7699,0.0676,0.8348,15.9875,0.702,16.7981,14.9471,0.8554,15.8848,30.6867,1.031,31.8063,36.9016,2.8596,39.5792,0.1884,0.3264,0.5653,9.3731,0.48,9.7577,13.3239,0.2994,13.6641,32.8373,2.4904,34.5019,1.3654,0.0168,1.383,2.2222,0.017,2.2327,4127.5282,152.0083,4301.2105,2549.6653,64.8535,2588.3035,1577.863,124.0134,1715.31,0.382,0.0181,0.3988,0,0.0,0,2.5776,0.5224,3.1629,3.6266,0.5205,4.2244,21.3333,8.7369,31,19.3333,9.7125,30,2,1.0,3,1.8115,0.4795,2.0921,1.6726,1.2382,2.459
rl (rl_v3),352,32.909,390,231.3333,10.6927,238,120.6667,28.589,152,0.6599,0.0508,0.7117,11.0985,0.1522,11.2031,9.2626,0.1829,9.4332,26.7535,1.0504,27.9054,31.4635,0.1552,31.635,0.2493,0.4318,0.7478,7.0188,0.5519,7.5737,10.6542,0.4067,11.103,20.8513,1.0574,21.6007,1.1969,0.0196,1.2193,1.6987,0.1598,1.8828,3995.7973,113.0455,4113.3336,2120.5254,49.7164,2171.313,1875.2719,63.3832,1942.0206,0.4693,0.0026,0.4721,0,0.0,0,2.7512,0.479,3.2806,3.8505,0.7658,4.3405,3,1.7321,4,2.3333,1.5275,4,0.6667,1.1547,2,1.0467,0.3638,1.423,0.2971,0.0,0.2971
rl (rl_v4),352,32.909,390,260.3333,8.0829,265,91.6667,29.7041,125,0.743,0.0589,0.7958,14.585,0.5518,15.1815,12.5999,0.9196,13.6201,29.7336,0.2495,30.0133,34.6057,2.6322,36.9853,0.0,0.0,0.0,8.9775,0.3364,9.1856,12.3396,0.8017,12.9967,28.2476,1.8557,29.5153,1.3235,0.049,1.3598,2.1551,0.0868,2.2202,4073.5674,107.1834,4183.3916,2394.3747,49.2436,2450.6586,1679.1927,113.4788,1810.1568,0.412,0.0184,0.4327,0,0.0,0,2.9352,0.5796,3.6033,3.9704,0.4788,4.4817,12.6667,3.5119,16,11,2.6458,13,1.6667,1.1547,3,1.7523,0.7286,2.4723,1.2899,1.7905,3.3469
rl (rl_v5),352,32.909,390,271.3333,7.3711,277,80.6667,28.5365,113,0.7743,0.0579,0.8228,16.2671,0.7614,16.8985,15.1469,0.961,15.7427,30.7439,0.5632,31.1201,34.5997,0.6919,35.3605,0.0,0.0,0.0,9.3397,0.1718,9.488,13.2606,0.7781,13.7135,31.6646,2.0448,33.8859,1.3502,0.0408,1.3813,2.1781,0.0285,2.1992,4153.4148,245.5998,4417.3528,2562.7666,78.156,2640.7012,1590.6482,228.4943,1854.1452,0.3818,0.0332,0.4197,0,0.0,0,2.5658,0.1719,2.7626,4.3922,0.2687,4.568,19.3333,3.7859,22,17.3333,3.7859,20,2,1.0,3,1.8801,0.0709,1.9257,1.3432,0.3904,1.782
rl+sa (rl_base),352,32.909,390,280.6667,13.5031,294,71.3333,35.3034,109,0.8017,0.0812,0.8829,15.0754,0.7105,15.8924,13.3929,0.5506,13.9502,30.0859,0.706,30.8672,33.9873,2.9996,37.3917,0.0,0.0,0.0,8.9774,0.3402,9.3472,12.8032,0.5652,13.2494,30.3002,1.5229,31.3035,1.3229,0.0397,1.36,2.12,0.0964,2.2166,4036.7587,131.815,4188.4866,2570.3555,24.5965,2598.339,1466.4032,107.3476,1590.1477,0.3629,0.0145,0.3796,92,12.7671,103,59.1621,1.9705,61.328,216.69,19.2222,233.1488,14.6667,6.6583,22,13.3333,5.1316,19,1.3333,1.5275,3,1.6709,0.7628,2.5389,1.3972,0.9931,2.0994
rl+sa (rl_v3),352,32.909,390,235.6667,8.7369,243,116.3333,32.0364,152,0.6729,0.0599,0.7297,10.3603,0.7519,11.1282,9.2579,0.5212,9.7761,22.8437,1.4103,24.1645,30.6621,1.2783,32.0921,0.0,0.0,0.0,6.193,0.4819,6.6076,10.1221,0.2569,10.4008,18.2365,0.9603,19.3429,1.1542,0.0081,1.1621,1.4851,0.02,1.5065,3924.0636,147.5584,4051.7128,2122.2735,35.0145,2159.4577,1801.7901,114.8575,1892.255,0.4589,0.0124,0.467,65,1.0,66,12.4123,1.4262,14.0111,50.7939,28.1721,72.1312,1,0.0,1,0.6667,0.5774,1,0.3333,0.5774,1,1.178,1.2928,2.0921,0.6949,0.0,0.6949
rl+sa (rl_v4),352,32.909,390,273,12.1655,281,79,29.8161,111,0.779,0.0642,0.8438,14.1468,0.916,15.1812,12.8495,1.5828,14.6605,28.8657,1.1633,30.1989,33.6068,1.328,35.1342,0.0,0.0,0.0,8.3873,0.4035,8.8523,11.9514,0.6454,12.6166,26.2274,2.4315,28.076,1.2788,0.0279,1.2984,1.9908,0.1283,2.1116,4035.1123,152.5599,4204.8629,2446.1835,29.481,2472.3517,1588.9288,126.2641,1732.5112,0.3934,0.0162,0.412,95,7.0,100,44.286,7.6369,53.0922,179.7601,18.1272,200.4178,8,5.2915,14,7.6667,5.6862,14,0.3333,0.5774,1,1.6272,0.3856,1.8954,1.4142,0.0,1.4142
rl+sa (rl_v5),352,32.909,390,278,13.0767,287,74,27.2213,103,0.7928,0.0585,0.8529,15.0754,1.2276,15.9852,13.5502,1.1209,14.7401,29.6796,0.6778,30.0986,35.9166,1.7623,37.7746,0.139,0.2407,0.4169,8.6635,0.5202,9.0489,12.8083,0.7073,13.2796,29.9439,1.6732,31.6085,1.3064,0.0315,1.3349,2.0988,0.0591,2.1521,4108.0081,165.6228,4287.7965,2551.4425,58.6035,2606.5241,1556.5656,150.0826,1729.8526,0.3784,0.0224,0.4034,85.6667,14.7422,97,54.3488,10.4614,64.4376,195.6793,29.8847,223.2695,13.3333,3.7859,16,12,3.4641,14,1.3333,0.5774,2,1.8949,0.4261,2.3828,0.5865,0.3695,0.8895
rl+ts (rl_base),352,32.909,390,286,13.5277,299,66,34.7707,103,0.8169,0.081,0.8979,13.3687,0.9804,14.4968,10.6841,1.0355,11.8797,29.6813,1.0807,30.8131,34.2392,0.2356,34.3947,0.0,0.0,0.0,9.1136,0.5374,9.7331,12.9233,0.8624,13.4594,30.1572,3.8584,33.4752,1.3113,0.0431,1.347,2.0756,0.1212,2.196,3718.9475,125.9262,3813.7968,2532.599,68.2449,2596.4111,1186.3485,79.9956,1273.0616,0.3188,0.013,0.3338,173.6667,24.9466,202,28.5366,1.4438,29.4451,106.206,7.1708,113.8468,13.3333,9.4516,24,11.6667,7.3711,20,1.6667,2.0817,4,1.5751,0.1423,1.7292,1.7101,1.4357,2.7253
rl+ts (rl_v3),352,32.909,390,245.6667,9.0185,255,106.3333,34.6747,145,0.7019,0.0693,0.7658,8.2168,0.4498,8.7322,7.115,0.5855,7.7811,18.2605,0.5774,18.7584,27.1435,2.9614,30.487,0.0,0.0,0.0,5.2361,0.1376,5.376,10.7266,0.4164,11.204,20.6105,0.548,21.2298,1.1867,0.01,1.1982,1.5795,0.0134,1.5903,3522.01,150.0935,3664.2576,2196.6953,53.658,2257.9417,1325.3147,147.0939,1490.0704,0.3756,0.0269,0.4067,162,14.4222,178,8.4736,0.503,8.8089,20.8578,1.2043,22.192,0.6667,0.5774,1,0.3333,0.5774,1,0.3333,0.5774,1,0.487,0.0,0.487,0.6949,0.0,0.6949
