policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
rl (rl_base),212,11.2694,219,190,12.1655,198,22,1.7321,23,0.8959,0.0119,0.9083,13.1333,1.1093,13.822,10.7355,1.0443,11.9273,29.381,1.3987,30.8975,35.8887,2.2432,37.9757,0.0,0.0,0.0,8.6456,0.7665,9.4241,12.4217,0.8645,13.2618,29.0264,3.1523,32.4166,1.2577,0.0454,1.2994,2.0297,0.0722,2.1061,3135.4515,127.2098,3239.9441,1841.5146,146.9797,1940.9481,1293.9369,54.0764,1329.0338,0.4132,0.0267,0.4413,0,0.0,0,2.7701,0.335,3.1446,3.4857,0.8418,4.3459,8,4.3589,13,7,4.3589,12,1,0.0,1,2.4756,1.0459,3.5791,1.3234,1.3439,2.787
rl (rl_v3),212,11.2694,219,162.3333,5.5076,168,49.6667,7.5056,57,0.7664,0.0249,0.7889,9.8125,0.0904,9.9166,8.4952,0.174,8.6143,22.227,0.8347,23.1165,31.0082,3.4473,34.9858,0.0,0.0,0.0,5.9844,0.1966,6.1872,10.622,0.5514,11.2436,19.9292,0.5254,20.5334,1.1521,0.0217,1.1771,1.4858,0.0344,1.5216,2987.1466,122.2669,3119.3877,1544.9848,122.7691,1681.3006,1442.1618,9.7763,1453.3163,0.4833,0.0198,0.4986,0,0.0,0,2.4572,0.1185,2.5938,3.4842,0.6511,4.2357,0.3333,0.5774,1,0.3333,0.5774,1,0,0.0,0,4.9858,0.0,4.9858,,,
rl (rl_v4),212,11.2694,219,181.3333,5.6862,186,30.6667,6.1101,36,0.8561,0.022,0.8794,11.8163,1.019,12.4998,9.6358,1.0956,10.6108,27.9701,0.9737,28.8407,34.7666,1.75,36.7631,0.0,0.0,0.0,7.8262,0.3283,8.1717,11.8173,0.3068,12.0957,26.3207,1.6717,28.1907,1.2371,0.0076,1.2459,1.9996,0.1075,2.0644,3091.3166,129.2316,3231.027,1744.2636,34.9572,1767.1771,1347.053,102.5063,1463.8499,0.4354,0.0154,0.4531,0,0.0,0,2.4815,0.1901,2.6909,3.5392,0.591,4.2216,5,2.0,7,4.6667,2.0817,7,0.3333,0.5774,1,2.246,1.108,3.4743,0.0765,0.0,0.0765
rl (rl_v5),212,11.2694,219,189.3333,10.2632,198,22.6667,3.7859,27,0.8931,0.0158,0.9083,13.741,0.7531,14.2815,11.4436,1.2904,12.4133,29.2471,0.2104,29.4397,35.9114,2.2609,38.4818,0.0,0.0,0.0,8.6239,0.1657,8.8143,12.9822,0.8054,13.7401,32.4468,3.9053,36.9156,1.2798,0.0426,1.3191,2.1055,0.0675,2.1821,3224.7823,96.3577,3321.6874,1871.4136,103.507,1939.4918,1353.3687,45.2386,1382.1956,0.4199,0.0185,0.44,0,0.0,0,2.6142,0.1961,2.8381,3.9068,0.736,4.6352,6.3333,2.0817,8,6.3333,2.0817,8,0,0.0,0,2.1865,0.5441,2.7977,,,
rl+sa (rl_base),212,11.2694,219,195.3333,10.9697,204,16.6667,3.0551,20,0.9214,0.0136,0.9358,12.5673,0.8073,13.4625,10.4332,1.2664,11.8717,29.7658,0.4307,30.2314,35.8778,2.3912,37.3605,0.0,0.0,0.0,8.743,0.4384,9.0986,11.9633,0.6703,12.5667,26.5123,1.881,28.5111,1.2225,0.029,1.248,1.9044,0.1991,2.1272,3074.8128,98.0519,3170.1315,1850.5832,106.1882,1938.1592,1224.2297,22.4331,1241.7659,0.3985,0.0165,0.4175,65.6667,9.5044,75,34.6364,4.9243,38.2743,137.7038,9.0744,146.1334,8,2.0,10,8,2.0,10,0,0.0,0,2.5807,0.7897,3.3877,,,
rl+sa (rl_v3),212,11.2694,219,168,7.0,175,44,6.5574,51,0.793,0.0226,0.809,9.5415,0.4872,10.0754,8.4891,0.5572,9.1197,21.7511,1.1408,22.9169,30.5692,3.8935,34.0053,0.0,0.0,0.0,5.9365,0.4802,6.2262,10.5909,0.0989,10.7046,20.5196,0.9796,21.3319,1.1452,0.0109,1.1567,1.4995,0.022,1.5169,2903.3152,96.5666,2959.8812,1575.1986,59.0827,1621.3324,1328.1166,41.2186,1364.2234,0.4575,0.0049,0.4609,46.3333,6.0277,52,9.4181,0.3575,9.809,13.9628,0.925,14.5149,0.6667,0.5774,1,0.6667,0.5774,1,0,0.0,0,2.6837,1.8691,4.0053,,,
rl+sa (rl_v4),212,11.2694,219,184.6667,7.0238,192,27.3333,7.0946,35,0.8718,0.0282,0.8945,11.1384,0.5972,11.773,9.0435,0.2547,9.3351,26.9902,1.3821,28.4861,34.4042,3.9541,38.9522,0.0,0.0,0.0,7.5274,0.5411,7.9342,11.0962,0.3812,11.32,22.7221,1.1286,23.627,1.1902,0.0212,1.2108,1.661,0.0668,1.7207,3014.2361,65.3761,3052.9685,1747.6353,73.1895,1800.3074,1266.6008,13.7906,1274.6915,0.4204,0.0122,0.4338,60,4.5826,65,19.4559,2.2893,21.7124,77.5752,4.8601,83.0164,3,2.6458,6,2.6667,2.0817,5,0.3333,0.5774,1,2.8072,1.7004,4.7699,0.0373,0.0,0.0373
rl+sa (rl_v5),212,11.2694,219,195.6667,12.8582,205,16.3333,2.8868,18,0.9226,0.016,0.9404,12.5977,0.956,13.3901,10.599,1.0333,11.3342,28.2549,1.4703,29.5775,34.401,2.4005,37.0483,0.0906,0.1569,0.2717,8.1446,0.5614,8.7636,12.1546,0.6219,12.541,28.608,4.001,32.9308,1.2409,0.0222,1.2599,1.9356,0.21,2.0725,3119.2086,151.1523,3254.4105,1863.4181,126.6312,1941.4795,1255.7905,50.8007,1312.931,0.4029,0.0164,0.419,57,7.5498,64,32.4553,8.9372,38.848,145.6517,29.347,177.8669,5.6667,1.5275,7,5,2.6458,7,0.6667,1.1547,2,2.3656,0.8082,2.9195,0.7254,0.0,0.7254
rl+ts (rl_base),212,11.2694,219,199,14.7986,209,13,4.0,17,0.938,0.0222,0.9587,10.4704,1.8694,11.9222,7.8316,1.5374,9.1249,27.9132,1.8679,29.1158,32.8502,1.0363,34.0051,0.0,0.0,0.0,8.1356,0.7986,8.6899,12.0311,0.9146,12.8444,26.1641,2.738,27.8499,1.23,0.0383,1.2681,1.8471,0.2257,2.072,2777.291,238.8809,2924.0696,1875.5574,182.7244,1981.439,901.7336,56.7631,943.4023,0.3251,0.0085,0.3346,130.3333,8.0208,138,16.4071,4.9605,19.9597,56.1734,14.9864,66.6112,5.3333,1.1547,6,5.3333,1.1547,6,0,0.0,0,1.5634,0.6654,2.3167,,,
rl+ts (rl_v3),212,11.2694,219,177,7.0,182,35,4.3589,38,0.8353,0.0123,0.8492,7.3074,0.7873,7.8371,6.5077,0.9071,7.2253,17.2051,1.9326,18.6578,25.3702,1.8723,27.1154,0.0,0.0,0.0,4.8721,0.3149,5.1638,10.8377,0.1858,10.9921,20.949,1.5482,22.5388,1.1722,0.0094,1.1781,1.5512,0.0643,1.6249,2590.1295,171.5677,2689.4826,1651.7959,79.6938,1712.3633,938.3336,94.5983,1007.3749,0.3617,0.0138,0.3746,125.3333,6.3509,129,8.0148,1.0741,9.1587,16.2693,2.2605,18.3232,0,0.0,0,0,0.0,0,0,0.0,0,,,,,,
