policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
greedy,212,11.2694,219,193,9.5394,199,19,1.7321,20,0.9105,0.0035,0.9146,5.6365,0.2788,5.958,4.6634,0.4709,5.0869,13.5676,1.3819,14.955,21.938,3.2805,25.592,0.0,0.0,0.0,3.9579,0.3821,4.3058,7.738,0.2463,8.0209,13.8332,1.4606,15.2887,1.1845,0.013,1.1978,1.5086,0.0274,1.5285,2159.7084,167.7032,2307.8992,1288.1848,83.9836,1367.9828,871.5236,84.4744,939.9165,0.4031,0.0089,0.4092,0,0.0,0,0.0929,0.0029,0.0951,0.2048,0.0287,0.2353,0,0.0,0,0,0.0,0,0,0.0,0,,,,,,
greedy+sa,212,11.2694,219,193,9.5394,199,19,1.7321,20,0.9105,0.0035,0.9146,5.4783,0.2602,5.7776,4.7126,0.5379,5.2298,13.7444,1.2159,14.4757,19.4493,2.2582,21.7765,0.0,0.0,0.0,3.8204,0.3736,4.1508,7.7694,0.1163,7.9025,13.8759,1.1689,14.9382,1.1912,0.0074,1.1995,1.5245,0.0202,1.5417,2132.2844,153.594,2249.2143,1286.212,83.1742,1354.5989,846.0724,70.8953,894.6154,0.3966,0.0056,0.4014,11.3333,4.0415,15,6.9775,0.2075,7.1474,14.5336,1.3467,16.087,0,0.0,0,0,0.0,0,0,0.0,0,,,,,,
greedy+ts,212,11.2694,219,193,9.5394,199,19,1.7321,20,0.9105,0.0035,0.9146,5.2459,0.3185,5.5398,4.6413,0.2855,4.8062,12.3742,0.4804,12.9042,19.872,2.5925,21.9594,0.0,0.0,0.0,3.4137,0.3282,3.792,7.8801,0.1465,8.0424,14.7778,1.6071,16.5977,1.2031,0.0051,1.2075,1.5409,0.079,1.6291,1993.5243,146.4066,2094.2786,1267.0736,85.9568,1329.8346,726.4506,60.6702,764.444,0.3642,0.0043,0.368,42.6667,9.609,53,5.2179,0.5987,5.9008,17.4754,4.7269,22.877,0,0.0,0,0,0.0,0,0,0.0,0,,,,,,
greedy+ga,212,11.2694,219,193,9.5394,199,19,1.7321,20,0.9105,0.0035,0.9146,5.2846,0.3775,5.6625,4.6074,0.2611,4.8061,12.5348,1.2785,13.9313,18.6784,1.8764,20.6867,0.0,0.0,0.0,3.4505,0.407,3.9201,7.919,0.2163,8.1637,14.9881,1.5295,16.5977,1.2076,0.0126,1.2215,1.5519,0.1123,1.681,1997.682,151.1597,2108.9447,1272.9272,92.9152,1348.2596,724.7548,59.1541,760.6851,0.3627,0.0044,0.3678,45,9.8489,53,7.3226,0.5972,7.8034,13.5867,0.5727,14.2469,0,0.0,0,0,0.0,0,0,0.0,0,,,,,,
greedy+alns,212,11.2694,219,193,9.5394,199,19,1.7321,20,0.9105,0.0035,0.9146,5.467,0.3291,5.8135,4.6281,0.4858,5.0938,13.0378,1.2508,14.466,21.0749,1.4732,22.6833,0.0,0.0,0.0,3.7276,0.225,3.9831,7.7219,0.1261,7.8633,14.2278,0.7411,14.9018,1.182,0.0014,1.183,1.5065,0.0138,1.5223,2146.1356,164.4702,2271.2756,1286.1903,76.5679,1346.1661,859.9452,87.9511,925.1095,0.4001,0.0108,0.4073,9.3333,2.3094,12,5.8045,0.612,6.4734,38.4529,1.4301,40.078,0,0.0,0,0,0.0,0,0,0.0,0,,,,,,
rl (rl_v4),212,11.2694,219,192.6667,10.116,199,19.3333,1.1547,20,0.9088,0.0007,0.9095,8.0058,0.6339,8.7216,6.7024,0.5378,7.3206,21.5865,3.1088,24.9401,30.5374,1.8236,32.1647,0.0,0.0,0.0,5.8546,0.7679,6.4756,7.7757,0.1113,7.8946,13.3662,0.5537,13.9339,1.1914,0.0145,1.2079,1.5012,0.0614,1.5653,2460.3059,202.3007,2649.7661,1282.185,89.5146,1359.9244,1178.1209,113.5033,1289.8417,0.4785,0.0073,0.4868,0,0.0,0,2.5767,0.4074,3.0469,3.2037,0.5398,3.683,2,1.7321,3,2,1.7321,3,0,0.0,0,0.9639,0.6098,1.3951,,,
rl+sa (rl_v4),212,11.2694,219,193,9.5394,199,19,1.7321,20,0.9105,0.0035,0.9146,6.9395,0.4995,7.4993,5.7813,0.4821,6.1921,15.9977,1.5669,17.1192,26.0527,2.5086,27.8686,0.0,0.0,0.0,4.6973,0.5995,5.1234,7.7824,0.0951,7.8871,13.8272,0.6273,14.3292,1.1883,0.0046,1.1919,1.5203,0.0226,1.5361,2309.6296,172.5078,2437.1016,1283.4207,88.7314,1344.9588,1026.2089,84.0057,1092.1428,0.4442,0.0037,0.4481,53.3333,7.3711,59,15.4068,2.4626,17.2882,78.409,8.6341,83.4827,0,0.0,0,0,0.0,0,0,0.0,0,,,,,,
rl+ts (rl_v4),212,11.2694,219,193,9.5394,199,19,1.7321,20,0.9105,0.0035,0.9146,5.2732,0.3173,5.6283,4.6797,0.3535,4.9067,12.0443,1.2135,12.7567,18.7083,3.8737,23.1547,0.0,0.0,0.0,3.4103,0.3264,3.7015,7.9174,0.1746,8.1183,14.0865,1.3254,14.8937,1.211,0.006,1.2166,1.5649,0.0697,1.6399,1998.0888,119.7926,2074.3883,1268.2135,74.2459,1320.9139,729.8753,46.1327,759.4344,0.3652,0.003,0.3687,137.6667,13.6504,150,8.5574,0.5967,9.0939,23.0093,5.0248,26.8486,0,0.0,0,0,0.0,0,0,0.0,0,,,,,,
rl+ga (rl_v4),212,11.2694,219,193,9.5394,199,19,1.7321,20,0.9105,0.0035,0.9146,5.2728,0.3303,5.6025,4.6331,0.3216,4.8483,12.5958,0.8546,13.569,19.2024,1.968,20.6867,0.0,0.0,0.0,3.4343,0.3399,3.8264,7.8537,0.1713,8.0513,14.1593,0.671,14.7583,1.203,0.01,1.2146,1.541,0.0796,1.63,1991.1684,143.4634,2090.8565,1267.9183,94.34,1341.6257,723.2501,50.4134,755.3736,0.3633,0.0046,0.3674,140.3333,6.5064,147,13.2006,3.3023,16.967,57.3331,69.9033,138.0505,0.3333,0.5774,1,0,0.0,0,0.3333,0.5774,1,,,,0.1549,0.0,0.1549
rl+alns (rl_v4),212,11.2694,219,193,9.5394,199,19,1.7321,20,0.9105,0.0035,0.9146,6.8402,0.2636,7.1188,6.4348,0.3368,6.7021,13.06,0.9176,13.9911,22.0121,1.4576,23.6811,0.0,0.0,0.0,3.6289,0.3108,3.8219,7.7773,0.137,7.9345,13.0721,0.6018,13.4664,1.1953,0.0107,1.2066,1.5402,0.0502,1.5978,2394.3182,143.1276,2512.6181,1287.0501,75.3734,1348.5593,1107.2681,67.7675,1164.0588,0.4624,0.0008,0.4633,27.6667,2.8868,31,10.0106,1.3856,11.6092,52.4747,10.9821,64.7208,0,0.0,0,0,0.0,0,0,0.0,0,,,,,,
