policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
rl (rl_base),352,32.909,390,223,11.3578,231,129,27.4955,159,0.6359,0.0464,0.6847,19.1919,0.8677,20.1652,21.044,1.286,22.2274,31.8176,0.2578,32.051,34.9361,0.7305,35.7795,0.797,1.3805,2.3911,9.3742,0.3819,9.8068,13.7377,0.4738,14.1418,31.5604,1.2275,32.6826,1.4299,0.0349,1.4519,2.1896,0.0478,2.2337,3116.5375,105.8802,3236.0579,2038.7731,78.2698,2120.3872,1077.7644,34.7295,1115.6706,0.3459,0.0063,0.3527,0,0.0,0,2.7262,0.3271,3.0743,6.4555,0.2307,6.7196,27.6667,5.8595,32,27,5.2915,31,0.6667,0.5774,1,1.8622,0.1269,1.9972,2.0525,1.8306,3.3469
rl (rl_v3),352,32.909,390,172.6667,7.3711,181,179.3333,35.9073,220,0.4936,0.0543,0.5435,11.3093,0.5567,11.9362,9.374,0.4743,9.683,27.2103,1.8161,28.7372,33.5148,4.0286,37.1575,0.0,0.0,0.0,7.1604,0.3907,7.4866,10.2481,0.3721,10.5483,20.2087,0.8207,21.0665,1.1894,0.0107,1.1988,1.659,0.0836,1.7552,2944.7507,123.7327,3023.9304,1538.1502,8.2502,1543.1586,1406.6006,115.5213,1481.2664,0.4771,0.0196,0.4898,0,0.0,0,3.5429,0.5609,4.1591,6.6263,0.2485,6.7952,4.3333,4.1633,9,3.6667,4.0415,8,0.6667,0.5774,1,3.6421,2.5332,5.4333,1.2819,0.83,1.8688
rl (rl_v4),352,32.909,390,219,4.3589,222,133,31.4325,169,0.6253,0.0522,0.6667,18.3247,0.6507,18.9144,19.578,1.7355,20.7998,31.2415,0.7593,32.0526,35.6434,2.8023,38.63,0.0,0.0,0.0,9.4733,0.2475,9.629,12.1259,0.3132,12.4686,27.7772,1.6966,29.711,1.3421,0.0278,1.3697,2.1612,0.0773,2.2119,3094.792,83.0564,3189.8169,1906.6144,20.0468,1926.9997,1188.1776,64.6629,1262.8172,0.3837,0.0106,0.3959,0,0.0,0,3.3292,0.47,3.8651,6.5641,0.1299,6.6976,22.6667,4.9329,26,21.3333,4.7258,25,1.3333,0.5774,2,1.7913,0.3501,2.1479,0.8423,0.2079,1.0802
rl (rl_v5),352,32.909,390,223,7.2111,229,129,31.9531,165,0.6368,0.0559,0.6877,18.4424,0.1097,18.5676,19.9691,0.1671,20.1483,31.4194,0.9876,32.4095,35.5076,0.9224,36.4839,0.4438,0.6032,1.1306,9.1622,0.3638,9.5472,13.8948,0.5414,14.5167,33.0376,3.0881,36.5074,1.4334,0.0352,1.4706,2.264,0.0389,2.2965,3127.8415,123.8125,3266.6425,2033.1527,78.652,2095.2002,1094.6888,107.4781,1207.079,0.3497,0.025,0.3695,0,0.0,0,2.6588,0.3529,3.0012,6.4597,0.1738,6.6562,23.6667,7.0946,30,20.3333,5.6862,25,3.3333,1.5275,5,1.7204,0.4174,2.1279,1.1824,0.6163,1.8694
rl+sa (rl_base),352,32.909,390,229.6667,15.6312,244,122.3333,34.5591,158,0.6557,0.0703,0.7327,18.0193,0.5152,18.515,18.769,1.3265,20.0936,30.8161,0.2912,31.0301,36.6845,3.5158,40.744,0.0453,0.0784,0.1358,8.8493,0.223,9.1027,13.4951,0.1693,13.6682,30.8476,0.6205,31.445,1.3923,0.0289,1.4213,2.2306,0.013,2.2435,3097.5123,104.4637,3215.9904,2100.864,102.601,2206.6422,996.6483,28.7749,1016.8885,0.322,0.0129,0.3369,75.6667,10.0167,87,56.771,6.3367,62.3551,184.8548,7.1402,190.4664,17,1.7321,18,16.6667,2.3094,18,0.3333,0.5774,1,1.7382,0.4176,2.1883,0.6949,0.0,0.6949
rl+sa (rl_v3),352,32.909,390,176,8.8882,183,176,31.4802,211,0.5023,0.0454,0.5495,10.3763,0.4267,10.7924,9.3626,0.2457,9.6145,21.2902,0.973,22.077,29.2921,0.4288,29.6634,0.0,0.0,0.0,6.0565,0.1257,6.2001,9.9571,0.3648,10.28,19.3815,1.7228,21.0072,1.1597,0.0109,1.1715,1.4828,0.0594,1.5422,2904.5911,85.0204,2963.5425,1549.7694,40.6955,1589.7295,1354.8217,49.3912,1391.8985,0.4664,0.0057,0.4729,44.3333,3.7859,47,11.1084,0.4553,11.4651,19.9908,1.3858,21.4203,0.3333,0.5774,1,0,0.0,0,0.3333,0.5774,1,,,,0.6949,0.0,0.6949
rl+sa (rl_v4),352,32.909,390,227.3333,12.4231,235,124.6667,29.2803,156,0.6484,0.0534,0.7057,17.5761,0.6892,18.3633,17.898,1.2875,19.3233,30.4548,0.3186,30.6431,34.0363,0.7914,34.6511,0.3566,0.6177,1.0698,8.6717,0.0607,8.7077,11.7365,0.0845,11.8201,25.2338,1.8488,26.951,1.324,0.0139,1.3343,2.0135,0.026,2.0392,3073.273,134.0266,3220.7812,1898.6459,48.8782,1941.335,1174.6271,91.1801,1279.4463,0.3819,0.0135,0.3972,83,5.1962,89,48.2229,3.7021,52.384,155.2703,19.1028,177.1333,14,1.0,15,13.3333,1.5275,15,0.6667,1.1547,2,1.7526,0.4484,2.1791,1.6108,0.0,1.6108
rl+sa (rl_v5),352,32.909,390,225,8.7178,235,127,37.2424,169,0.6433,0.0706,0.7057,17.7734,0.8939,18.7992,18.2447,1.3614,19.8056,30.6084,1.2181,31.8731,34.2102,0.9735,34.9803,0.2611,0.4522,0.7832,8.8472,0.3093,9.1788,12.9967,0.8242,13.489,30.1378,3.1417,33.5675,1.3564,0.032,1.3791,2.1451,0.0332,2.1795,3101.3728,151.083,3270.2141,1976.359,6.6546,1983.2724,1125.0137,150.0181,1294.4071,0.3618,0.0301,0.3958,67,16.3707,81,50.3378,2.4997,53.0855,182.6596,6.624,186.6367,15,6.5574,21,14,6.5574,20,1,0.0,1,1.568,0.4504,1.9863,1.2074,0.5592,1.8038
rl+ts (rl_base),352,32.909,390,235.3333,9.5044,245,116.6667,34.5302,155,0.6723,0.0668,0.7357,16.3766,1.314,17.7649,15.4708,2.1876,17.5741,30.6917,0.0701,30.7402,34.755,1.867,36.7373,0.0,0.0,0.0,9.2083,0.155,9.3212,13.3898,0.5078,13.7247,33.1264,2.3346,35.167,1.3833,0.0206,1.4058,2.2017,0.0093,2.2097,2983.5807,130.7928,3115.8755,2061.5861,49.2082,2112.2819,921.9946,81.6323,1003.5936,0.3086,0.0139,0.3221,114,7.0,121,28.2055,3.0222,31.5838,102.0821,14.2453,117.7057,16.3333,1.5275,18,14.6667,2.0817,17,1.6667,0.5774,2,1.8728,0.718,2.6397,2.3561,2.2084,4.8855
rl+ts (rl_v3),352,32.909,390,189.3333,7.0946,197,162.6667,34.7755,202,0.5411,0.0553,0.5916,9.4104,0.3404,9.7743,8.5162,0.3446,8.9097,20.1546,1.5754,21.385,26.7825,1.9068,28.8382,0.0,0.0,0.0,5.3468,0.3485,5.7093,10.2776,0.4142,10.7515,19.7744,1.4301,21.2688,1.1857,0.0307,1.2204,1.5873,0.1596,1.7667,2762.7547,99.7908,2847.6779,1631.2732,46.6585,1669.236,1131.4815,53.2278,1178.4419,0.4094,0.0046,0.4138,107.6667,0.5774,108,8.192,0.4182,8.5153,24.3892,2.8247,27.4523,0.3333,0.5774,1,0,0.0,0,0.3333,0.5774,1,,,,0.6949,0.0,0.6949
