policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
greedy,352,32.909,390,307.6667,15.9478,326,44.3333,17.0978,64,0.8762,0.0352,0.9009,12.0688,3.9702,16.3646,8.5608,1.4353,10.1832,33.2996,12.1558,44.296,42.5001,10.5549,50.5988,0.0,0.0,0.0,10.1645,4.1931,14.4649,8.3547,0.3405,8.5735,16.1079,1.9476,18.132,1.2618,0.0301,1.2826,1.7774,0.1235,1.863,3343.3319,120.3825,3424.5986,2024.0786,70.8877,2105.7675,1319.2532,116.2618,1445.8653,0.3942,0.0242,0.4222,0,0.0,0,0.3125,0.1906,0.5226,0.8429,0.5089,1.3895,4,6.0828,11,4,6.0828,11,0,0.0,0,1.6192,0.3971,1.9,,,
greedy+sa,352,32.909,390,311,21.7025,336,41,11.3578,54,0.8848,0.0206,0.9009,11.9552,4.5711,16.8902,8.4992,2.5757,11.2144,33.1144,11.2756,43.5111,42.1409,8.865,48.1276,0.0,0.0,0.0,10.0805,4.0138,14.2146,8.3839,0.4332,8.6438,15.8506,2.2979,17.9272,1.2663,0.0423,1.2991,1.7915,0.1862,1.9369,3285.4453,125.9915,3387.2721,2029.1477,108.5939,2154.3311,1256.2976,98.3706,1364.2445,0.3823,0.0247,0.4104,22.6667,11.2398,35,78.0755,60.9187,134.9021,284.7528,180.0937,414.1727,3,4.3589,8,3,4.3589,8,0,0.0,0,1.5168,0.2524,1.6952,,,
greedy+ts,352,32.909,390,318,33.8083,357,34,1.7321,36,0.9027,0.0119,0.9154,8.1969,2.7442,11.3036,6.4893,1.5676,8.2603,21.1978,9.9895,32.5139,36.6352,7.6664,45.2762,0.0,0.0,0.0,6.4543,2.8258,9.6417,8.3465,0.4097,8.762,15.3694,1.2239,16.4013,1.264,0.0521,1.324,1.7509,0.1593,1.9253,3024.2511,160.3433,3172.4424,1986.4756,120.6916,2122.4989,1037.7756,70.6502,1101.5514,0.3432,0.0162,0.3616,117.3333,35.1615,157,36.9009,38.6268,80.9573,161.5738,174.6388,360.0921,0.6667,1.1547,2,0.6667,1.1547,2,0,0.0,0,0.1526,0.0,0.1526,,,
greedy+ga,352,32.909,390,317.3333,32.6548,355,34.6667,1.5275,36,0.901,0.0092,0.9103,8.705,3.1962,12.3471,6.6815,1.495,8.305,23.6594,13.0648,38.5858,34.8981,9.7574,46.0596,0.0,0.0,0.0,7.0575,3.5482,11.1308,8.3973,0.4613,8.8608,15.5884,2.0896,17.6109,1.2689,0.0559,1.3323,1.7565,0.2027,1.977,3004.323,165.4091,3142.5832,1976.2917,125.3265,2117.0546,1028.0314,85.0596,1114.3147,0.3422,0.0206,0.3654,122,38.1969,165,123.9183,150.9345,296.2446,526.7194,514.8995,1108.7715,0.6667,1.1547,2,0.6667,1.1547,2,0,0.0,0,1.0057,0.0,1.0057,,,
greedy+alns,352,32.909,390,318,33.8083,357,34,1.7321,36,0.9027,0.0119,0.9154,8.5605,2.8508,11.7986,6.5791,0.9603,7.6843,22.42,11.5432,35.5611,36.1714,12.2175,47.6696,0.0,0.0,0.0,6.9512,3.4452,10.846,8.3369,0.3946,8.6808,15.8081,1.553,17.4179,1.2566,0.0427,1.3038,1.7606,0.1433,1.8922,3164.9103,162.6363,3280.212,2021.8441,115.706,2154.3626,1143.0662,146.0868,1309.8953,0.3607,0.0342,0.3993,82,47.7912,134,81.7802,79.7879,170.9427,329.9294,288.4565,644.6893,1,1.7321,3,0.6667,1.1547,2,0.3333,0.5774,1,1.7301,0.0,1.7301,0.2116,0.0,0.2116
rl (rl_v4),352,32.909,390,307.6667,17.6163,328,44.3333,15.308,62,0.8759,0.0303,0.8949,15.0018,4.0232,19.1787,9.4767,2.4476,12.1955,41.9594,3.8305,45.2659,48.0129,0.9774,49.1413,0.0,0.0,0.0,13.1505,2.6367,15.6951,8.3804,0.34,8.5926,16.5869,1.4166,17.6666,1.2637,0.0321,1.2925,1.8622,0.1761,2.0243,3523.0693,84.5186,3591.6241,1962.1868,76.1616,2049.706,1560.8826,69.595,1637.9942,0.443,0.0166,0.4615,0,0.0,0,2.7434,0.2016,2.9587,3.834,0.1923,3.9723,11.3333,11.9304,25,11.3333,11.9304,25,0,0.0,0,1.4489,0.1506,1.5963,,,
rl+sa (rl_v4),352,32.909,390,312,24.2693,340,40,8.7178,50,0.8872,0.0137,0.8979,13.7553,3.8666,17.3481,9.7872,2.1605,12.017,36.182,9.5224,42.0778,43.3164,4.653,46.3329,0.0765,0.1325,0.2295,10.5627,3.1591,12.9775,8.3164,0.3825,8.6662,15.5677,2.0813,17.753,1.255,0.0395,1.2971,1.8101,0.1358,1.92,3491.1483,87.4989,3551.8439,2008.9367,67.6883,2086.9648,1482.2115,75.3872,1564.7555,0.4245,0.0164,0.4432,101.3333,36.9639,144,94.8964,51.7154,142.6979,317.2096,134.8256,423.6566,4,4.5826,9,3.6667,4.0415,8,0.3333,0.5774,1,0.7296,0.2418,0.9006,0.3342,0.0,0.3342
rl+ts (rl_v4),352,32.909,390,313.6667,27.1539,345,38.3333,5.8595,45,0.8915,0.0067,0.8979,8.6835,2.9785,12.0476,6.6243,1.308,8.1182,24.6372,13.5916,40.088,40.5345,8.7092,47.0772,0.0,0.0,0.0,7.1587,3.4978,11.1159,8.4091,0.4237,8.8185,15.8586,1.0112,16.8161,1.2701,0.0479,1.3244,1.7682,0.1546,1.9168,3028.8159,165.7271,3176.7563,1982.5351,122.8278,2123.6925,1046.2808,93.3653,1136.0697,0.3453,0.0225,0.3713,222.6667,31.88,257,41.6007,34.2225,79.6521,172.0547,148.7293,335.6335,2,3.4641,6,2,3.4641,6,0,0.0,0,1.0512,0.0,1.0512,,,
rl+ga (rl_v4),352,32.909,390,316.6667,31.5013,353,35.3333,2.0817,37,0.8993,0.0068,0.9051,8.7032,2.8233,11.8592,6.715,1.1994,8.0222,23.7764,11.8606,37.0127,38.3849,7.412,45.4241,0.0,0.0,0.0,6.9785,3.1648,10.4867,8.4125,0.4469,8.7936,15.8475,1.388,16.725,1.2698,0.0485,1.3228,1.746,0.1987,1.9506,3033.0641,156.3346,3164.8217,1990.6096,117.9327,2120.751,1042.4545,72.1593,1113.7921,0.3437,0.0167,0.3623,237,35.3412,277,128.8819,128.0052,272.0072,552.5145,466.4957,1066.2132,0.3333,0.5774,1,0.3333,0.5774,1,0,0.0,0,0.4241,0.0,0.4241,,,
rl+alns (rl_v4),352,32.909,390,316,31.1929,352,36,2.0,38,0.8975,0.0054,0.9026,9.6405,2.4269,12.4162,7.8776,1.0017,9.0332,25.7591,11.1562,38.3412,39.5778,9.2512,45.9318,0.0,0.0,0.0,7.1518,2.9642,10.4169,8.3266,0.3145,8.6453,15.4057,1.0334,16.5545,1.2622,0.0384,1.3058,1.7712,0.1613,1.9547,3390.7788,155.5316,3527.7347,2017.7551,126.3357,2160.779,1373.0237,160.1377,1556.6153,0.4045,0.0363,0.4413,128,37.3631,168,88.7801,71.2901,167.2097,336.5542,226.6483,565.6844,0.6667,1.1547,2,0.6667,1.1547,2,0,0.0,0,0.5895,0.0,0.5895,,,
