policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
greedy,352,32.909,390,160,6.5574,166,192,32.6956,229,0.4569,0.0429,0.4985,15.0208,1.2754,16.4934,13.4492,2.292,16.0878,30.566,0.3873,31.0127,35.5975,2.8103,38.8109,0.0,0.0,0.0,9.7994,0.4448,10.1294,13.1578,0.2249,13.414,21.3246,0.7855,22.2314,1.085,0.0032,1.0887,1.3822,0.01,1.3918,3096.3339,145.9343,3233.911,1900.1583,62.4912,1969.7655,1196.1755,89.786,1264.1454,0.386,0.0125,0.3953,0,0.0,0,0.127,0.0165,0.1451,0.2515,0.0151,0.2688,10.3333,2.5166,13,9.3333,1.5275,11,1,1.0,2,2.2159,0.4073,2.6801,0.3361,0.361,0.5913
greedy+sa,352,32.909,390,165,5.1962,168,187,30.6431,222,0.4709,0.0373,0.5045,14.6699,1.4846,16.3645,13.1503,2.8541,16.4327,30.5505,0.5106,31.1318,37.5003,1.8148,38.8109,0.0,0.0,0.0,9.6051,0.2385,9.8646,13.0869,0.221,13.3008,22.4213,0.8233,23.3531,1.08,0.008,1.0849,1.369,0.0034,1.3716,3052.1122,135.6373,3183.4151,1913.3209,37.9421,1947.3715,1138.7913,97.9796,1236.0437,0.3727,0.0156,0.3883,16.6667,2.0817,19,9.8575,2.093,12.2628,63.3167,8.7733,71.5709,10,2.0,12,9,1.7321,11,1,1.0,2,2.6166,0.4316,3.1082,1.1216,0.6874,1.6076
greedy+ts,352,32.909,390,165.3333,6.3509,169,186.6667,30.2379,221,0.4718,0.0372,0.5075,14.7378,1.4393,16.399,12.9317,2.4915,15.6882,30.5618,1.5781,32.354,39.3213,2.1087,41.7105,0.0,0.0,0.0,9.6207,0.5519,10.0391,13.5704,0.3127,13.7557,23.4059,1.1759,24.7488,1.0967,0.0109,1.1074,1.3998,0.0104,1.4079,2975.9009,160.6405,3103.9637,1932.3232,59.6027,1973.7804,1043.5777,101.6679,1130.1833,0.3501,0.0156,0.3641,38,4.3589,41,5.4252,0.404,5.8766,25.4686,1.9595,27.5985,11.3333,9.2916,22,9.3333,8.3865,19,2,1.0,3,3.1445,0.7883,4.0273,0.6417,0.0335,0.6689
greedy+ga,352,32.909,390,165.3333,6.3509,169,186.6667,30.2379,221,0.4718,0.0372,0.5075,14.7373,1.4384,16.3975,12.9317,2.4915,15.6882,30.5618,1.5781,32.354,39.3213,2.1087,41.7105,0.0,0.0,0.0,9.6243,0.556,10.0499,13.5806,0.322,13.7862,23.5419,1.0457,24.7488,1.0974,0.011,1.1074,1.3998,0.0104,1.4079,2976.5598,160.9653,3103.9637,1933.5171,60.4394,1973.7804,1043.0426,101.472,1130.1833,0.3499,0.0156,0.3641,38,4.3589,41,23.2936,6.309,30.3606,165.7062,11.5906,178.9828,11.3333,9.2916,22,9.3333,8.3865,19,2,1.0,3,3.1445,0.7883,4.0273,0.6417,0.0335,0.6689
greedy+alns,352,32.909,390,167.3333,7.2342,172,184.6667,29.4845,218,0.4773,0.0362,0.5135,14.1398,1.4057,15.5421,12.2841,1.999,14.4077,30.5176,1.2558,31.8513,36.4896,1.5418,38.0387,0.0,0.0,0.0,9.6018,0.7912,10.0931,13.429,0.2646,13.6674,22.8488,1.4429,24.2102,1.0929,0.0061,1.0978,1.3923,0.009,1.4013,3049.4641,133.8063,3189.0712,1946.2804,57.8446,1984.9615,1103.1837,96.9291,1214.9739,0.3614,0.0177,0.381,27,7.9373,33,14.7082,4.0578,19.3032,85.8719,16.3431,104.5427,11.3333,3.5119,15,9.3333,3.5119,13,2,0.0,2,2.4356,0.4785,2.9855,1.2652,1.6601,3.1821
rl (rl_v3ant),352,32.909,390,159.6667,5.5076,165,192.3333,33.0807,230,0.4561,0.043,0.4955,16.5818,1.3144,18.0573,15.5606,1.9629,17.8189,31.6321,0.4315,32.0644,37.107,1.0279,38.2158,0.0,0.0,0.0,9.3601,0.2235,9.554,13.4416,0.2781,13.6706,22.9244,1.1428,23.7575,1.0936,0.0112,1.1037,1.3956,0.0342,1.4325,3219.8845,142.6566,3353.7467,1900.6338,55.2238,1947.6032,1319.2507,88.0855,1406.1434,0.4094,0.0093,0.4193,0,0.0,0,1.9273,0.1956,2.144,4.5996,1.032,5.4992,14.6667,5.6862,21,13.3333,3.5119,17,1.3333,2.3094,4,2.4236,0.8188,3.3583,1.1345,0.0,1.1345
rl+sa (rl_v3ant),352,32.909,390,164,7.8102,169,188,30.2655,222,0.4679,0.0384,0.5075,16.1472,1.4177,17.7841,15.2712,2.7501,18.3981,31.4498,0.5098,31.7879,36.116,1.9689,38.1332,0.2335,0.4045,0.7006,9.3047,0.7389,10.046,13.1618,0.102,13.2508,22.1596,0.9024,23.1396,1.0842,0.0122,1.0932,1.3779,0.0175,1.3971,3183.2004,177.6559,3374.2698,1920.1633,94.2057,2013.5508,1263.037,86.1608,1360.719,0.3966,0.0065,0.4033,32.6667,6.4291,40,14.7549,4.4402,19.8772,87.6407,30.3159,122.6447,15.3333,3.2146,19,13.6667,3.0551,17,1.6667,1.5275,3,2.3202,0.4271,2.8133,1.4473,1.5949,2.5751
rl+ts (rl_v3ant),352,32.909,390,164.6667,5.8595,169,187.3333,29.5014,221,0.4698,0.0343,0.5015,14.5691,1.5983,16.399,12.4942,2.7667,15.6882,30.5758,1.5626,32.354,39.3213,2.1087,41.7105,0.0,0.0,0.0,9.6213,0.551,10.0391,13.6203,0.2262,13.7557,23.5432,1.1111,24.7488,1.0992,0.0074,1.1074,1.3992,0.0114,1.4079,2964.9015,148.13,3070.9653,1932.8656,60.1733,1975.4077,1032.0358,87.9616,1095.5577,0.3477,0.0126,0.3567,84.6667,18.1475,104,7.3947,0.6168,7.9055,28.7231,2.857,31.9174,11.6667,8.9629,22,9.3333,8.3865,19,2.3333,0.5774,3,2.9902,0.5331,3.5647,0.5535,0.1853,0.6689
rl+ga (rl_v3ant),352,32.909,390,163,4.3589,166,189,31.4325,225,0.4653,0.0385,0.4985,14.6197,1.2761,16.0889,13.2998,2.4248,15.6882,30.3978,1.5213,32.0925,39.3213,2.1087,41.7105,0.0,0.0,0.0,9.6419,0.4883,9.9839,13.4584,0.4061,13.7366,22.2782,2.1524,24.7488,1.0926,0.0196,1.1039,1.3883,0.0421,1.4209,2954.4576,154.5382,3068.8322,1914.7113,45.2654,1943.1112,1039.7463,110.8461,1130.3204,0.3512,0.0197,0.3683,85.6667,13.6504,95,26.3402,4.1503,31.0519,167.087,3.2778,170.8715,10.6667,8.1445,20,9.3333,7.5056,18,1.3333,1.1547,2,3.1761,0.8181,4.0978,0.6298,0.0554,0.6689
rl+alns (rl_v3ant),352,32.909,390,166.6667,7.0946,173,185.3333,32.5167,222,0.4759,0.0444,0.5195,15.3541,1.5172,16.9637,13.9415,1.7668,15.6811,30.196,0.1786,30.3117,33.2139,0.4469,33.7171,0.0988,0.1711,0.2964,8.4573,0.3286,8.6611,13.3516,0.0703,13.3986,22.5096,1.0305,23.3101,1.0933,0.0022,1.0956,1.3719,0.0141,1.3848,3230.6863,111.2641,3348.976,1949.371,98.6946,2039.3034,1281.3153,29.9818,1309.6726,0.3968,0.012,0.4106,44.6667,8.5049,53,17.5647,3.1102,21.1544,97.0093,18.0531,117.6747,10.6667,2.5166,13,9.3333,1.1547,10,1.3333,1.5275,3,1.6812,0.8577,2.6713,0.6634,0.8411,1.2581
