policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
greedy,352,32.909,390,324,17.3205,344,28,15.5885,46,0.9226,0.0352,0.9429,10.9816,3.2448,14.3982,8.6357,2.4746,11.3428,25.5686,5.2546,30.0659,32.4946,1.1632,33.3118,0.0,0.0,0.0,8.0553,2.0144,10.0391,8.4147,0.6063,9.0161,17.0534,2.7358,19.6045,1.3234,0.0835,1.4168,2.0688,0.3429,2.4342,3373.5682,116.898,3458.5635,2062.8251,99.343,2176.7636,1310.7431,133.3795,1464.2207,0.3882,0.0312,0.4234,0,0.0,0,0.281,0.139,0.4284,0.7148,0.2976,0.992,7.3333,8.3865,17,7.3333,8.3865,17,0,0.0,0,1.2016,0.6239,1.8349,,,
greedy+sa,352,32.909,390,327.6667,22.8108,354,24.3333,10.116,36,0.9322,0.0213,0.9459,10.2754,3.1422,13.535,7.9377,2.4066,10.5901,24.932,5.9194,29.2348,31.9545,2.4084,33.9701,0.0,0.0,0.0,7.7242,2.0648,9.626,8.3583,0.6477,9.0292,17.2026,3.7142,21.3271,1.3072,0.0679,1.3825,2.0254,0.3133,2.3373,3289.3532,142.9518,3382.1898,2037.3448,109.7194,2162.1141,1252.0083,102.9363,1367.1266,0.3805,0.0237,0.4067,32,16.0935,50,72.7128,53.5567,125.1786,253.9218,147.67,353.855,4,4.0,8,4,4.0,8,0,0.0,0,1.4976,0.0966,1.5659,,,
greedy+ts,352,32.909,390,329,25.1197,358,23,7.8102,32,0.9356,0.0154,0.9459,8.3309,2.4656,11.1041,6.6734,1.4048,8.2796,20.8833,6.9538,28.5296,28.246,5.4661,33.6054,0.0,0.0,0.0,6.1331,2.1913,8.5158,8.2737,0.5047,8.8128,16.2347,2.3785,18.8101,1.3025,0.0666,1.3783,1.9531,0.3179,2.3154,3072.0085,168.8121,3201.1866,1993.8171,116.7588,2124.4519,1078.1914,97.5586,1176.4702,0.3508,0.0214,0.3754,116.6667,30.5341,148,34.1281,26.19,62.5361,139.5479,103.7474,246.7105,4,6.9282,12,3.6667,6.3509,11,0.3333,0.5774,1,1.3899,0.0,1.3899,0.9815,0.0,0.9815
greedy+ga,352,32.909,390,327.3333,22.2336,353,24.6667,10.6927,37,0.9313,0.0227,0.9459,7.9989,2.421,10.7543,6.5103,1.3208,8.0278,19.576,7.9693,28.5324,25.8111,6.2245,32.8595,0.0,0.0,0.0,5.7232,2.3685,8.3854,8.2823,0.3422,8.613,16.2576,1.7688,18.1689,1.3057,0.042,1.3531,1.8985,0.1887,2.1123,3055.8548,157.215,3181.9466,2001.1988,117.5588,2136.214,1054.6561,101.2222,1160.0446,0.345,0.0248,0.3735,118,23.8956,144,107.4498,106.1806,225.895,508.5741,421.8678,968.1841,2.6667,4.6188,8,2.6667,4.6188,8,0,0.0,0,1.4599,0.0,1.4599,,,
greedy+alns,352,32.909,390,333.3333,32.6241,371,18.6667,0.5774,19,0.9467,0.0042,0.9513,7.9662,2.0378,10.2971,6.568,1.239,7.9977,19.8927,6.9612,27.6752,29.7971,2.7445,31.4822,0.0,0.0,0.0,5.854,1.875,7.8874,8.2692,0.4975,8.7941,15.8739,1.8382,17.9355,1.3054,0.0617,1.3733,1.8957,0.2042,2.1203,3238.3272,187.7193,3367.2044,2029.3424,113.654,2159.8704,1208.9848,164.8051,1391.3333,0.3726,0.0352,0.4132,85.3333,48.8092,137,74.5256,64.6161,145.7809,276.6045,185.257,451.0057,3,3.0,6,2.6667,3.0551,6,0.3333,0.5774,1,0.9123,0.1955,1.0506,0.0524,0.0,0.0524
rl (rl_v4),352,32.909,390,320.6667,19.8578,343,31.3333,14.2945,47,0.9128,0.0318,0.9429,12.9615,2.1998,15.2987,10.1887,2.5215,13.051,29.8323,0.3931,30.1921,33.547,0.8823,34.4857,0.0,0.0,0.0,9.2118,0.7768,9.9237,8.955,0.4796,9.3388,19.5685,2.3948,21.7095,1.3939,0.0683,1.4625,2.3241,0.2232,2.5164,3591.0767,172.4031,3738.9566,2073.6939,105.7463,2178.38,1517.3829,126.6294,1663.1734,0.4223,0.0223,0.4448,0,0.0,0,2.7033,0.1841,2.9134,3.559,0.5097,4.1394,14.3333,3.5119,18,14.3333,3.5119,18,0,0.0,0,1.2677,0.3231,1.6293,,,
rl+sa (rl_v4),352,32.909,390,323.6667,24.7857,352,28.3333,9.0738,38,0.9205,0.0187,0.9399,11.64,2.6772,14.1101,9.6203,2.3316,11.9712,27.0742,4.0215,29.7944,32.0849,1.0577,32.8601,0.0,0.0,0.0,8.0605,1.5861,9.2372,8.5005,0.5769,8.9126,17.5276,2.6517,19.3756,1.3331,0.059,1.3708,2.108,0.2648,2.2951,3462.8306,95.4095,3555.6762,2052.1772,82.5978,2146.5841,1410.6534,132.155,1562.4457,0.407,0.0297,0.4394,104.6667,9.5044,114,82.3719,46.7231,127.3476,274.6053,107.0175,356.9934,8.3333,5.6862,13,8.3333,5.6862,13,0,0.0,0,0.9689,0.334,1.3539,,,
rl+ts (rl_v4),352,32.909,390,329.3333,26.5769,360,22.6667,6.4291,30,0.9363,0.0119,0.9459,7.9301,2.0994,10.2642,6.1832,0.9871,7.3035,19.7874,6.0032,26.3889,30.4367,0.2637,30.7205,0.0,0.0,0.0,5.974,1.9724,8.1663,8.1793,0.2789,8.4413,15.2064,1.1221,16.1557,1.2942,0.0367,1.3363,1.874,0.1234,2.0137,3042.0058,153.6828,3160.2431,1975.8651,102.8252,2091.6647,1066.1407,91.9126,1156.8103,0.3503,0.0201,0.3735,225.6667,25.3837,254,36.7239,23.2548,61.7052,131.3392,80.7666,217.8626,3,2.6458,6,3,2.6458,6,0,0.0,0,0.2948,0.1355,0.4499,,,
rl+ga (rl_v4),352,32.909,390,330.6667,28.8675,364,21.3333,4.0415,26,0.9397,0.0055,0.9429,8.6644,2.6418,11.4757,6.6147,1.6353,8.4224,22.3393,6.8497,28.1338,28.3412,7.0929,33.8601,0.0,0.0,0.0,6.5388,2.1714,8.6375,8.3037,0.3848,8.6582,15.4943,1.2883,16.4353,1.3129,0.0518,1.3704,1.9354,0.1842,2.1161,3071.6638,152.3927,3219.5518,2016.9204,127.5916,2162.2979,1054.7434,61.9198,1115.3698,0.3435,0.0171,0.3621,238.6667,21.9621,264,150.9697,129.1105,289.6656,586.9911,418.4688,1007.3052,3.6667,5.5076,10,3.6667,5.5076,10,0,0.0,0,0.9792,0.2215,1.1358,,,
rl+alns (rl_v4),352,32.909,390,330.3333,28.2902,363,21.6667,4.6188,27,0.9389,0.007,0.9429,9.0814,1.915,11.2608,7.8518,0.6499,8.5971,20.5354,7.1006,28.267,29.5475,3.1849,33.2167,0.0,0.0,0.0,5.8218,2.0634,8.0969,8.3453,0.5252,8.9331,16.2758,2.4915,19.0197,1.3102,0.0669,1.3873,1.9672,0.2202,2.215,3480.5818,147.1804,3624.5273,2047.8479,123.8822,2187.2795,1432.7339,166.002,1618.7199,0.4112,0.037,0.4466,131.6667,35.5012,171,81.8898,60.3603,147.2173,296.4384,161.7459,435.8318,1.3333,2.3094,4,1.3333,2.3094,4,0,0.0,0,1.2156,0.0,1.2156,,,
