tag,step,value,wall_time
time/fps,8192,710.0,1774353350.8898344
time/fps,16384,564.0,1774353368.359324
time/fps,24576,534.0,1774353385.3096514
time/fps,32768,514.0,1774353403.058666
time/fps,40960,506.0,1774353420.2577367
time/fps,49152,501.0,1774353437.3622518
time/fps,57344,475.0,1774353460.0426857
time/fps,65536,476.0,1774353476.7537532
time/fps,73728,478.0,1774353493.4197755
time/fps,81920,475.0,1774353511.4751146
time/fps,90112,474.0,1774353529.2220032
time/fps,98304,474.0,1774353546.6558685
time/fps,106496,463.0,1774353568.95874
time/fps,114688,462.0,1774353587.2460492
time/fps,122880,461.0,1774353605.5690227
time/fps,131072,462.0,1774353622.7072709
time/fps,139264,463.0,1774353640.0574045
time/fps,147456,463.0,1774353657.5135243
time/fps,155648,455.0,1774353681.072235
time/fps,163840,456.0,1774353697.9421644
time/fps,172032,458.0,1774353714.4483163
time/fps,180224,460.0,1774353730.541663
time/fps,188416,462.0,1774353746.9328249
time/fps,196608,463.0,1774353763.2913303
time/fps,204800,459.0,1774353784.7888284
time/fps,212992,461.0,1774353801.3361173
time/fps,221184,462.0,1774353817.47338
time/fps,229376,463.0,1774353833.9668155
time/fps,237568,464.0,1774353850.4923012
time/fps,245760,466.0,1774353866.5153837
time/fps,253952,463.0,1774353887.7846847
time/fps,262144,464.0,1774353904.0726924
time/fps,270336,465.0,1774353920.7244911
time/fps,278528,466.0,1774353937.0410533
time/fps,286720,466.0,1774353953.6188366
time/fps,294912,467.0,1774353969.702058
time/fps,303104,464.0,1774353991.3017485
time/fps,311296,465.0,1774354007.535317
time/fps,319488,466.0,1774354024.190373
time/fps,327680,467.0,1774354040.9471943
time/fps,335872,467.0,1774354057.3816442
time/fps,344064,468.0,1774354074.0557716
time/fps,352256,465.0,1774354095.4847143
time/fps,360448,466.0,1774354111.573538
time/fps,368640,467.0,1774354127.6383255
time/fps,376832,468.0,1774354144.2299476
time/fps,385024,468.0,1774354161.2565866
time/fps,393216,468.0,1774354177.9676383
time/fps,401408,466.0,1774354199.9733183
