tag,step,value,wall_time
time/fps,6144,1058.0,1775507185.196586
time/fps,12288,869.0,1775507193.5203946
time/fps,18432,801.0,1775507202.375924
time/fps,24576,779.0,1775507210.9058368
time/fps,30720,768.0,1775507219.351696
time/fps,36864,764.0,1775507227.5969508
time/fps,43008,756.0,1775507236.2072275
time/fps,49152,745.0,1775507245.3139977
time/fps,55296,493.0,1775507291.4448538
time/fps,61440,504.0,1775507301.2359848
time/fps,67584,513.0,1775507310.9434211
time/fps,73728,521.0,1775507320.716618
time/fps,79872,529.0,1775507330.3293698
time/fps,86016,535.0,1775507339.9704762
time/fps,92160,541.0,1775507349.5598395
time/fps,98304,546.0,1775507359.1706357
time/fps,104448,450.0,1775507411.4225461
time/fps,110592,459.0,1775507420.1951244
time/fps,116736,467.0,1775507428.867819
time/fps,122880,475.0,1775507437.6971061
time/fps,129024,483.0,1775507446.2660027
time/fps,135168,490.0,1775507454.7085483
time/fps,141312,497.0,1775507463.3123307
time/fps,147456,504.0,1775507471.5237546
time/fps,153600,454.0,1775507517.560155
time/fps,159744,460.0,1775507526.1891453
time/fps,165888,466.0,1775507534.8569434
time/fps,172032,472.0,1775507543.5088463
time/fps,178176,477.0,1775507552.1851797
time/fps,184320,483.0,1775507560.834038
time/fps,190464,488.0,1775507569.3992991
time/fps,196608,493.0,1775507577.87475
time/fps,202752,457.0,1775507622.6259065
time/fps,208896,462.0,1775507631.2115426
time/fps,215040,466.0,1775507639.8889441
time/fps,221184,471.0,1775507648.5129547
time/fps,227328,475.0,1775507657.3366337
time/fps,233472,479.0,1775507666.4004118
time/fps,239616,483.0,1775507675.0983078
time/fps,245760,487.0,1775507683.8397057
time/fps,251904,459.0,1775507727.8003402
time/fps,258048,463.0,1775507736.1536329
time/fps,264192,467.0,1775507744.7676969
time/fps,270336,471.0,1775507753.2657218
time/fps,276480,474.0,1775507761.8430967
time/fps,282624,478.0,1775507770.489966
time/fps,288768,481.0,1775507779.272051
time/fps,294912,484.0,1775507787.8819249
time/fps,301056,460.0,1775507832.7806568
time/fps,307200,464.0,1775507841.3309283
time/fps,313344,467.0,1775507850.0390813
time/fps,319488,470.0,1775507858.7441847
time/fps,325632,473.0,1775507867.4862633
time/fps,331776,476.0,1775507876.1974003
time/fps,337920,479.0,1775507884.42143
time/fps,344064,482.0,1775507893.1571398
time/fps,350208,466.0,1775507930.5005093
time/fps,356352,469.0,1775507938.8839421
time/fps,362496,472.0,1775507947.2640226
time/fps,368640,474.0,1775507955.787084
time/fps,374784,477.0,1775507964.4129078
time/fps,380928,480.0,1775507972.9633808
time/fps,387072,482.0,1775507981.6986299
time/fps,393216,484.0,1775507990.316202
time/fps,399360,487.0,1775507998.8658302
time/fps,405504,469.0,1775508042.8049777
time/fps,411648,472.0,1775508051.360168
time/fps,417792,474.0,1775508060.1603844
time/fps,423936,476.0,1775508068.7201724
time/fps,430080,478.0,1775508077.5070324
time/fps,436224,481.0,1775508086.0231886
time/fps,442368,483.0,1775508094.9119682
time/fps,448512,485.0,1775508103.6167781
time/fps,454656,469.0,1775508146.8544164
time/fps,460800,472.0,1775508155.5748234
time/fps,466944,474.0,1775508164.2853017
time/fps,473088,476.0,1775508172.8950853
time/fps,479232,478.0,1775508181.4543161
