tag,step,value,wall_time
time/fps,6144,791.0,1775339524.1513786
time/fps,12288,711.0,1775339533.6635664
time/fps,18432,723.0,1775339541.876103
time/fps,24576,729.0,1775339550.0844765
time/fps,30720,734.0,1775339558.2216349
time/fps,36864,738.0,1775339566.3160026
time/fps,43008,739.0,1775339574.5213313
time/fps,49152,740.0,1775339582.718404
time/fps,55296,506.0,1775339625.532925
time/fps,61440,521.0,1775339634.153888
time/fps,67584,534.0,1775339642.9297493
time/fps,73728,543.0,1775339652.017048
time/fps,79872,550.0,1775339661.4695902
time/fps,86016,563.0,1775339669.0574303
time/fps,92160,574.0,1775339676.7397223
time/fps,98304,582.0,1775339685.0034645
time/fps,104448,502.0,1775339724.4084716
time/fps,110592,512.0,1775339732.2899241
time/fps,116736,521.0,1775339740.2050033
time/fps,122880,530.0,1775339748.1544454
time/fps,129024,538.0,1775339756.1254203
time/fps,135168,545.0,1775339764.260929
time/fps,141312,552.0,1775339772.1689808
time/fps,147456,559.0,1775339780.1187162
time/fps,153600,501.0,1775339822.5931342
time/fps,159744,507.0,1775339831.4142144
time/fps,165888,512.0,1775339840.0908005
time/fps,172032,518.0,1775339848.1541514
time/fps,178176,524.0,1775339856.381523
time/fps,184320,529.0,1775339864.302029
time/fps,190464,535.0,1775339872.3641083
time/fps,196608,540.0,1775339880.444365
time/fps,202752,501.0,1775339920.4998257
time/fps,208896,506.0,1775339928.7610717
time/fps,215040,511.0,1775339937.1547673
time/fps,221184,515.0,1775339945.560129
time/fps,227328,519.0,1775339953.6886861
time/fps,233472,524.0,1775339961.76929
time/fps,239616,528.0,1775339970.145451
time/fps,245760,531.0,1775339978.4766443
time/fps,251904,500.0,1775340019.402198
time/fps,258048,504.0,1775340027.9702587
time/fps,264192,507.0,1775340036.6710587
time/fps,270336,511.0,1775340044.9749799
time/fps,276480,515.0,1775340052.964819
time/fps,282624,518.0,1775340061.132885
time/fps,288768,522.0,1775340069.4598265
time/fps,294912,525.0,1775340077.867233
time/fps,301056,499.0,1775340118.6438813
time/fps,307200,502.0,1775340127.8472972
time/fps,313344,504.0,1775340137.789151
time/fps,319488,507.0,1775340146.2576206
time/fps,325632,509.0,1775340154.9598954
time/fps,331776,512.0,1775340163.758425
time/fps,337920,515.0,1775340172.429636
time/fps,344064,517.0,1775340181.0083525
time/fps,350208,494.0,1775340224.566793
time/fps,356352,497.0,1775340233.0446036
time/fps,362496,499.0,1775340241.4502335
time/fps,368640,502.0,1775340250.0754316
time/fps,374784,504.0,1775340258.8109255
time/fps,380928,507.0,1775340267.421823
time/fps,387072,509.0,1775340275.9750588
time/fps,393216,511.0,1775340285.1459937
time/fps,399360,513.0,1775340293.5930166
time/fps,405504,496.0,1775340333.69135
time/fps,411648,498.0,1775340342.785389
time/fps,417792,500.0,1775340351.3973255
time/fps,423936,502.0,1775340360.342275
time/fps,430080,504.0,1775340369.35727
time/fps,436224,506.0,1775340378.213039
time/fps,442368,507.0,1775340387.6746864
time/fps,448512,509.0,1775340396.9159276
time/fps,454656,493.0,1775340437.1864376
time/fps,460800,495.0,1775340447.2361321
time/fps,466944,496.0,1775340456.9372916
time/fps,473088,498.0,1775340465.6611507
time/fps,479232,500.0,1775340474.295395
time/fps,485376,502.0,1775340483.0221078
time/fps,491520,503.0,1775340491.6693146
time/fps,497664,505.0,1775340500.4661007
time/fps,503808,490.0,1775340542.500727
time/fps,509952,492.0,1775340551.0388222
time/fps,516096,494.0,1775340559.5500073
time/fps,522240,496.0,1775340568.0363407
time/fps,528384,498.0,1775340576.23036
time/fps,534528,500.0,1775340584.6819062
time/fps,540672,502.0,1775340592.7101698
time/fps,546816,504.0,1775340600.949742
time/fps,552960,490.0,1775340643.1135654
time/fps,559104,492.0,1775340651.4444628
time/fps,565248,494.0,1775340659.7838314
time/fps,571392,496.0,1775340668.2635813
time/fps,577536,497.0,1775340676.7834094
time/fps,583680,499.0,1775340684.999463
time/fps,589824,501.0,1775340693.4913318
time/fps,595968,502.0,1775340701.7493546
time/fps,602112,490.0,1775340745.1070402
time/fps,608256,491.0,1775340753.2940686
time/fps,614400,493.0,1775340761.6779797
time/fps,620544,494.0,1775340770.2126942
time/fps,626688,496.0,1775340779.0251598
time/fps,632832,497.0,1775340787.8697834
time/fps,638976,498.0,1775340797.3190036
time/fps,645120,499.0,1775340807.1996868
time/fps,651264,489.0,1775340846.6830065
time/fps,657408,490.0,1775340855.343463
time/fps,663552,492.0,1775340864.3939304
time/fps,669696,493.0,1775340873.2597106
time/fps,675840,494.0,1775340882.5820293
time/fps,681984,495.0,1775340891.6605685
time/fps,688128,497.0,1775340899.9243352
time/fps,694272,498.0,1775340908.388558
time/fps,700416,488.0,1775340950.6302063
time/fps,706560,489.0,1775340959.2443671
time/fps,712704,490.0,1775340967.9310799
time/fps,718848,492.0,1775340976.6448028
time/fps,724992,493.0,1775340985.4778922
time/fps,731136,494.0,1775340994.0195682
time/fps,737280,496.0,1775341002.44936
time/fps,743424,497.0,1775341010.8285146
time/fps,749568,498.0,1775341019.7492287
time/fps,755712,489.0,1775341061.0004976
time/fps,761856,490.0,1775341069.5484402
time/fps,768000,491.0,1775341078.2736735
time/fps,774144,492.0,1775341087.1165416
time/fps,780288,494.0,1775341095.5832438
time/fps,786432,495.0,1775341104.207636
time/fps,792576,496.0,1775341113.0624683
time/fps,798720,497.0,1775341121.737499
time/fps,804864,487.0,1775341167.1517906
time/fps,811008,488.0,1775341175.6659753
time/fps,817152,489.0,1775341184.0472136
time/fps,823296,491.0,1775341192.3767085
time/fps,829440,492.0,1775341200.5274103
time/fps,835584,493.0,1775341208.9517183
time/fps,841728,494.0,1775341217.5112004
time/fps,847872,495.0,1775341226.9419
time/fps,854016,486.0,1775341270.5727215
time/fps,860160,488.0,1775341278.9398062
time/fps,866304,489.0,1775341287.7488801
time/fps,872448,490.0,1775341296.396306
time/fps,878592,491.0,1775341304.9449627
time/fps,884736,491.0,1775341314.7904184
time/fps,890880,492.0,1775341325.6642275
time/fps,897024,493.0,1775341334.3383937
time/fps,903168,485.0,1775341375.9853828
time/fps,909312,486.0,1775341385.3692634
time/fps,915456,487.0,1775341395.9593034
time/fps,921600,487.0,1775341405.50258
time/fps,927744,488.0,1775341414.837608
time/fps,933888,489.0,1775341423.7602327
time/fps,940032,490.0,1775341432.8467553
time/fps,946176,491.0,1775341442.1728523
time/fps,952320,484.0,1775341482.3040621
time/fps,958464,485.0,1775341491.2228239
time/fps,964608,486.0,1775341500.1880033
time/fps,970752,487.0,1775341509.1449602
time/fps,976896,488.0,1775341517.9917698
time/fps,983040,488.0,1775341526.906582
time/fps,989184,489.0,1775341535.711334
time/fps,995328,490.0,1775341544.5180116
time/fps,1001472,484.0,1775341583.8763208
train/approx_kl,12288,0.016110332682728767,1775339533.6636055
train/approx_kl,18432,0.009793971665203571,1775339541.8761425
train/approx_kl,24576,0.006677659694105387,1775339550.0845213
train/approx_kl,30720,0.006375486496835947,1775339558.2216752
train/approx_kl,36864,0.006073629949241877,1775339566.3160422
train/approx_kl,43008,0.007063961122184992,1775339574.52137
train/approx_kl,49152,0.006117925047874451,1775339582.7184417
train/approx_kl,49998,0.006604281719774008,1775339619.6230347
train/approx_kl,61440,0.006675224285572767,1775339634.1539254
train/approx_kl,67584,0.007291421294212341,1775339642.929786
train/approx_kl,73728,0.00618565222248435,1775339652.0170903
train/approx_kl,79872,0.006047263275831938,1775339661.469627
train/approx_kl,86016,0.006018195301294327,1775339669.0574665
train/approx_kl,92160,0.005596484523266554,1775339676.7397592
train/approx_kl,98304,0.0066791498102247715,1775339685.0035055
train/approx_kl,99996,0.00722671439871192,1775339720.090443
train/approx_kl,110592,0.005833338480442762,1775339732.2899618
train/approx_kl,116736,0.006644324865192175,1775339740.205041
train/approx_kl,122880,0.006148315966129303,1775339748.1544824
train/approx_kl,129024,0.00611700676381588,1775339756.1254575
train/approx_kl,135168,0.007501911371946335,1775339764.2609656
train/approx_kl,141312,0.004813164006918669,1775339772.1690168
train/approx_kl,147456,0.005477430764585733,1775339780.1187546
train/approx_kl,149994,0.005964071024209261,1775339817.9400916
train/approx_kl,159744,0.006254711654037237,1775339831.4142616
train/approx_kl,165888,0.006277829874306917,1775339840.0908375
train/approx_kl,172032,0.006499612238258123,1775339848.1541898
train/approx_kl,178176,0.005579061806201935,1775339856.3815653
train/approx_kl,184320,0.005821179132908583,1775339864.3020663
train/approx_kl,190464,0.005782911088317633,1775339872.3641524
train/approx_kl,196608,0.006669531110674143,1775339880.4444048
train/approx_kl,199992,0.006998477037996054,1775339917.6409364
train/approx_kl,208896,0.005785284098237753,1775339928.7611105
train/approx_kl,215040,0.005663931369781494,1775339937.154806
train/approx_kl,221184,0.0058855884708464146,1775339945.5601664
train/approx_kl,227328,0.005652915686368942,1775339953.688724
train/approx_kl,233472,0.006347560789436102,1775339961.7693274
train/approx_kl,239616,0.005051036830991507,1775339970.1454887
train/approx_kl,245760,0.006795293185859919,1775339978.4766808
train/approx_kl,249990,0.004266838077455759,1775340017.2028835
train/approx_kl,258048,0.006795621011406183,1775340027.9702957
train/approx_kl,264192,0.005476506892591715,1775340036.6710975
train/approx_kl,270336,0.0048904758878052235,1775340044.9750197
train/approx_kl,276480,0.005378890782594681,1775340052.9648535
train/approx_kl,282624,0.006145445164293051,1775340061.132923
train/approx_kl,288768,0.007218442857265472,1775340069.4598625
train/approx_kl,294912,0.005155122373253107,1775340077.8672726
train/approx_kl,299988,0.005578582640737295,1775340117.4538395
train/approx_kl,307200,0.0047515504993498325,1775340127.8473442
train/approx_kl,313344,0.004669074434787035,1775340137.789189
train/approx_kl,319488,0.00370636279694736,1775340146.25766
train/approx_kl,325632,0.004478141199797392,1775340154.9599347
train/approx_kl,331776,0.00502394512295723,1775340163.758464
train/approx_kl,337920,0.004842179361730814,1775340172.4296734
train/approx_kl,344064,0.004748539067804813,1775340181.0083897
train/approx_kl,349986,0.005189580377191305,1775340224.3111808
train/approx_kl,356352,0.0057806833647191525,1775340233.044652
train/approx_kl,362496,0.005414188373833895,1775340241.4502711
train/approx_kl,368640,0.004383588209748268,1775340250.075471
train/approx_kl,374784,0.005495102610439062,1775340258.8109624
train/approx_kl,380928,0.0050540524534881115,1775340267.4218607
train/approx_kl,387072,0.0038115677889436483,1775340275.9750955
train/approx_kl,393216,0.004883691668510437,1775340285.1460419
train/approx_kl,399360,0.0044554113410413265,1775340293.5930536
train/approx_kl,399984,0.004414575174450874,1775340327.6387007
train/approx_kl,411648,0.0035661186557263136,1775340342.785426
train/approx_kl,417792,0.005067715886980295,1775340351.397362
train/approx_kl,423936,0.004744400270283222,1775340360.342312
train/approx_kl,430080,0.0033373006153851748,1775340369.3573112
train/approx_kl,436224,0.0043007684871554375,1775340378.2130795
train/approx_kl,442368,0.004831885918974876,1775340387.6747234
train/approx_kl,448512,0.0049574729055166245,1775340396.9159644
train/approx_kl,449982,0.004192118998616934,1775340431.9876406
train/approx_kl,460800,0.00388188729993999,1775340447.236173
train/approx_kl,466944,0.003770501120015979,1775340456.9373262
train/approx_kl,473088,0.003736647544428706,1775340465.661194
train/approx_kl,479232,0.00561310350894928,1775340474.2954347
train/approx_kl,485376,0.005319325719028711,1775340483.0221472
train/approx_kl,491520,0.004967198241502047,1775340491.6693516
train/approx_kl,497664,0.004628146067261696,1775340500.4661412
train/approx_kl,499980,0.005236759316176176,1775340538.6663811
train/approx_kl,509952,0.00405161501839757,1775340551.0388613
train/approx_kl,516096,0.005468316841870546,1775340559.550049
train/approx_kl,522240,0.0030752059537917376,1775340568.0363777
train/approx_kl,528384,0.004652959294617176,1775340576.2303946
train/approx_kl,534528,0.004246800672262907,1775340584.6819446
train/approx_kl,540672,0.004078527446836233,1775340592.71021
