trial,score,service_rate,mean_wait_all,mean_wait_served,p95_wait,mean_ride,p95_ride,mean_detour,rejected,rejection_rate,train_time_s,w_wait,w_ride,w_rejection,lr_start,lr_schedule,gamma,ent_coef
24,26.13,0.8946,20.43,10.39,28.08,8.59,16.11,1.262,36.1,0.0902,391.5,2.418246028939973,1.2060255294907303,8.463588452290944,0.00015366411401506513,linear,0.9946778473330677,0.026585257597083106
18,26.267,0.8921,20.56,10.28,28.18,8.6,16.31,1.263,36.9,0.0922,394.9,1.6727507924318439,0.603889296790791,8.012949436173818,0.00015138226590379576,linear,0.9953816480518429,0.036734354758482135
21,26.321,0.894,20.6,10.51,28.18,8.63,16.74,1.266,36.3,0.0907,389.4,2.464156330059131,1.2516062771672174,8.513086211986414,0.00017098900844139523,linear,0.9955570445936796,0.026248702864070876
10,26.428,0.8925,20.7,10.46,28.17,8.64,16.43,1.267,36.8,0.092,390.2,1.9767354155536432,1.2364558178579705,8.021814093454662,0.00019460571491821985,linear,0.9949153452476353,0.02640879371636396
27,26.504,0.8885,20.81,10.14,28.01,8.6,16.27,1.263,38.2,0.0955,391.8,2.447469535244195,1.3062773236441905,8.484509064409078,0.00017456283603956756,linear,0.9959984242586373,0.03452266051387687
4,26.514,0.8895,20.8,10.23,28.2,8.61,16.49,1.264,37.9,0.0948,390.3,1.8233826821642323,0.7304534265490852,9.567286511282456,0.0003067464776656659,constant,0.9953142114186895,0.03393128756340068
8,26.526,0.8904,20.83,10.38,28.19,8.58,16.01,1.261,37.5,0.0938,389.3,2.615828722999154,1.027028257527707,8.868917181978244,0.00012962869680563718,linear,0.9921342352290949,0.03234949118273197
11,26.54,0.8935,20.81,10.68,28.17,8.64,16.56,1.27,36.5,0.0912,395.3,1.5654071287877247,1.2286900215418077,8.009273370976784,0.0001983820653629484,linear,0.9958624298892532,0.01797580388081251
5,26.557,0.889,20.82,10.22,28.1,8.66,16.7,1.268,38.0,0.095,394.4,1.7354365729836172,0.7201354529142711,8.871358742287917,0.00017059142213436728,constant,0.994119558112231,0.021265712464605444
2,26.594,0.891,20.87,10.5,28.12,8.63,16.34,1.267,37.3,0.0932,408.3,2.36,0.87,9.59,0.00034,linear,0.993,0.042
22,26.619,0.8905,20.89,10.45,27.96,8.67,16.71,1.271,37.5,0.0938,391.6,2.5209206442602183,1.2528624232366634,8.533094138621422,0.00017192164059559478,linear,0.9954451867555517,0.027711324032378516
3,26.63,0.8818,20.97,9.6,27.95,8.53,16.02,1.257,40.5,0.1013,410.7,2.34,1.09,8.37,0.00035,linear,0.995,0.01
20,26.633,0.8928,20.9,10.71,28.16,8.66,16.62,1.271,36.7,0.0918,395.4,1.6733195373411787,1.396034145793102,8.261058067007184,0.00010641418291894838,linear,0.994541296992382,0.038264176163013544
19,26.647,0.8905,20.94,10.52,28.17,8.59,16.28,1.262,37.5,0.0938,392.6,1.5311210124266112,0.6118339905360092,8.037189999772488,0.00014285295146181163,linear,0.9934495662360014,0.048400005732957045
17,26.685,0.8861,20.97,10.07,28.11,8.63,16.57,1.266,39.0,0.0975,396.9,2.077828419385092,0.7570362553925556,8.674782386117537,0.00019727252878835595,constant,0.9937223385864892,0.014146178929191087
6,26.687,0.888,20.95,10.25,28.08,8.66,16.51,1.269,38.4,0.096,394.7,2.240998891965754,1.116560811843883,9.4466812881727,0.0002569239745670485,constant,0.9914564063732062,0.01013257815868553
15,26.702,0.8816,21.01,9.65,28.06,8.57,16.0,1.26,40.5,0.1013,388.9,1.8166715523638086,1.2001455224529634,9.195323839470682,0.00020987309391792266,constant,0.9939175657831424,0.02489986273312169
7,26.821,0.8757,21.22,9.23,27.74,8.44,15.58,1.244,42.5,0.1062,389.6,1.9680890470247352,0.7168333962449328,9.085446114062687,0.0003281162113843261,constant,0.991281561363892,0.04788578503383958
23,26.822,0.8911,21.06,10.7,28.22,8.71,16.79,1.274,37.3,0.0932,387.1,2.7792138475979877,1.1156056943257446,8.200432603527204,0.00012221757311838672,linear,0.995654388206449,0.02156099097942276
16,27.092,0.8831,21.39,10.22,28.21,8.58,16.28,1.26,40.0,0.1,385.9,2.6062177240422173,0.9551248810801333,9.644225567338573,0.00028445343426322406,linear,0.995219370766593,0.024368771755710936
29,27.148,0.8897,21.37,10.92,28.35,8.73,16.84,1.274,37.7,0.0943,393.7,2.3073519146746713,1.2869396270374893,8.682818474987046,0.00021376937959810392,linear,0.9942620712157534,0.02025926777814974
26,27.246,0.8887,21.46,10.9,28.36,8.73,16.84,1.274,38.1,0.0953,389.9,2.662627550032474,1.043200296399213,8.81673386781369,0.00015081745152851318,linear,0.9954867132542021,0.04015494959234247
9,27.322,0.8773,21.67,9.9,28.04,8.51,16.13,1.253,42.0,0.105,386.4,2.2240847032485194,1.3539119624981186,8.30709126604329,0.00034640294268362083,linear,0.9902557777666264,0.028622027439938184
28,27.338,0.8909,21.56,11.26,28.35,8.72,17.19,1.277,37.3,0.0932,399.5,2.2150990307808205,1.16103231830485,8.205218562355212,0.00012322509404521373,linear,0.99329145866318,0.028978969344293733
25,27.413,0.8859,21.68,10.84,28.23,8.63,16.64,1.265,39.1,0.0978,392.0,2.446037449974522,1.1641745587448682,8.400914337160117,0.00014027958279490705,linear,0.9945021279485702,0.018544922632222516
