trial,score,rl_ts_service_rate,rl_ts_mean_wait,rl_ts_p95_wait,rl_ts_mean_ride,rl_ts_rejected,rl_ts_improvements,vs_greedy_ts_wait,vs_greedy_ts_svc,standalone_service_rate,standalone_mean_wait,w_rejection,w_imbalance,w_slack,lr_start,gamma,ent_coef,train_time_s
18,7.896,0.807,4.37,13.92,8.08,35.3,136.7,-3.04,-0.085,0.8535,10.9304,3.2159660605797074,0.2215522664992126,0.4269072871582166,0.00029991966107328303,0.9936702524377359,0.020984665675820906,376.6
12,7.97,0.8099,4.44,14.7,8.18,35.3,132.8,-2.97,-0.0821,0.8522,10.612,4.260327954892305,0.9888672893809966,0.5224683690943462,0.00026558695848882363,0.9915184213379292,0.019359352577030683,381.6
20,7.972,0.8174,4.44,14.58,8.16,35.3,128.8,-2.97,-0.0746,0.8562,10.4612,3.5871455300782045,0.2091639451200407,0.43500710006513127,0.00025836316471280764,0.9925123587757569,0.02074869045157303,381.6
23,7.996,0.8125,4.46,14.31,8.08,35.4,129.7,-2.95,-0.0795,0.8518,10.7936,3.021062164510706,0.18088493474433714,0.31646612961904697,0.00022122908954379797,0.9935224110829692,0.021678358276501324,378.0
4,8.05,0.8084,4.52,14.83,8.11,35.3,133.8,-2.89,-0.0836,0.8504,10.7811,4.6166741077752675,0.30722239925580896,0.8144009827950058,0.00019857469379465893,0.9958524628015034,0.03391864341892165,383.3
24,8.067,0.8089,4.54,14.94,8.14,35.3,133.9,-2.87,-0.0831,0.8489,10.632,3.6434451775941845,0.22403021246498855,0.4585050971396033,0.000298719543610197,0.9925321772383314,0.02743614941677054,377.9
14,8.118,0.8101,4.59,14.78,8.16,35.3,137.0,-2.82,-0.0819,0.8564,10.7424,5.301739967003342,0.6183861694142623,0.7214921397309302,0.00029497923064618163,0.9959839458913964,0.010366825337401107,381.6
22,8.143,0.8114,4.61,14.79,8.14,35.3,134.1,-2.8,-0.0806,0.8536,10.7372,3.3996878109728077,0.2033239727323395,0.40521958448524326,0.0002656235940716102,0.992690276001748,0.020423423030297663,374.4
2,8.175,0.8075,4.64,15.48,8.18,35.3,139.2,-2.77,-0.0845,0.8462,10.5924,4.0,0.8,0.5,0.00025,0.992,0.025,393.9
25,8.185,0.8174,4.66,14.92,8.17,35.3,138.5,-2.75,-0.0746,0.8562,10.671,4.115214084256406,0.3953743305715305,0.31824465711887073,0.000252047908103396,0.9916236699941481,0.019241273791150898,384.2
15,8.19,0.8109,4.66,14.4,8.14,35.3,144.8,-2.75,-0.0811,0.8545,11.0494,7.779173982723719,0.7332595874460119,0.3913999780471222,0.00022600425802743002,0.9934933779839894,0.017017103591204147,390.2
9,8.194,0.8161,4.66,14.56,8.12,35.3,131.5,-2.75,-0.0759,0.8514,11.062,5.843491508283507,0.6690986218320132,0.9485315092379898,0.00010185080596551883,0.9959117777010026,0.047660587271397145,382.4
10,8.247,0.8174,4.72,14.68,8.13,35.3,137.7,-2.69,-0.0746,0.8517,10.9438,3.6262415251054145,0.12224577837161713,0.9130168267693043,0.00013986885310806167,0.9944775462097342,0.03534356093406237,373.0
21,8.296,0.8165,4.77,15.51,8.21,35.3,135.0,-2.64,-0.0755,0.8533,10.3449,4.010719186072033,0.8386252853521161,0.624530620633409,0.00027479384802376445,0.9911986258001958,0.016659370243033232,382.5
11,8.348,0.8133,4.82,15.02,8.13,35.3,138.1,-2.59,-0.0787,0.8549,10.8542,5.793623231333704,0.2984056971002453,0.7147162794405166,0.00011366088455594297,0.9942696287755394,0.031460860024879425,391.1
8,8.369,0.8172,4.84,15.2,8.16,35.3,142.1,-2.57,-0.0748,0.8561,11.0554,6.934245832737954,0.8617958924408035,0.550429336446584,0.00027195400500846064,0.9929596998465098,0.03939378690592075,381.0
17,8.424,0.8103,4.87,15.65,8.22,35.5,139.3,-2.54,-0.0817,0.8542,10.6651,4.354962163639375,0.4156435048198587,0.631061861178684,0.0001550917433190119,0.9919691606766774,0.04988344113148493,383.0
16,8.468,0.8161,4.94,16.04,8.15,35.3,139.1,-2.47,-0.0759,0.8507,10.742,3.7372325497541414,0.9392255149652959,0.8327552137823704,0.00022768428905835925,0.9912434163917456,0.030277624389073693,382.9
1,8.518,0.8169,4.99,15.88,8.22,35.3,143.5,-2.42,-0.0751,0.8542,10.6891,5.0,0.5,0.3,0.0002,0.993,0.02,422.6
5,8.556,0.8136,5.03,16.08,8.13,35.3,145.7,-2.38,-0.0784,0.85,11.4346,3.053100249843188,0.12225426747622559,0.19993600539428705,0.00018061861391516787,0.9902727440106706,0.02429579571879601,386.4
19,8.572,0.8187,5.04,16.5,8.14,35.3,143.7,-2.37,-0.0733,0.8548,11.0004,3.1644324808681557,0.5832819582084733,0.39407731738013485,0.00029608396120378875,0.9938445096441775,0.014362034742726648,375.9
13,8.606,0.8238,5.08,16.78,8.19,35.3,139.9,-2.33,-0.0682,0.8509,10.6524,4.482972154635368,0.9683579764176031,0.5259577480519717,0.0002408614282505295,0.9904216905519123,0.017991902054698784,389.2
6,8.609,0.8173,5.08,15.71,8.19,35.3,150.7,-2.33,-0.0747,0.849,11.3198,6.6418252286537545,0.36854052861097897,0.7598037007319198,0.00020211959371995155,0.9913236582415348,0.012270178741342976,382.7
7,8.63,0.8,5.1,15.41,8.14,35.3,155.3,-2.31,-0.092,0.8495,12.6487,4.637365868820408,0.47344893493664286,0.22410807031301144,0.00019145336803068537,0.9922230009541863,0.026093604963627254,387.0
3,9.179,0.8139,5.64,16.44,8.27,35.4,174.0,-1.77,-0.0781,0.8546,12.0905,7.0,0.3,0.2,0.00015,0.995,0.015,397.8
