trial,score,vs_greedy_ts_score,rl_ts_service_rate,rl_ts_mean_wait,rl_ts_mean_wait_all,rl_ts_p95_wait,rl_ts_mean_ride,rl_ts_rejected,rl_ts_improvements,sa_service_rate,sa_mean_wait,w_wait,w_rejection,w_imbalance,lr_start,gamma,ent_coef,train_time_s
12,10.473,-5.86,0.8113,4.38,9.76,14.26,8.07,34.7,125.1,0.871,9.4112,2.876483033356239,7.223385601082074,0.6750235515296443,0.0003893827643470646,0.9919340490391816,0.016958017843456717,394.9
7,10.474,-5.858,0.8043,4.33,9.77,14.16,8.02,34.8,130.1,0.8655,9.8088,1.8638900372842315,5.456145700990209,0.5282970263056657,0.00012133432335090972,0.9920450125397465,0.018033330377234345,405.2
22,10.503,-5.83,0.8158,4.4,9.77,14.72,8.07,34.9,126.7,0.8672,9.6201,2.1614555664441424,5.664142840292255,0.12932526989631085,0.0002572148597867545,0.9900857914245547,0.019066166130527373,397.0
25,10.524,-5.808,0.809,4.4,9.8,14.48,8.03,34.8,127.4,0.8673,9.7825,2.8091139688568156,5.737054003284123,0.3429166976631511,0.00033358138455915275,0.9906513619665784,0.012178243753708991,446.9
19,10.544,-5.788,0.8115,4.41,9.8,14.96,8.02,34.8,125.1,0.8638,9.5265,2.150089271814452,5.707750474677462,0.10922545006664669,0.0002530709389655408,0.990057016477778,0.01868805156028317,423.9
10,10.597,-5.735,0.8085,4.44,9.86,14.72,8.04,35.0,127.3,0.8653,9.6126,2.91954149189084,7.088410704902068,0.6507746086200239,0.00039578730299237927,0.991965326679678,0.016334202237114483,383.9
30,10.642,-5.691,0.8076,4.5,9.91,14.7,8.03,34.9,131.9,0.8662,9.7925,2.3731041112239137,5.834137704330507,0.3247233381008555,0.0001350560412794253,0.9944049154341315,0.02811420475485077,393.6
18,10.65,-5.682,0.8162,4.55,9.89,15.18,8.09,34.8,132.2,0.8661,9.7193,1.6397451471937754,7.155119277473946,0.7187995322890528,0.0001828850695662342,0.9928768170775903,0.025308719155132574,424.2
13,10.66,-5.673,0.8168,4.52,9.92,14.78,8.03,35.3,123.9,0.8619,9.4154,2.2552858905118995,6.918214861154288,0.7830942813513091,0.00039779718402827306,0.992276938775633,0.016999468930336256,383.5
24,10.67,-5.662,0.8151,4.55,9.9,15.32,8.06,34.9,133.5,0.868,9.9311,2.078787168904289,4.762747925242383,0.5843648389521746,0.00023162152320040582,0.9916448586772802,0.019314322574615926,432.4
28,10.698,-5.634,0.8094,4.34,9.98,14.28,8.04,36.5,125.1,0.8562,9.1478,1.930848998851245,4.1993733183369795,0.44912949978455724,0.00034685816164435656,0.9927410001197677,0.024750831937948505,405.8
3,10.702,-5.631,0.815,4.59,9.94,15.27,8.06,34.8,136.3,0.8663,9.8807,2.0,6.0,0.4,0.0002,0.993,0.02,416.8
1,10.713,-5.62,0.8137,4.61,9.97,14.95,8.06,34.9,126.7,0.8651,10.2022,2.42,8.46,0.3,0.000154,0.9947,0.0266,390.5
15,10.719,-5.613,0.8172,4.63,9.97,15.05,8.05,34.9,134.3,0.8559,9.2482,2.258472838912554,7.574936299607899,0.5231234808998834,0.0003167917365448246,0.9913465191501187,0.0106005660656627,381.5
14,10.723,-5.609,0.8154,4.61,9.95,15.41,8.1,34.8,132.7,0.863,9.8941,2.9987248772831023,6.084623041637503,0.6172413815513202,0.00015682064477223883,0.9907129183246625,0.030140271419959973,380.8
23,10.782,-5.551,0.8145,4.64,10.03,14.99,8.09,35.1,136.8,0.8645,9.7425,1.4365320765948066,6.7273680407100205,0.14029804216544067,0.0002838585843583011,0.9907452143632981,0.022701554308466432,473.3
21,10.875,-5.458,0.8144,4.77,10.1,15.47,8.11,34.8,138.3,0.8686,9.9837,2.459805681141174,6.250804742351996,0.4853986120602236,0.00012282005949267437,0.9924830414189061,0.014587041452533972,399.6
27,10.888,-5.444,0.8165,4.77,10.08,16.08,8.06,34.8,135.3,0.8629,9.8913,1.5809803239711857,6.636044195616351,0.565097359932483,0.00023670080947232398,0.991094372803684,0.016122798714780916,423.3
4,10.908,-5.424,0.8157,4.78,10.12,15.69,8.07,34.9,132.2,0.8679,10.1027,1.749080237694725,8.75357153204958,0.6123957592679836,0.00022931281295479757,0.9910921304830971,0.012853916978930137,395.5
8,10.935,-5.398,0.8128,4.83,10.16,15.52,8.08,34.7,143.2,0.8636,10.0063,1.9121399684340719,7.925879806965068,0.23977164751085184,0.0002039858213524584,0.9941469019820343,0.010776244716748864,393.6
