trial,score,vs_greedy_ts_score,rl_ts_service_rate,rl_ts_mean_wait,rl_ts_mean_wait_all,rl_ts_p95_wait,rl_ts_mean_ride,rl_ts_rejected,rl_ts_improvements,sa_service_rate,sa_mean_wait,w_wait,w_wait_all,w_rejection,w_imbalance,lr_start,gamma,ent_coef,n_steps,train_time_s
9,18.314,-5.758,0.7658,10.04,16.94,27.43,12.73,49.1,119.0,0.7817,12.9382,3.8731455334731066,1.2346275761142562,5.5384710572513125,0.9390613077206084,0.0004864748139024284,0.9961689831575427,0.04205924703667673,2048,517.1
10,18.406,-5.666,0.766,10.28,17.03,27.56,12.97,48.1,124.8,0.7903,13.4012,3.910684789880038,1.4655691049357353,5.403804771198521,0.9512287479763417,0.00044270215461397495,0.996926794760848,0.04931113322223511,2048,520.4
16,18.534,-5.538,0.7649,9.8,17.18,27.11,12.34,52.7,126.2,0.7695,12.522,3.545936145464602,1.5266972858398256,5.275285346069481,0.898997023752528,0.00038269516993164667,0.9959697704726896,0.011411961271337518,2048,515.9
22,18.565,-5.507,0.7617,9.92,17.19,27.47,12.72,51.7,116.0,0.782,13.1757,3.608307070360904,1.4899726572547003,5.508528681899525,0.8907643059247299,0.00040361045974036963,0.9958978026153533,0.010982981092427556,2048,517.5
28,18.575,-5.497,0.7616,9.9,17.21,27.32,12.61,52.1,115.9,0.7922,13.3576,3.169510039053333,0.8227324833627847,4.851302705239876,0.592977304008595,0.00035036489246157093,0.993626738117861,0.011826585734684321,2048,520.4
1,18.62,-5.451,0.7735,10.54,17.23,27.77,13.15,48.4,116.5,0.7942,13.7351,2.876,1.0,7.223,0.675,0.000389,0.9919,0.017,1024,551.0
30,18.699,-5.373,0.7619,10.33,17.31,27.82,12.94,49.8,122.1,0.7874,14.1665,2.7498677588320746,1.316272316046039,6.967849143547418,0.6736584246129651,0.000400365689503704,0.9946026702341181,0.01888516371061685,1024,530.9
24,18.709,-5.363,0.7674,10.3,17.33,27.59,12.91,50.5,118.4,0.7884,13.2731,3.2843693315980476,1.2738120127996835,4.674397014015003,0.7728639888030717,0.000338329841567841,0.9938420767089222,0.009221057524356768,2048,530.0
14,18.764,-5.307,0.7744,10.42,17.38,27.71,12.86,50.6,118.9,0.7899,13.2166,3.524259231885768,1.1563946732306478,6.277034575340608,0.8411179746576465,0.0003745290373876055,0.9948240125531177,0.03171170767359725,2048,523.8
13,18.811,-5.26,0.7582,9.93,17.09,27.2,12.58,50.7,122.6,0.7784,13.1521,3.8585666700444734,1.5629768539705164,5.155813643133227,0.9988834833737851,0.000493618792828382,0.9949822093152502,0.03213927226856942,2048,516.5
23,18.902,-5.169,0.7695,10.45,17.52,27.74,12.82,51.2,115.6,0.7862,12.9337,2.7336801047522017,1.5347477248245005,5.2035388055512755,0.9161309518328105,0.0004416407685449106,0.9957326419012762,0.0100867301056676,2048,524.2
20,18.978,-5.093,0.765,10.58,17.59,27.76,13.06,50.6,118.4,0.7803,13.5763,3.2976620900123557,1.2513221270991657,6.616375652606958,0.2599117636675692,0.00035194282795967294,0.9962208084006108,0.04988794550327527,2048,519.1
11,18.985,-5.086,0.7677,10.85,17.6,27.68,13.1,48.9,135.3,0.7935,14.6996,1.2402881580382887,1.6514389965511869,4.455130858371158,0.11791415931280491,0.0003150862920349675,0.9969887640652305,0.030017422463616664,2048,526.3
7,19.006,-5.066,0.7642,10.67,17.63,27.6,13.04,50.2,125.1,0.7939,14.2617,2.5427033152408347,1.3886218532930636,4.232252063599988,0.6467903667112945,0.00013158041368516616,0.9885854643368676,0.044448339535094646,1024,532.4
25,19.01,-5.062,0.7631,10.53,17.62,27.87,12.78,51.1,128.3,0.7833,13.8468,3.743064015502642,1.7895533494339628,5.98965673489126,0.9218506217292839,0.00026653206697152586,0.9965418887315634,0.0229870149407264,2048,521.6
3,19.049,-5.023,0.7641,10.72,17.67,27.62,13.08,50.2,133.9,0.7856,15.2935,2.4,1.8,7.5,0.5,0.0002,0.993,0.018,1024,553.5
15,19.086,-4.986,0.7624,10.57,17.7,27.67,13.07,51.4,122.8,0.7838,13.91,3.404276120798133,1.174544282649564,5.027093266442788,0.8222366427669943,0.000294232702832241,0.9953019008078143,0.0403212328215483,2048,516.5
19,19.14,-4.932,0.7655,10.9,17.75,27.72,13.09,49.7,133.7,0.7908,15.0839,1.493190212829957,1.6962467756695512,5.729179199231007,0.7402521552230524,0.0003027902615754642,0.9944116287790562,0.03703138282279695,2048,533.3
12,19.265,-4.806,0.7586,10.07,17.61,27.51,12.79,53.9,115.4,0.7808,12.8891,3.9725798800102146,1.36346413563352,5.603256208132377,0.9964148785726915,0.0004919251693235894,0.9969274170695086,0.04992665188813598,2048,516.9
29,19.322,-4.749,0.759,10.22,17.75,27.37,12.51,54.1,125.3,0.7696,13.1795,3.4818848019392727,1.6197061788946643,6.076114895131575,0.8879959000668363,0.0004977924349922221,0.995666020789325,0.00847470750042186,2048,516.8
26,19.388,-4.683,0.7649,10.46,18.01,27.5,12.69,55.1,119.7,0.7778,13.5008,3.5723134287134437,1.0787233979355544,5.422714784222672,0.9714244237994483,0.0004101074910195209,0.9953110694414632,0.007475553121642864,2048,525.8
2,19.456,-4.616,0.7649,11.22,18.08,27.59,13.19,50.1,142.5,0.7912,16.3155,2.2,0.7,6.0,0.45,0.00025,0.993,0.02,2048,583.1
21,19.767,-4.304,0.7667,11.67,18.37,27.96,13.4,49.3,164.6,0.7789,17.5327,3.7065710655215782,1.9719696301374399,8.969213925248543,0.36854211669847947,0.00010714015089914501,0.9907606169203089,0.013357811472091734,2048,537.9
4,19.826,-4.246,0.7629,11.57,18.44,27.73,13.26,50.5,149.9,0.7899,16.2431,2.1236203565420873,1.9260714596148742,7.659969709057025,0.6387926357773329,0.00012854415975274456,0.9894039506830258,0.00571549193815661,1024,536.3
17,19.87,-4.201,0.7567,10.79,17.82,27.67,12.88,50.4,135.5,0.7855,14.1886,2.9872750240600436,0.98871909206821,6.515033548403111,0.7424363791595846,0.00020175332579454688,0.9939969029774064,0.026929760376611406,2048,525.3
6,20.399,-3.673,0.769,11.98,19.01,27.86,13.26,52.7,152.4,0.7777,17.471,2.2958350559263474,0.9368437102970628,7.059264473611897,0.22554447458683766,0.00016002960978292517,0.9912972565896432,0.014290255329034685,1024,538.9
8,20.717,-3.354,0.762,12.19,19.32,27.9,13.31,53.5,173.7,0.7848,19.1535,1.9138413075201122,0.6465081710095758,7.421165132560784,0.4961372443656412,0.00012170293883738795,0.9924565921910015,0.00541200919075048,1024,542.9
5,20.777,-3.295,0.7571,11.88,18.8,27.79,13.34,50.9,168.9,0.7759,17.9492,3.1242177333881367,0.5308767414437037,8.849549260809972,0.8491983767203796,0.00014074036373847487,0.9896364247048639,0.007627364729026304,2048,538.2
18,23.119,-0.953,0.7385,8.6,17.56,25.02,11.67,62.3,121.5,0.7539,11.8185,3.9971382384199243,1.3789510654514214,4.748210748243738,0.9307952736370737,0.00044331391688215053,0.9960246467062608,0.02326058096255199,2048,527.6
27,24.731,0.659,0.7312,7.96,17.76,24.17,11.23,67.9,121.4,0.7369,11.2459,3.784729024145957,1.450712650868118,4.110021684815566,0.7931271540974546,0.0004525382541087606,0.9964833166962151,0.039446633622318275,2048,511.4
